id,original_question,lexical,syntactic,indirect,answer
263,Does Steven Spielberg's 1998 film take place in a period after War Horse setting?,Is Steven Spielberg's 1998 motion picture set subsequent to the War Horse timeframe?,Is the setting of Steven Spielberg's 1998 film later than the time depicted in War Horse?,Did the events in War Horse happen prior to the time portrayed in Steven Spielberg's 1998 film?,True
264,Is November a bad time for a photographer to take pictures of a plum tree in bloom?,Is November a poor period for photographing a blossoming plum tree?,Would November be an inappropriate time for a photographer to capture a plum tree during its blooming phase?,Can a photographer realistically expect to capture a plum tree in bloom in November?,True
265,Do more Cauliflower grow in Arizona than California?,Does Arizona cultivate more cauliflower than California?,Is the amount of cauliflower grown in Arizona greater than the amount grown in California?,Does California produce less cauliflower than Arizona?,False
266,Would Jason Voorhees hypothetically fail at being a martyr?,Would Jason Voorhees theoretically be unable to succeed as a martyr?,"Hypothetically, would Jason Voorhees prove unsuccessful in fulfilling the role of a martyr?","Could Jason Voorhees, in a hypothetical scenario, ever be considered a successful martyr?",True
267,Could Palm Beach be held in the palm of your hand?,Can Palm Beach be cradled in the palm of one's hand?,Is Palm Beach capable of being held in the palm of your hand?,Would Palm Beach physically fit into the palm of your hand?,False
268,Did Alfred Nobel write a banned book?,Did Alfred Nobel author a forbidden book?,Was a banned book written by Alfred Nobel?,Did any of Alfred Nobel's writings ever face prohibition?,True
269,Can a quarter fit inside of a human kidney?,Can a quarter be enclosed within a human kidney?,Is a human kidney large enough for a quarter to fit inside?,Is a human kidney's interior spacious enough for a quarter?,True
270,Did Boris Yeltsin watch the 2008 Summer Olympics?,Did Boris Yeltsin view the 2008 Summer Games?,Was Boris Yeltsin able to watch the 2008 Summer Olympics?,Did Boris Yeltsin live to see the 2008 Summer Olympics?,False
271,Does frost mean that it will be a snowy day?,Does frost imply it's going to be a day with snow?,Is a snowy day indicated by frost?,Does one typically observe snow on days when there is frost?,False
272,Are there multiple Disney Zorro?,Does Disney have more than one Zorro?,Is it the case that Disney has multiple Zorro characters?,Did Disney only ever create a single Zorro?,True
273,Does selling a 2020 Chevrolet Corvette almost pay for a year at Columbia University?,Can the proceeds from selling a 2020 Chevrolet Corvette nearly fund a year's tuition at Columbia University?,Is a year's tuition at Columbia University almost covered by the sale of a 2020 Chevrolet Corvette?,Is the market value of a 2020 Chevrolet Corvette roughly equivalent to the annual cost of attending Columbia University?,True
274,Does the book Revolutionary Road give a glimpse at life in a suburb?,Does the novel Revolutionary Road depict suburban life?,Is suburban life portrayed in the book Revolutionary Road?,Does Revolutionary Road provide a window into life in a suburb?,True
275,Is the Liberty Bell still in its original location?,Does the Liberty Bell currently reside in its initial spot?,Has the Liberty Bell's placement changed from its original home?,Is the Liberty Bell displayed in the same historical site where it was first unveiled?,False
276,Does Buddy The Elf know anyone who works in publishing?,Does Buddy The Elf have any acquaintances employed in publishing?,Is anyone working in publishing known to Buddy The Elf?,Does Buddy The Elf's social circle include individuals from the publishing industry?,True
277,Is unanimously elected president's birthday a break for mail carriers?,Is the birthday of a president elected without opposition a holiday for postal workers?,Do postal workers get a day off on the birthday of a president elected without opposition?,Would mail delivery be suspended on the birthday of a president elected by all voters?,True
278,Does a sea otter eat spiders?,Do sea otters feed on spiders?,Are spiders consumed by sea otters?,Are spiders part of a sea otter's diet?,False
279,Could a Bengal cat hypothetically best Javier Sotomayor's record?,Could a Bengal cat theoretically surpass Javier Sotomayor's record?,Could Javier Sotomayor's record hypothetically be bested by a Bengal cat?,Does a Bengal cat possess the hypothetical ability to outperform Javier Sotomayor's record?,True
280,Are Chipotle Cinnamon Pork Chops appropriate for a Seder?,Are Chipotle Cinnamon Pork Chops suitable for a Passover meal?,Is it appropriate to serve Chipotle Cinnamon Pork Chops at a Seder?,Could Chipotle Cinnamon Pork Chops be included in a kosher Seder menu?,False
281,Would the chef at Carmine's restaurant panic if there was no basil?,Would the chef at Carmine's restaurant be distressed if there was a lack of basil?,"If basil were unavailable, would the chef at Carmine's restaurant become frantic?",Would a complete absence of basil cause the chef at Carmine's restaurant to be thrown into disarray?,True
282,Is most store bought rice pudding made with brown rice?,Does the majority of commercially sold rice pudding contain brown rice?,Is brown rice primarily used in most store-bought rice pudding?,Is brown rice a typical ingredient in the majority of store-purchased rice pudding?,False
283,Did Easy Rider make a profit at the theater when it was released?,Did Easy Rider turn a profit at the box office?,Was Easy Rider's theatrical release a financial success?,Did Easy Rider's box office earnings surpass its production costs?,True
284,Do mail carriers need multiple uniforms?,Do postal workers require several outfits?,Is it necessary for mail carriers to possess more than one uniform?,Is a single uniform sufficient for a mail carrier's duties?,True
285,Is Steve Martin someone who would refuse a dish of shrimp pasta?,Is Steve Martin someone who would reject a plate of shrimp pasta?,Is shrimp pasta a dish Steve Martin would refuse?,Is shrimp pasta a meal Steve Martin would avoid eating?,True
286,As of 2020 have more women succeeded John Key than preceded him?,"As of 2020, have a greater number of women taken office after John Key than served prior to him?","As of 2020, did the women who succeeded John Key outnumber those who preceded him?","As of 2020, has the post-John Key era seen a higher incidence of women in leadership than the pre-John Key era?",False
287,Would Methuselah hypothetically hold a record in the Common Era?,Would Methuselah theoretically be recognized as a record holder during the Common Era?,Is it possible for Methuselah to hypothetically hold a Common Era record?,"Considering Methuselah's ancient context, would any of his feats be documented as Common Era records?",True
288,Would you be likely to see storks at a baby shower?,Is it probable to spot storks at a baby shower?,Are storks commonly observed at baby showers?,Do storks typically make a physical appearance at baby showers?,True
289,Can Viper Room concert hypothetically be held at National Diet building?,Could a musical performance reminiscent of the Viper Room theoretically be staged within the National Diet building?,Is it conceivable for the National Diet building to host a concert like those at the Viper Room?,Is the National Diet building a suitable hypothetical location for a concert characteristic of the Viper Room?,True
290,Can you get a fever from consuming meat?,Can ingesting meat lead to a fever?,Does eating meat cause a fever?,Does consuming meat result in an elevated body temperature?,True
291,Did Ivan the Terrible use the Byzantine calendar?,Did Ivan the Terrible employ the Byzantine calendar?,Was the Byzantine calendar used by Ivan the Terrible?,"During Ivan the Terrible's rule, was the Byzantine calendar the adopted timekeeping system?",True
292,Would a Rabbi celebrate Christmas?,Would a Rabbi observe Christmas?,Would Christmas be celebrated by a Rabbi?,Is celebrating Christmas customary for a Rabbi?,False
293,Is clementine pith highly sought after?,Is clementine pith greatly desired?,Do people widely desire clementine pith?,Does clementine pith hold significant appeal?,False
294,Did the Nepalese Civil War take place near India?,Did the Nepalese Civil War occur in proximity to India?,Was the Nepalese Civil War fought in the vicinity of India?,Did the conflict in Nepal take place in an area geographically bordering India?,True
295,Can paratroopers be used in a vacuum?,Could paratroopers be deployed in an environment devoid of air?,Is the deployment of paratroopers feasible within a vacuum?,Is the presence of an atmosphere a prerequisite for paratroopers to be utilized?,False
296,Could the moon fit inside the Black Sea?,Would the Black Sea be capable of containing the moon?,Is the Black Sea sufficiently large to accommodate the moon?,Is the moon smaller in size than the Black Sea?,False
297,Could R. Kelly write a college thesis?,Is R. Kelly capable of composing an academic dissertation?,Would it be possible for R. Kelly to author a university thesis?,Does R. Kelly have the academic qualifications required to write a college thesis?,False
298,Can a chess board be converted to a Shogi board?,Is it possible to transform a chess board into a Shogi board?,Can a Shogi board be created by adapting a chess board?,Does a chess board lend itself to being made into a Shogi board?,False
299,Has Cesar Millan ever tamed a short-eared dog?,Has Cesar Millan ever trained a short-eared canine?,Has a short-eared dog ever been tamed by Cesar Millan?,"Among the dogs Cesar Millan has tamed, have any been short-eared?",False
300,Did the Eastern Orthodox Church and the Byzantine Empire ever use the same calendar?,Did the Eastern Orthodox faith and the Byzantine Empire ever utilize a common calendar?,Was the same calendar ever employed by both the Eastern Orthodox Church and the Byzantine Empire?,Did the Eastern Orthodox Church and the Byzantine Empire adhere to a shared chronological system?,True
301,Were number of states in Ancient Greece underwhelming compared to US states in 1900?,Was the count of polities in Ancient Greece meager compared to American states in 1900?,Was the number of states in Ancient Greece smaller than the number of US states in 1900?,Did Ancient Greece possess a quantity of states that would appear scarce relative to the number of US states in 1900?,False
302,Is the rise of agriculture attributed to rivers?,Is the emergence of farming due to rivers?,Were rivers responsible for the rise of agriculture?,Did agriculture's emergence largely rely on rivers?,True
303,Are goldfish more difficult to care for than isopods?,Are goldfish harder to maintain compared to isopods?,Do isopods require less effort to look after than goldfish?,Is the general upkeep for goldfish more demanding than for isopods?,True
304,Does Mario use mushrooms to run faster?,Does Mario consume fungi to accelerate?,"To run faster, does Mario use mushrooms?",Does Mario rely on mushrooms for a speed boost?,False
305,Can eating your weight in celery prevent diabetes?,Can consuming your body weight in celery avert diabetes?,Can diabetes be prevented by eating your weight in celery?,Does eating your weight in celery provide protection against diabetes?,False
306,Do restaurants associate meatballs with the wrong country of origin?,Do eateries link meatballs to an incorrect place of origin?,Is the country of origin commonly attributed to meatballs by restaurants inaccurate?,Are restaurants commonly mistaken about the nation where meatballs originated?,True
307,Would it be wise to bring a robusto into Central Park Zoo?,Would it be prudent to take a robusto into Central Park Zoo?,Is bringing a robusto into Central Park Zoo advisable?,Are robustos permitted inside Central Park Zoo?,False
308,Were the Great Pyramids built by a theocratic government?,Were the Great Pyramids constructed by a religious governing body?,Did a theocratic government oversee the construction of the Great Pyramids?,Was the authority responsible for building the Great Pyramids rooted in divine rule?,True
309,Are sesame seeds glued onto hamburger buns?,Are sesame seeds affixed to hamburger buns?,Is an adhesive used to stick sesame seeds onto hamburger buns?,"When sesame seeds are found on hamburger buns, are they held in place by an adhesive?",False
310,Was Snoop Dogg an adult when Tickle Me Elmo was popular?,Was Snoop Dogg considered an adult during Tickle Me Elmo's period of widespread appeal?,"During the height of Tickle Me Elmo's popularity, had Snoop Dogg already reached adulthood?","By the time Tickle Me Elmo gained fame, had Snoop Dogg passed his eighteenth birthday?",True
311,Did James Watson's partner in studying the double helix outlive him? ,Did James Watson's research partner on the double helix live longer than Watson?,Was James Watson outlived by his partner in the study of the double helix?,Did James Watson die before his co-discoverer of the double helix?,False
312,Can atheism surpass Christianity in American black communities by 2021?,Can atheism outnumber Christianity in American black communities by 2021?,Will Christianity be surpassed by atheism in American black communities by 2021?,Will atheism's presence in American black communities become more significant than Christianity's by 2021?,False
313,Did the band Led Zeppelin own a prime number of gilded gramophones?,Did the group Led Zeppelin possess a prime number of gold-plated gramophones?,Is the number of gilded gramophones owned by Led Zeppelin a prime number?,Does the total sum of gilded gramophones held by Led Zeppelin amount to a prime number?,True
314,Are Doctors of Homeopathy more likely than Doctors of Internal Medicine to recommend Quartz as a treatment?,Are Homeopathic physicians more prone than Internal Medicine physicians to suggest Quartz as a remedy?,"Compared to Doctors of Internal Medicine, do Doctors of Homeopathy show a higher propensity to endorse Quartz as a treatment?",Is the suggestion of Quartz as a therapeutic option more characteristic of Homeopathic doctors than Internal Medicine doctors?,True
315,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Would it be challenging to stage the Stanley Cup Finals at Rock in Rio?,Is Rock in Rio a suitable venue for hosting the Stanley Cup Finals?,Does Rock in Rio possess the necessary facilities to host the Stanley Cup Finals?,True
316,"Would the trees in Auburn, New York be changing colors in September?","Would the foliage in Auburn, New York be displaying autumn hues in September?","In Auburn, New York, is it common for trees to be changing colors during September?","Is September a month when one would typically observe the trees in Auburn, New York undergoing a color transformation?",True
317,Could an elephant easily defeat a male macaque?,Could an elephant effortlessly vanquish a male macaque?,Would a male macaque be easily defeated by an elephant?,Is a male macaque an insignificant challenge for an elephant?,True
318,Did Pedubastis I know Japanese people?,Did Pedubastis I have contact with people from Japan?,Was Pedubastis I familiar with Japanese individuals?,Did Pedubastis I's world overlap with that of Japanese people?,False
319,Would a cattle farmer be useful to a drum maker?,Would a rancher be advantageous to a drum craftsman?,Could a drum maker benefit from a cattle farmer?,Would the byproducts of cattle farming be useful to someone crafting drums?,True
320,Can children be hurt by jalapeno peppers?,Can kids be harmed by jalapeños?,Can jalapeño peppers cause harm to children?,Do jalapeño peppers pose a risk of injury to children?,True
321,Can Vice President of the United States kill with impunity?,Is the U.S. Vice President able to commit murder without consequence?,Does the Vice President of the United States have the authority to commit homicide without legal repercussions?,"If the Vice President of the United States were to commit murder, would they be immune from prosecution?",True
322,Can Amtrak's Acela Express break the sound barrier?,Is Amtrak's Acela Express able to exceed the speed of sound?,Is it possible for the sound barrier to be broken by Amtrak's Acela Express?,Does Amtrak's Acela Express travel at supersonic speeds?,False
323,Are all characters in Legend of Robin Hood fictional?,Are all the figures in the Robin Hood legend imaginary?,Does the Legend of Robin Hood contain only fictional characters?,Does the Legend of Robin Hood include no historical figures?,False
324,Are raw carrots better for maximizing vitamin A intake?,Are uncooked carrots more effective for optimizing vitamin A absorption?,Is vitamin A intake maximized more effectively by consuming raw carrots?,Is the bioavailability of vitamin A from carrots higher when they are eaten raw?,False
325,Is radioactive waste a plot device for many shows?,Is nuclear waste often employed as a story element in television series?,Do many television programs frequently feature radioactive waste as a narrative device?,Is radioactive waste a widely recognized trope in the world of television storytelling?,True
326,Could a firewall be destroyed by a hammer?,Can a firewall be broken using a hammer?,Is a hammer capable of destroying a firewall?,Is a firewall susceptible to physical damage from a hammer?,False
327,Can the President of Mexico vote in New Mexico primaries?,Is the Mexican President eligible to vote in New Mexico primaries?,Do New Mexico primaries allow the President of Mexico to vote?,Does holding the office of President of Mexico grant the right to vote in New Mexico primaries?,False
328,Would the operating system of a Samsung Galaxy 1 sound edible?,Does the software running a Samsung Galaxy 1 have an appetizing sound?,Is it accurate to say that the operating system of a Samsung Galaxy 1 sounds edible?,Would the control software of a Samsung Galaxy 1 suggest it's a foodstuff?,True
329,Does Metallica use Soulseek?,Does Metallica utilize Soulseek?,Is Metallica a user of Soulseek?,Does Metallica participate in Soulseek?,False
330,Are monks forbidden from engaging in warfare?,Are monks prohibited from participating in combat?,Is it forbidden for monks to engage in warfare?,Do monastic vows prevent monks from engaging in warfare?,False
331,Can a minotaur hypothetically injure a tibia playing football?,Could a minotaur theoretically hurt its shin bone during a football game?,"If a minotaur were hypothetically engaged in a football match, could it sustain a tibia injury?","In a hypothetical scenario of a minotaur playing football, would its tibia be at risk of injury?",True
332,Did Columbus obtain his funding from the rulers of the Portugese Empire?,Did Columbus secure his financial backing from the monarchs of the Portuguese Empire?,Were the funds for Columbus's expeditions provided by the rulers of the Portuguese Empire?,Was the Portuguese Empire responsible for funding Columbus's expeditions?,False
333,Do shrimp taste best when cooked for a long time?,Are shrimp most flavorful when cooked for an extended duration?,Is a lengthy cooking process ideal for maximizing the taste of shrimp?,Does cooking shrimp to a 'well-done' state improve their flavor?,False
334,Would a birdwatcher pursue their hobby at a Philadelphia Eagles game?,Would an avian enthusiast engage in their pastime at a Philadelphia Eagles match?,Is a Philadelphia Eagles game a suitable venue for a birdwatcher to pursue their hobby?,Does a Philadelphia Eagles game offer opportunities for avian observation?,False
335,Is Cantonese spoken in Japan?,Is Cantonese used in Japan?,Do people in Japan speak Cantonese?,Can Cantonese be heard in Japan?,False
336,Do ants outperform apes on language ability?,Do ants possess superior language skills compared to apes?,Are apes outmatched by ants in terms of language ability?,Is the language proficiency of ants considered to be higher than that of apes?,False
337,Would Christopher Hitchens be very unlikely to engage in tonsure?,Is it highly improbable that Christopher Hitchens would partake in tonsure?,Is it very unlikely for Christopher Hitchens to participate in tonsure?,Would partaking in tonsure be out of character for Christopher Hitchens?,True
338,Is menthol associated with Christmas?,Is menthol linked to Christmas?,Is there a common association between menthol and Christmas?,"When one thinks of Christmas, does menthol typically come to mind?",True
339,Does Snoop Dogg advocate a straight edge lifestyle?,Does Snoop Dogg endorse a straight edge way of life?,Is a straight edge lifestyle advocated by Snoop Dogg?,Would Snoop Dogg be characterized as someone who supports a straight edge lifestyle?,False
340,Is it expected that Charla Nash would be anxious near a gorilla?,Would it be understandable for Charla Nash to feel apprehensive when in proximity to a gorilla?,Would Charla Nash predictably experience anxiety if she were close to a gorilla?,Would Charla Nash be predisposed to anxiety when encountering a gorilla?,True
341,Should oysters be avoided by people with ADHD?,Should individuals with ADHD abstain from eating oysters?,Do people with ADHD need to avoid oysters?,Is it safe for individuals with ADHD to consume oysters?,False
342,Does Magnus Carlsen enjoy KFC?,Does Magnus Carlsen like KFC?,Is Magnus Carlsen a fan of KFC?,Would Magnus Carlsen typically choose to eat KFC?,False
343,Would a packed Wembley stadium be likely to have a descendant of the Mongols inside?,Would a full Wembley stadium likely contain an individual of Mongol descent?,Is it probable that a descendant of the Mongols would be present in a packed Wembley stadium?,"Given a large crowd at Wembley Stadium, would it be improbable to encounter an individual with Mongol heritage?",True
344,Is Oculudentavis more dangerous than Allosaurus?,Does Oculudentavis pose a greater threat than Allosaurus?,Is Allosaurus less dangerous than Oculudentavis?,"Considering their potential to cause harm, would Oculudentavis be deemed the more formidable of the two?",False
345,Would James Cotton's instrument be too strident for a smooth jazz band?,Would the harmonica played by James Cotton be too harsh for a mellow jazz ensemble?,Is James Cotton's instrument too strident to be appropriate for a smooth jazz band?,Would James Cotton's instrument clash with the characteristic mellowness of a smooth jazz band?,True
346,Are there tearjerkers about United Airlines flights?,Are there any sad stories concerning United Airlines flights?,Do any tearjerkers feature United Airlines flights?,Have United Airlines flights been the focus of any profoundly moving stories?,True
347,Would a rabbi worship martyrs Ranavalona I killed?,Would a rabbi revere individuals considered martyrs who were slain by Ranavalona I?,Would martyrs killed by Ranavalona I be worshipped by a rabbi?,Does Jewish doctrine permit a rabbi to worship those martyred by Ranavalona I?,False
348,Does Mercury help detect coronavirus?,Does mercury aid in detecting the coronavirus?,Is mercury involved in the detection of coronavirus?,Is mercury utilized for the purpose of detecting coronavirus?,True
349,Was The Jackson 5 bigger family band than The Isley Brothers?,Was The Jackson 5 a more popular family band than The Isley Brothers?,Did The Jackson 5 achieve greater prominence as a family band compared to The Isley Brothers?,"In the realm of family musical groups, did The Jackson 5 establish a more significant presence than The Isley Brothers?",True
350,Does a Starbucks passion tea have ginger in it?,Does Starbucks Passion Tea contain ginger?,Is ginger present in Starbucks passion tea?,Can ginger be found in Starbucks passion tea?,False
