id,original_question,original_answer,counterfactual_1_question,counterfactual_1_answer,counterfactual_2_question,counterfactual_2_answer,counterfactual_3_question,counterfactual_3_answer
250,"The Reptile House at the zoo has 5 fewer animals than 3 times the number of animals housed in the Rain Forest exhibit. If the Reptile House has 16 animals, how many are in the Rain Forest exhibit?",7,"The Reptile House at the zoo has 4 fewer animals than 3 times the number of animals housed in the Rain Forest exhibit. If the Reptile House has 16 animals, how many are in the Rain Forest exhibit?",6.67,"The Reptile House at the zoo has 5 fewer animals than 2 times the number of animals housed in the Rain Forest exhibit. If the Reptile House has 16 animals, how many are in the Rain Forest exhibit?",10.5,"The Reptile House at the zoo has 5 fewer animals than 3 times the number of animals housed in the Rain Forest exhibit. If the Reptile House has 20 animals, how many are in the Rain Forest exhibit?",8.33
251,"Lauren sent 65 pieces of mail on Monday, 10 more pieces of mail on Tuesday than on Monday, 5 fewer on Wednesday than on Tuesday, and 15 more pieces of mail on Thursday than on Wednesday. How many pieces of mail did Lauren send?",295,"Lauren sent 60 pieces of mail on Monday, 10 more pieces of mail on Tuesday than on Monday, 5 fewer on Wednesday than on Tuesday, and 15 more pieces of mail on Thursday than on Wednesday. How many pieces of mail did Lauren send?",275,"Lauren sent 65 pieces of mail on Monday, 15 more pieces of mail on Tuesday than on Monday, 5 fewer on Wednesday than on Tuesday, and 15 more pieces of mail on Thursday than on Wednesday. How many pieces of mail did Lauren send?",310.0,"Lauren sent 65 pieces of mail on Monday, 10 more pieces of mail on Tuesday than on Monday, 5 fewer on Wednesday than on Tuesday, and 10 more pieces of mail on Thursday than on Wednesday. How many pieces of mail did Lauren send?",290.0
252,"Rocco stores his coins in piles of 10 coins each. He has 4 piles of quarters, 6 piles of dimes, 9 piles of nickels, and 5 piles of pennies. How much money does Rocco have?",21,"Rocco stores his coins in piles of 10 coins each. He has 5 piles of quarters, 6 piles of dimes, 9 piles of nickels, and 5 piles of pennies. How much money does Rocco have?",23.5,"Rocco stores his coins in piles of 10 coins each. He has 4 piles of quarters, 8 piles of dimes, 9 piles of nickels, and 5 piles of pennies. How much money does Rocco have?",23.0,"Rocco stores his coins in piles of 10 coins each. He has 4 piles of quarters, 6 piles of dimes, 9 piles of nickels, and 10 piles of pennies. How much money does Rocco have?",21.5
253,Christine is subbing aquafaba for egg whites in baking. Every 2 tablespoons of aquafaba is equivalent to 1 egg white. She's making 2 angel food cakes that call for 8 egg whites each. How many tablespoons of aquafaba will she need in order not to use egg whites?,32,Christine is subbing aquafaba for egg whites in baking. Every 3 tablespoons of aquafaba is equivalent to 1 egg white. She's making 2 angel food cakes that call for 8 egg whites each. How many tablespoons of aquafaba will she need in order not to use egg whites?,48,Christine is subbing aquafaba for egg whites in baking. Every 2 tablespoons of aquafaba is equivalent to 1 egg white. She's making 3 angel food cakes that call for 8 egg whites each. How many tablespoons of aquafaba will she need in order not to use egg whites?,48,Christine is subbing aquafaba for egg whites in baking. Every 2 tablespoons of aquafaba is equivalent to 1 egg white. She's making 2 angel food cakes that call for 6 egg whites each. How many tablespoons of aquafaba will she need in order not to use egg whites?,24
254,"A fan can create an airflow of 10 liters per second. If the fan works for 10 minutes each day, calculate the amount of airflow it will create in one week.",42000,"A fan can create an airflow of 12 liters per second. If the fan works for 10 minutes each day, calculate the amount of airflow it will create in one week.",50400,"A fan can create an airflow of 10 liters per second. If the fan works for 15 minutes each day, calculate the amount of airflow it will create in one week.",63000,"A fan can create an airflow of 10 liters per second. If the fan works for 10 minutes each day for 5 days, calculate the amount of airflow it will create.",30000
255,"In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more points did the first team get than the second team?",3,"In the first team, Beth scored 15 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more points did the first team get than the second team?",6,"In the first team, Beth scored 12 while Jan scored 8. In the second team, Judy scored 8 while Angel scored 11. How many more points did the first team get than the second team?",1,"In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 9. How many more points did the first team get than the second team?",5
256,Melinda is taking a 1200-mile trip with her family to visit their cousins. How much time will they save if they drive 60 miles an hour instead of 50 miles an hour?,4,Melinda is taking a 900-mile trip with her family to visit their cousins. How much time will they save if they drive 60 miles an hour instead of 45 miles an hour?,5,Melinda is taking a 1200-mile trip with her family to visit their cousins. How much time will they save if they drive 70 miles an hour instead of 50 miles an hour?,6.86,Melinda is taking a 1000-mile trip with her family to visit their cousins. How much time will they save if they drive 60 miles an hour instead of 55 miles an hour?,1.52
257,"Martha is grinding a spice paste. She adds 3 tablespoons of ginger, 1 teaspoon of cardamom, 1 teaspoon of mustard, 2 tablespoons of garlic, and four times as much chile powder as mustard. What percentage of the spice paste is ginger, rounded to the nearest integer? (Remember there are three teaspoons per tablespoon.)",43,"Martha is grinding a spice paste. She adds 2 tablespoons of ginger, 1 teaspoon of cardamom, 1 teaspoon of mustard, 2 tablespoons of garlic, and four times as much chile powder as mustard. What percentage of the spice paste is ginger, rounded to the nearest integer? (Remember there are three teaspoons per tablespoon.)",33,"Martha is grinding a spice paste. She adds 3 tablespoons of ginger, 1 teaspoon of cardamom, 1 teaspoon of mustard, 1 tablespoon of garlic, and four times as much chile powder as mustard. What percentage of the spice paste is ginger, rounded to the nearest integer? (Remember there are three teaspoons per tablespoon.)",50.0,"Martha is grinding a spice paste. She adds 3 tablespoons of ginger, 1 teaspoon of cardamom, 2 teaspoons of mustard, 2 tablespoons of garlic, and twice as much chile powder as mustard. What percentage of the spice paste is ginger, rounded to the nearest integer? (Remember there are three teaspoons per tablespoon.)",41.0
258,"Jenna is making a costume for her role in Oliver Twist. She needs to make an overskirt and two petticoats. Each skirt uses a rectangle of material that measures 12 feet by 4 feet. She also needs to make a bodice that uses 2 square feet of material for the shirt and 5 square feet of fabric for each of the sleeves. If the material she uses costs $3 per square foot, how much does she spend on the material in total?",468,"Jenna is making a costume for her role in Oliver Twist. She needs to make an overskirt and two petticoats. Each skirt uses a rectangle of material that measures 10 feet by 4 feet. She also needs to make a bodice that uses 2 square feet of material for the shirt and 5 square feet of fabric for each of the sleeves. If the material she uses costs $3 per square foot, how much does she spend on the material in total?",396,"Jenna is making a costume for her role in Oliver Twist. She needs to make an overskirt and two petticoats. Each skirt uses a rectangle of material that measures 12 feet by 4 feet. She also needs to make a bodice that uses 3 square feet of material for the shirt and 4 square feet of fabric for each of the sleeves. If the material she uses costs $3 per square foot, how much does she spend on the material in total?",465,"Jenna is making a costume for her role in Oliver Twist. She needs to make an overskirt and three petticoats. Each skirt uses a rectangle of material that measures 12 feet by 4 feet. She also needs to make a bodice that uses 2 square feet of material for the shirt and 5 square feet of fabric for each of the sleeves. If the material she uses costs $3 per square foot, how much does she spend on the material in total?",612
259,"UF got into the national championship. For them to get into the championship, they scored a total of 720 points during their previous 24 games.  In the championship game, however, their opponent was much stronger than any other team they had previously gone against and they scored 2 points less than half as much as they had previously scored in each of the 24 games. Their opponent only lost by 2 points.  How many points did their opponent score?",11,"UF got into the national championship. For them to get into the championship, they scored a total of 600 points during their previous 24 games. In the championship game, however, their opponent was much stronger and they scored 2 points less than half as much as they had previously scored in each of the 24 games. Their opponent only lost by 2 points. How many points did their opponent score?",8.5,"UF got into the national championship. For them to get into the championship, they scored a total of 720 points during their previous 24 games. In the championship game, however, they scored 4 points less than half as much as they had previously scored in each of the 24 games. Their opponent only lost by 2 points. How many points did their opponent score?",9,"UF got into the national championship. For them to get into the championship, they scored a total of 720 points during their previous 24 games. In the championship game, however, their opponent was much stronger and they scored 2 points more than half as much as they had previously scored in each of the 24 games. Their opponent only lost by 2 points. How many points did their opponent score?",15
260,"Karl sells clothing in his store. He sells a T-shirt that costs $5, some pants that cost $4, and some skirts that cost $6, he also sells some refurbished t-shirts that cost half the original price. How much is his total income if he sold two T-shirts, one pair of pants, four skirts, and six refurbished T-shirts?",53,"Karl sells clothing in his store. He sells a T-shirt that costs $5, some pants that cost $4, and some skirts that cost $6, he also sells some refurbished t-shirts that cost half the original price. How much is his total income if he sold three T-shirts, one pair of pants, three skirts, and five refurbished T-shirts?",49.5,"Karl sells clothing in his store. He sells a T-shirt that costs $6, some pants that cost $4, and some skirts that cost $6, he also sells some refurbished t-shirts that cost half the original price. How much is his total income if he sold two T-shirts, one pair of pants, four skirts, and six refurbished T-shirts?",58.0,"Karl sells clothing in his store. He sells a T-shirt that costs $5, some pants that cost $4, and some skirts that cost $7, he also sells some refurbished t-shirts that cost half the original price. How much is his total income if he sold two T-shirts, one pair of pants, four skirts, and six refurbished T-shirts?",57
261,Levi and his brother were playing basketball. Levi had scored 8 times and his brother had scored 12 times. Levi was determined to beat his brother by at least 5 baskets. How many more times does Levi have to score in order to reach his goal if his brother scores another 3 times?,12,Levi and his brother were playing basketball. Levi had scored 10 times and his brother had scored 14 times. Levi was determined to beat his brother by at least 5 baskets. How many more times does Levi have to score in order to reach his goal if his brother scores another 2 times?,11,Levi and his brother were playing basketball. Levi had scored 8 times and his brother had scored 10 times. Levi was determined to beat his brother by at least 3 baskets. How many more times does Levi have to score in order to reach his goal if his brother scores another 4 times?,9,Levi and his brother were playing basketball. Levi had scored 9 times and his brother had scored 11 times. Levi was determined to beat his brother by at least 4 baskets. How many more times does Levi have to score in order to reach his goal if his brother scores another 1 time?,7
262,"The Dow Jones Industrial Average fell 2% today. The Dow ended the day at 8,722. What was the Dow in the morning before the markets opened?",8900,"The Dow Jones Industrial Average fell 3% today. The Dow ended the day at 8,722. What was the Dow in the morning before the markets opened?",8992,"The Dow Jones Industrial Average fell 2% today. The Dow ended the day at 9,800. What was the Dow in the morning before the markets opened?",10000,"The Dow Jones Industrial Average fell 5% today. The Dow ended the day at 8,550. What was the Dow in the morning before the markets opened?",9000
263,"The average GPA for 6th graders is 93, the 7th graders is 2 more than the 6th graders and the 8th graders average GPA is 91.  What is the average GPA for the school?",93,"The average GPA for 6th graders is 92, the 7th graders is 3 more than the 6th graders and the 8th graders average GPA is 91. What is the average GPA for the school?",92,"The average GPA for 6th graders is 94, the 7th graders is 1 more than the 6th graders and the 8th graders average GPA is 90. What is the average GPA for the school?",93.0,"The average GPA for 6th graders is 93, the 7th graders is 2 less than the 6th graders and the 8th graders average GPA is 91. What is the average GPA for the school?",91.67
264,Nathan bought one large box of bananas. He saw that there are six bunches with eight bananas in a bunch and five bunches with seven bananas in a bunch. How many bananas did Nathan have?,83,Nathan bought one large box of bananas. He saw that there are five bunches with eight bananas in a bunch and six bunches with seven bananas in a bunch. How many bananas did Nathan have?,82,Nathan bought one large box of bananas. He saw that there are six bunches with nine bananas in a bunch and five bunches with seven bananas in a bunch. How many bananas did Nathan have?,89,Nathan bought one large box of bananas. He saw that there are six bunches with eight bananas in a bunch and five bunches with six bananas in a bunch. How many bananas did Nathan have?,78.0
265,"Ellie went to visit a circus with Sarah and they both got lost in the house of mirrors. They have to travel through the house of mirrors a few times before they finally get out and when they leave, they discuss how many times they've seen their own reflections. Sarah says that every time they were in the room with tall mirrors, she saw her reflection 10 times and every time they were in the room with wide mirrors, she saw her reflection 5 times. Ellie says that every time they were in the room with tall mirrors, she saw her reflection 6 times and every time they were in the room with wide mirrors she saw her reflection 3 times. They both passed through the room with tall mirrors 3 times each and they both passed through the room with wide mirrors 5 times each. In total, how many times did Sarah and Ellie see their reflections?",88,"Ellie went to visit a circus with Sarah and they both got lost in the house of mirrors. Sarah saw her reflection 8 times in the tall mirror room and 4 times in the wide mirror room. Ellie saw her reflection 5 times in the tall mirror room and 2 times in the wide mirror room. They both passed through the room with tall mirrors 3 times and the room with wide mirrors 5 times. In total, how many times did Sarah and Ellie see their reflections?",69.0,"Ellie went to visit a circus with Sarah and they both got lost in the house of mirrors. Sarah saw her reflection 10 times in the tall mirror room and 5 times in the wide mirror room. Ellie saw her reflection 8 times in the tall mirror room and 4 times in the wide mirror room. They both passed through the room with tall mirrors 2 times and the room with wide mirrors 4 times. In total, how many times did Sarah and Ellie see their reflections?",72,"Ellie went to visit a circus with Sarah and they both got lost in the house of mirrors. Sarah saw her reflection 10 times in the tall mirror room and 5 times in the wide mirror room. Ellie saw her reflection 6 times in the tall mirror room and 3 times in the wide mirror room. They both passed through the room with tall mirrors 4 times and the room with wide mirrors 6 times. In total, how many times did Sarah and Ellie see their reflections?",112
266,Levi and his brother were playing basketball. Levi had scored 8 times and his brother had scored 12 times. Levi was determined to beat his brother by at least 5 baskets. How many more times does Levi have to score in order to reach his goal if his brother scores another 3 times?,12,Levi and his brother were playing basketball. Levi had scored 10 times and his brother had scored 14 times. Levi was determined to beat his brother by at least 5 baskets. How many more times does Levi have to score in order to reach his goal if his brother scores another 2 times?,11,Levi and his brother were playing basketball. Levi had scored 8 times and his brother had scored 10 times. Levi was determined to beat his brother by at least 3 baskets. How many more times does Levi have to score in order to reach his goal if his brother scores another 4 times?,9,Levi and his brother were playing basketball. Levi had scored 9 times and his brother had scored 11 times. Levi was determined to beat his brother by at least 4 baskets. How many more times does Levi have to score in order to reach his goal if his brother scores another 1 time?,7
267,"The Dow Jones Industrial Average fell 2% today. The Dow ended the day at 8,722. What was the Dow in the morning before the markets opened?",8900,"The Dow Jones Industrial Average fell 3% today. The Dow ended the day at 8,722. What was the Dow in the morning before the markets opened?",8992,"The Dow Jones Industrial Average fell 2% today. The Dow ended the day at 9,800. What was the Dow in the morning before the markets opened?",10000,"The Dow Jones Industrial Average fell 5% today. The Dow ended the day at 8,550. What was the Dow in the morning before the markets opened?",9000
268,"The average GPA for 6th graders is 93, the 7th graders is 2 more than the 6th graders and the 8th graders average GPA is 91.  What is the average GPA for the school?",93,"The average GPA for 6th graders is 92, the 7th graders is 3 more than the 6th graders and the 8th graders average GPA is 91. What is the average GPA for the school?",92.67,"The average GPA for 6th graders is 94, the 7th graders is 1 more than the 6th graders and the 8th graders average GPA is 90. What is the average GPA for the school?",93.0,"The average GPA for 6th graders is 93, the 7th graders is 2 less than the 6th graders and the 8th graders average GPA is 91. What is the average GPA for the school?",91.67
269,Nathan bought one large box of bananas. He saw that there are six bunches with eight bananas in a bunch and five bunches with seven bananas in a bunch. How many bananas did Nathan have?,83,Nathan bought one large box of bananas. He saw that there are five bunches with eight bananas in a bunch and six bunches with seven bananas in a bunch. How many bananas did Nathan have?,82,Nathan bought one large box of bananas. He saw that there are six bunches with nine bananas in a bunch and five bunches with seven bananas in a bunch. How many bananas did Nathan have?,89,Nathan bought one large box of bananas. He saw that there are six bunches with eight bananas in a bunch and five bunches with six bananas in a bunch. How many bananas did Nathan have?,78.0
270,"Ellie went to visit a circus with Sarah and they both got lost in the house of mirrors. They have to travel through the house of mirrors a few times before they finally get out and when they leave, they discuss how many times they've seen their own reflections. Sarah says that every time they were in the room with tall mirrors, she saw her reflection 10 times and every time they were in the room with wide mirrors, she saw her reflection 5 times. Ellie says that every time they were in the room with tall mirrors, she saw her reflection 6 times and every time they were in the room with wide mirrors she saw her reflection 3 times. They both passed through the room with tall mirrors 3 times each and they both passed through the room with wide mirrors 5 times each. In total, how many times did Sarah and Ellie see their reflections?",88,"Ellie went to visit a circus with Sarah and they both got lost in the house of mirrors. Sarah saw her reflection 8 times in the tall mirror room and 4 times in the wide mirror room. Ellie saw her reflection 5 times in the tall mirror room and 2 times in the wide mirror room. They both passed through the room with tall mirrors 3 times and the room with wide mirrors 5 times. In total, how many times did Sarah and Ellie see their reflections?",69.0,"Ellie went to visit a circus with Sarah and they both got lost in the house of mirrors. Sarah saw her reflection 10 times in the tall mirror room and 5 times in the wide mirror room. Ellie saw her reflection 8 times in the tall mirror room and 4 times in the wide mirror room. They both passed through the room with tall mirrors 2 times and the room with wide mirrors 4 times. In total, how many times did Sarah and Ellie see their reflections?",72,"Ellie went to visit a circus with Sarah and they both got lost in the house of mirrors. Sarah saw her reflection 10 times in the tall mirror room and 5 times in the wide mirror room. Ellie saw her reflection 6 times in the tall mirror room and 3 times in the wide mirror room. They both passed through the room with tall mirrors 4 times and the room with wide mirrors 6 times. In total, how many times did Sarah and Ellie see their reflections?",112
271,"A group of bedbugs infested an old mattress. Every day, the number of bedbugs would triple. After four days, there were 810 bedbugs burrowing into the mattress. How many bedbugs did the group start with?",10.0,"A group of bedbugs infested an old mattress. Every day, the number of bedbugs would double. After four days, there were 480 bedbugs burrowing into the mattress. How many bedbugs did the group start with?",30,"A group of bedbugs infested an old mattress. Every day, the number of bedbugs would triple. After five days, there were 2,430 bedbugs burrowing into the mattress. How many bedbugs did the group start with?",10,"A group of bedbugs infested an old mattress. Every day, the number of bedbugs would triple. After three days, there were 810 bedbugs burrowing into the mattress. How many bedbugs did the group start with?",30
272,"Wilfred eats 4 carrots on Tuesday and 6 carrots on Wednesday. If Wilfred wants to eat a total of 15 carrots from Tuesday to Thursday, how many carrots does Wilfred need to eat on Thursday?",5,"Wilfred eats 5 carrots on Tuesday and 7 carrots on Wednesday. If Wilfred wants to eat a total of 20 carrots from Tuesday to Thursday, how many carrots does Wilfred need to eat on Thursday?",8,"Wilfred eats 3 carrots on Tuesday and 4 carrots on Wednesday. If Wilfred wants to eat a total of 12 carrots from Tuesday to Thursday, how many carrots does Wilfred need to eat on Thursday?",5,"Wilfred eats 4 carrots on Tuesday and 6 carrots on Wednesday. If Wilfred wants to eat a total of 18 carrots from Tuesday to Thursday, how many carrots does Wilfred need to eat on Thursday?",8
273,Alex was having a cookout Friday night and planned to serve burgers to his guests.  He planned to cook 3 burgers for each guest and had invited 10 friends over.  1 of his friends didn't eat meat and said they would bring their own food.  Another one of his friends didn't eat bread and would not need the buns.  The burger buns came 8 to a pack.  How many packs of buns did Alex need to buy?,3,Alex was having a cookout Friday night and planned to serve burgers to his guests. He planned to cook 2 burgers for each guest and had invited 12 friends over. 1 of his friends didn't eat meat and said they would bring their own food. Another one of his friends didn't eat bread and would not need the buns. The burger buns came 8 to a pack. How many packs of buns did Alex need to buy?,3,Alex was having a cookout Friday night and planned to serve burgers to his guests. He planned to cook 3 burgers for each guest and had invited 8 friends over. 1 of his friends didn't eat meat and said they would bring their own food. Another one of his friends didn't eat bread and would not need the buns. The burger buns came 8 to a pack. How many packs of buns did Alex need to buy?,3.0,Alex was having a cookout Friday night and planned to serve burgers to his guests. He planned to cook 4 burgers for each guest and had invited 10 friends over. 1 of his friends didn't eat meat and said they would bring their own food. Another one of his friends didn't eat bread and would not need the buns. The burger buns came 8 to a pack. How many packs of buns did Alex need to buy?,4
274,"Kenia has three times as many rats as Hunter and Elodie has together. If Elodie has 30 rats, 10 rats more than Hunter, calculate the total number of pets the three have together?",200,"Kenia has twice as many rats as Hunter and Elodie have together. If Elodie has 30 rats, 10 rats more than Hunter, calculate the total number of pets the three have together?",150.0,"Kenia has three times as many rats as Hunter and Elodie and Hunter have together. If Elodie has 25 rats, 5 rats more than Hunter, calculate the total number of pets the three have together?",180.0,"Kenia has three times as many rats as Hunter and Elodie and Hunter have together. If Elodie has 40 rats, 10 rats more than Hunter, calculate the total number of pets the three have together?",280.0
275,"There are six unicorns in the Enchanted Forest. Everywhere a unicorn steps, four flowers spring into bloom. The six unicorns are going to walk all the way across the forest side-by-side, a journey of 9 kilometers. If each unicorn moves 3 meters forward with each step, how many flowers bloom because of this trip?",72000,"There are five unicorns in the Enchanted Forest. Everywhere a unicorn steps, four flowers spring into bloom. The five unicorns are going to walk all the way across the forest side-by-side, a journey of 9 kilometers. If each unicorn moves 3 meters forward with each step, how many flowers bloom because of this trip?",60000,"There are six unicorns in the Enchanted Forest. Everywhere a unicorn steps, five flowers spring into bloom. The six unicorns are going to walk all the way across the forest side-by-side, a journey of 9 kilometers. If each unicorn moves 3 meters forward with each step, how many flowers bloom because of this trip?",90000,"There are six unicorns in the Enchanted Forest. Everywhere a unicorn steps, four flowers spring into bloom. The six unicorns are going to walk all the way across the forest side-by-side, a journey of 6 kilometers. If each unicorn moves 3 meters forward with each step, how many flowers bloom because of this trip?",48000
276,"On Tuesday, a fruit vendor sold 2.5 dozen lemons and 5 dozens avocados. What is the total number of fruits that the fruit vendor sold?",90,"On Tuesday, a fruit vendor sold 3 dozen lemons and 4 dozens avocados. What is the total number of fruits that the fruit vendor sold?",84,"On Tuesday, a fruit vendor sold 2 dozen lemons and 6 dozens avocados. What is the total number of fruits that the fruit vendor sold?",96,"On Tuesday, a fruit vendor sold 1.5 dozen lemons and 5 dozens avocados. What is the total number of fruits that the fruit vendor sold?",78
277,"Ray has 95 cents in nickels. If Ray gives 25 cents to Peter, and twice as many cents to Randi as he gave to Peter, how many nickels does Ray have left?",4,"Ray has 100 cents in nickels. If Ray gives 20 cents to Peter, and twice as many cents to Randi as he gave to Peter, how many nickels does Ray have left?",8,"Ray has 90 cents in nickels. If Ray gives 15 cents to Peter, and twice as many cents to Randi as he gave to Peter, how many nickels does Ray have left?",9,"Ray has 95 cents in nickels. If Ray gives 20 cents to Peter, and three times as many cents to Randi as he gave to Peter, how many nickels does Ray have left?",3
278,"There are 336 books in a library. On Monday, 124 books are taken out. On Tuesday, 22 books are brought back. How many books are there now?",234,"There are 300 books in a library. On Monday, 120 books are taken out. On Tuesday, 20 books are brought back. How many books are there now?",200,"There are 336 books in a library. On Monday, 100 books are taken out. On Tuesday, 36 books are brought back. How many books are there now?",272,"There are 336 books in a library. On Monday, 124 books are taken out. On Tuesday, 14 books are brought back. How many books are there now?",226
279,"Linda makes and sells necklaces at craft fairs. At her most recent fair she sold 4 necklaces and 8 rings for a total of $80. If each necklace costs $12, how much does each ring cost?",4,"Linda makes and sells necklaces at craft fairs. At her most recent fair she sold 5 necklaces and 10 rings for a total of $100. If each necklace costs $12, how much does each ring cost?",4,"Linda makes and sells necklaces at craft fairs. At her most recent fair she sold 4 necklaces and 8 rings for a total of $88. If each necklace costs $12, how much does each ring cost?",5,"Linda makes and sells necklaces at craft fairs. At her most recent fair she sold 4 necklaces and 10 rings for a total of $90. If each necklace costs $12, how much does each ring cost?",4.2
280,Kyle bought 2 glass bottles that can hold 15 origami stars each. He then bought another 3 identical glass bottles. How many stars must Kyle make to fill all the glass bottles he bought?,75,Kyle bought 3 glass bottles that can hold 12 origami stars each. He then bought another 2 identical glass bottles. How many stars must Kyle make to fill all the glass bottles he bought?,60,Kyle bought 2 glass bottles that can hold 20 origami stars each. He then bought another 3 identical glass bottles. How many stars must Kyle make to fill all the glass bottles he bought?,100,Kyle bought 4 glass bottles that can hold 10 origami stars each. He then bought another 2 identical glass bottles. How many stars must Kyle make to fill all the glass bottles he bought?,60
281,"Nick is asking all his co-workers to chip in for a birthday gift for Sandra that costs $100. The boss agrees to contribute $15, and Todd volunteers to contribute twice as much since he always has to one-up everyone. If the remaining 5 employees (counting Nick) each pay an equal amount, how much do they each pay?",11,"Nick is asking all his co-workers to chip in for a birthday gift for Sandra that costs $120. The boss agrees to contribute $15, and Todd volunteers to contribute twice as much since he always has to one-up everyone. If the remaining 5 employees (counting Nick) each pay an equal amount, how much do they each pay?",15,"Nick is asking all his co-workers to chip in for a birthday gift for Sandra that costs $100. The boss agrees to contribute $20, and Todd volunteers to contribute twice as much since he always has to one-up everyone. If the remaining 5 employees (counting Nick) each pay an equal amount, how much do they each pay?",8,"Nick is asking all his co-workers to chip in for a birthday gift for Sandra that costs $90. The boss agrees to contribute $15, and Todd volunteers to contribute twice as much since he always has to one-up everyone. If the remaining 5 employees (counting Nick) each pay an equal amount, how much do they each pay?",9
282,"Miranda wants to buy a pair of heels she saw online. She saved money for 3 months. Her sister heard that she was sad and gave her $50 for her to buy the heels. If she paid $260 in total for the heels, how much money did she save per month?",70,"Miranda wants to buy a pair of heels she saw online. She saved money for 4 months. Her sister heard that she was sad and gave her $60 for her to buy the heels. If she paid $300 in total for the heels, how much money did she save per month?",60,"Miranda wants to buy a pair of heels she saw online. She saved money for 3 months. Her sister heard that she was sad and gave her $40 for her to buy the heels. If she paid $250 in total for the heels, how much money did she save per month?",70,"Miranda wants to buy a pair of heels she saw online. She saved money for 2 months. Her sister heard that she was sad and gave her $50 for her to buy the heels. If she paid $230 in total for the heels, how much money did she save per month?",90
283,"Michael wants to dig a hole 400 feet less deep than twice the depth of the hole that his father dug. The father dug a hole at a rate of 4 feet per hour. If the father took 400 hours to dig his hole, how many hours will it take for Michael to dig a hole that is 400 feet less than twice as deep as his father's hole working at the same rate?",700,"Michael wants to dig a hole 200 feet less deep than twice the depth of the hole that his father dug. The father dug a hole at a rate of 4 feet per hour. If the father took 400 hours to dig his hole, how many hours will it take for Michael to dig a hole that is 200 feet less than twice as deep as his father's hole working at the same rate?",750,"Michael wants to dig a hole 400 feet less deep than twice the depth of the hole that his father dug. The father dug a hole at a rate of 5 feet per hour. If the father took 400 hours to dig his hole, how many hours will it take for Michael to dig a hole that is 400 feet less than twice as deep as his father's hole working at the same rate?",720.0,"Michael wants to dig a hole 800 feet less deep than twice the depth of the hole that his father dug. The father dug a hole at a rate of 4 feet per hour. If the father took 400 hours to dig his hole, how many hours will it take for Michael to dig a hole that is 800 feet less than twice as deep as his father's hole working at the same rate?",600
284,"Danny has 3 bottles of soda. He drinks 90% of one bottle and gives 70% of the other two bottles to his friends. How much soda does Danny have left, expressed as a percentage of a bottle?",70,"Danny has 3 bottles of soda. He drinks 80% of one bottle and gives 60% of the other two bottles to his friends. How much soda does Danny have left, expressed as a percentage of a bottle?",100,"Danny has 4 bottles of soda. He drinks 90% of one bottle and gives 70% of the other three bottles to his friends. How much soda does Danny have left, expressed as a percentage of a bottle?",100.0,"Danny has 3 bottles of soda. He drinks 50% of one bottle and gives 50% of the other two bottles to his friends. How much soda does Danny have left, expressed as a percentage of a bottle?",150
285,"Tom and Tim both brought 4, six-sided dice to school. How many total sides are there?",48,"Tom and Tim both brought 5, six-sided dice to school. How many total sides are there?",60,"Tom and Tim both brought 4, eight-sided dice to school. How many total sides are there?",64,Tom brought 3 six-sided dice and Tim brought 4 six-sided dice to school. How many total sides are there?,42
286,"A Statistics student wants to find out the average daily allowance of the middle school students. According to his survey, 2/3 of the students receive an average of $6 allowance per day while the rest gets an average of $4 a day. If he surveyed 60 students, what is the total amount of money those 60 students get in a day?",320,"A Statistics student wants to find out the average daily allowance of the middle school students. According to his survey, 3/4 of the students receive an average of $6 allowance per day while the rest gets an average of $4 a day. If he surveyed 60 students, what is the total amount of money those 60 students get in a day?",330.0,"A Statistics student wants to find out the average daily allowance of the middle school students. According to his survey, 2/3 of the students receive an average of $5 allowance per day while the rest gets an average of $4 a day. If he surveyed 60 students, what is the total amount of money those 60 students get in a day?",280,"A Statistics student wants to find out the average daily allowance of the middle school students. According to his survey, 2/3 of the students receive an average of $6 allowance per day while the rest gets an average of $5 a day. If he surveyed 60 students, what is the total amount of money those 60 students get in a day?",340.0
287,"In ten years, I'll be twice my brother's age. The sum of our ages will then be 45 years old. How old am I now?",20,"In eight years, I'll be twice my brother's age. The sum of our ages will then be 44 years old. How old am I now?",21.33,"In ten years, I'll be twice my brother's age. The sum of our ages will then be 50 years old. How old am I now?",22,"In ten years, I'll be three times my brother's age. The sum of our ages will then be 55 years old. How old am I now?",31.25
