id,gold_label,truth_original_orig_correct,truth_original_nec_correct,truth_original_suff_correct,truth_original_nec_ctrl_correct,truth_original_suff_ctrl_correct,truth_lexical_orig_correct,truth_lexical_nec_correct,truth_lexical_suff_correct,truth_lexical_nec_ctrl_correct,truth_lexical_suff_ctrl_correct,truth_syntactic_orig_correct,truth_syntactic_nec_correct,truth_syntactic_suff_correct,truth_syntactic_nec_ctrl_correct,truth_syntactic_suff_ctrl_correct,truth_pragmatic_orig_correct,truth_pragmatic_nec_correct,truth_pragmatic_suff_correct,truth_pragmatic_nec_ctrl_correct,truth_pragmatic_suff_ctrl_correct
744,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
746,entailment,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0
747,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,entailment,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
749,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
751,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
752,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1
753,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
754,contradiction,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0
755,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
757,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
759,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
760,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
761,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
763,entailment,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
765,contradiction,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0
767,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
768,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
769,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
770,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
771,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
772,entailment,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
774,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,contradiction,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
777,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
779,entailment,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
780,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
781,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
782,entailment,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
784,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
786,entailment,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
790,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
793,entailment,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
794,entailment,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
795,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
797,entailment,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
798,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
799,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
800,entailment,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0
