id,Premise,Hypothesis,gold_label,Explanation
427,A man is sitting on a bike in the middle of the woods.,The man stops on his bike in the wilderness.,entailment,Woods are found in the wilderness.
428,A crowd is standing in front of a building while holding newspapers and holding flags.,A single man is standing outside of a building holding cotton candy.,contradiction,A single man is not a crowd.
429,En exotic young lady looks perplexed while speaking with an older gentleman.,Woman is confused by the old mans ramblings.,neutral,Just because someone looks perplexed doesn't mean that she is confused.
430,A man is sitting on top of a mountain.,a man plays in the valley,contradiction,A VALLEY IS NOT A MOUNTAIN
431,a firefighter standing proud in front of his truck.,The firefighter is sleeping.,contradiction,A firefighter can't be sleeping and standing.
432,Two children and a man are looking at the grass beside a lake.,A man and his kids are going to fish.,neutral,The kids or children may not be the mans. Being beside a lake does not infer fishing.
433,A man wearing headphones and a checkered shirt with tan jacket reaches inside his jacket while crossing a busy street.,A woman is standing at the crosswalk.,contradiction,A man is not a woman.
434,waiting for someone on the street.,Someone is inside watching tv.,contradiction,Streets are normally outside of where someone would watch TV. One could not simultaneously be out on the street and inside watching TV.
435,a young girl in red riding a unicycle,A young girl running and riding a unicycle,contradiction,The girl can't be running while riding a unicycle.
436,A man in a red jacket is walking on sand next to a large rock structure.,A man is seated on the toilet in a bathroom.,contradiction,A man walking on sand cannot be seated in a bathroom.
437,"A middle-aged man with a white beard and glasses holds up a small, wooden handmade cabinet.",The man is empty-handed.,contradiction,not all the men ate middle-aged
438,A man with a skateboard performs a trick.,The man owns a skateboard.,entailment,A man with a skateboard would be a man that owns a skateboard.
439,A crowd of people holding political signs.,A group of people are skydiving.,contradiction,People skydiving can not hold political sign at the same time.
440,A kicker launches the football forward while the holder checks his fingers.,kicker kicks off,neutral,kicker kicks off rather than just kicking
441,"One men is laughing while being kissed on the cheek by another man, both men are wearing formal wear",Both men are homosexual.,neutral,A man kissing another man on the cheek does not imply that they are homosexual.
442,Four runners race down the street.,The runners are competing in a marathon.,neutral,Racing down the street does not imply that runners are competing in a marathon.
443,A man working on something alone in an industrial setting.,A person is doing a job without anyone else around.,entailment,A man  is the person working on or doing a job alone without anyone else.
444,A group of professionally dressed people are sitting near each other is a downtown area of a city.,people on lunch break,neutral,Sitting near each other does not necessarily mean on lunch break.
445,Two scientists are examining a petri dish.,Scientists are looking at a petri dish,entailment,The scientists who are looking at the petri dish are examining the petri dish.
446,Four children are smiling as they pose together with a bicycle that is much too big for them.,A group of kids is happy with the vehicle they'll grow into.,entailment,A group is another way to describe a number of something.
447,A white man in the background watches a black man in the foreground playing with a soccer ball on a beach.,Two men outside at the beach.,entailment,On a beach is different from outside beach
448,Three kids and one adult walking on a path.,there is kids and adult walking the bathroom inside home,neutral,Just because an adult and kids are walking on a path does not meant they are inside.
449,Three adults wearing lab coats pose for a picture with alcohol.,The lab coats are blue.,neutral,You can't infer they are colored blue
450,A young blond girl with a pink shirt on jumps high into the air while kicking her foot out and sticking her tongue out.,The girl sprained her ankle and is in a wheelchair.,contradiction,A human would not be doing jumps with a sprained ankle.
451,"Two people are in a rowboat on a rock-lined lake, one wearing a yellow shirt and rowing, and the other sitting in the front of the boat.","Two people in a rowboat in a rocky lake, one rowing, the other sitting.",entailment,A rock-lined lake can also be referred to as a rocky lake.
452,A large group of swimmers entering the water.,Noone will get wet.,contradiction,If a large group of swimmers get in to the water they will get wet.
453,Woman in green tops is watching the dark clouds.,A Woman in a green top and red pants is watching the dark clouds in the rain.,neutral,Just because there is a women in green top watching the dark clouds doesn't mean it is the same women and it is raining.
454,A black man is sitting on a bench in front of a public transit map.,A veteran sits on a bench near a transit stop.,neutral,I didn't know the black man was a veteran.
455,A silver-haired man at the steering wheel looks back and smiles.,A man sitting at a steering wheel.,entailment,The man looks back and smiles implies he is sitting at the steering wheel while doing so.
456,A young lady with an umbrella is walking by while two women are adoring the adorable puppy one gentleman was walking.,there is a snowstorm so no one is on the street,contradiction,"A young lady, two women and a gentlemen means there is someone on the street, therefore no one on the street can not be correct."
457,A person is sitting behind two large baskets of bread.,There is a person standing near the produce,contradiction,The person cannot be standing near the produce if they are sitting behind two large baskets of bread.
458,A large brown and a small white dog play indoors on a carpet.,One dog was blue and the other dog was black.,contradiction,We hear the dogs are brown and white then told they are actually blue and black.
459,A group of people walk down a path in a wooded area.,Boy Scouts are hiking through a National Forest.,neutral,the fact that there is a group of people walking in a wooded area does not imply that they are Boy Scouts or that they are in a National Forest.
460,Regal horse and white carriage scene with female driver and two blond little flower girls dressed in white.,Regal dinosaur and white carriage scene with female driver,contradiction,The animal must be either a horse or dinosaur.
461,A man in heavy clothing with a cart of tools bending to inspect the floor,A maintenance worker is preparing to do some remodeling.,neutral,"A man in heavy clothing doesn't have to be a maintenance worker, also inspecting the floor doesn't have to mean remodeling."
462,"While others gather in areas, a man in a brown shirt sits with reading material in hand.",The man is wearing a green shirt and standing in a group.,contradiction,The man cannot be sitting while others gather and then be part of a group.
463,Passengers boarding a train.,THe passengers board the train,neutral,The fact that passengers boarding a train does not imply that THe passengers board the train.
464,A woman is riding a bike while a handicapped man rides beside her on a motorized vehicle.,Some people head down a street next to each other.,neutral,We do not know if they are on the street.  They could be anywhere.
465,A maintenance worker on hands and knees cleaning out drainage ditch.,A female worker dances on a stripper pole.,contradiction,She would not be able to be dancing while she is cleaning out a drainage ditch.
466,A man is playing guitar and wearing sunglasses.,A man is smashing his guitar.,contradiction,Playing is not the same as smashing.
467,There are people sitting in seats that are in rows.,There are people in seats at the theater.,neutral,Not all seats in rows are in a theater.
468,A man in a plaid shirt is selling products to customers.,A man is selling electronics to customers.,neutral,Not all products are electronics.
469,A man in a red sweater is walking past a mural.,A man walks near a wall.,entailment,a mural is hung on a wall
470,Four women sitting on a black couch drinking beer.,The group of women are riding bikes.,contradiction,The women cannot be sitting on a couch drinking beer and riding bikes at the same time
471,Two police starting at street activity.,Two police were eating donuts at a donut shop.,contradiction,The police staring at street activity are not eating donuts in a donut shop.
472,A costumes woman applies makeup while looking in a mirror.,A lady is putting makeup on.,entailment,A woman looking in a mirror while she makeup on.
473,An older woman sews happily whilst sitting.,A woman sits and sews for her grandkids.,neutral,the woman could be sewing for anybody not just her grandkids.
474,A woman in colonial clothing being plunged into the water.,the woman is about to get very wet.,entailment,Being plunged into water would cause a person to become very wet.
475,A surfer does a flip on a wave.,The surfer is in the water.,entailment,The surfer flip on wave since he is in water
476,A little boy aims a basketball at the hoop.,A little boy plays basketball at an indoor gym.,neutral,the fact that the boy is aiming a basketball at the hoop does not imply that he is playing at an indoor gym.
477,A woman in a long white dress and white boots is walking along a stone structure with white stone columns.,A woman in white is sleeping in her bed.,contradiction,walking and sleeping are different actions
478,A man with facial hair in white clothes eating a steak.,A woman with facial hair is eating steak.,contradiction,A woman and a man are different genders.
479,The cute baby in a diaper and shirt plays in the dirt.,The child's mother is watching her carefully.,neutral,A baby can play in the dirt even if the child's mother isn't watching.
480,Large black and white dog jumping hurdle,the dog is eating dog food.,contradiction,The dog cannot be simultaneously eating dog food and jumping a hurdle.
481,A blank wall of whiteness.,the wall is blank,entailment,If the wall is blank of whiteness it is blank.
482,The man is sitting on the bench sleeping.,The man is sleeping.,entailment,The man is sleeping is a rephrasing of a man is sitting on the bench sleeping.
483,a man pushes a boy on a zip line.,A boy is riding a zip line.,entailment,A man is enjoying zip line activity.
484,A man wearing all black walking down the sidewalk looking at his I-Pod.,A man is wearing all white.,contradiction,black is contradictory to white.
485,A man in a black shirt is playing bowling where the pins are replaced with spray paint cans and there is a graffiti filled wall in the background.,A man plays a game of bowling with spray paint cans after using the cans to paint the wall.,neutral,"Just because he has spray paint cans, it does not imply that he was using the cans to paint the wall."
486,A shirtless man in blue pants repairs a steel tea pot.,A man is wearing a suit and tie.,contradiction,One cannot be shirtless and wear suit simultaneously.
487,a woman in a blue shirt sitting on a red couch,A woman is wearing a pink shirt sitting on a yellow couch.,contradiction,Blue and pink are different colors.
488,A man operates an industrial sewing machine.,a man is in a factory,neutral,Industrial sewing machine does not necessarily mean it is in a factory.
489,A group of men in a yellow boat with their dogs.,A group of men are enjoying the weather.,neutral,All men in a yellow boat with their dogs are not always enjoying the weather.
490,A little girl is hugging a woman.,A little girl is talking to a man.,contradiction,She is either doing an action with the man or with the woman.
491,A soccer player prepares for a corner kick.,The soccer player is playing soccer.,entailment,A soccer player that prepares for a corner kick is definitely playing soccer.
492,A heavyset man running a Pro-Saw concrete saw with a piece of white construction equipment in the background.,There is a piece of white construction equipment behind the heavyset man.,entailment,Saying that the white construction equipment is in the background of a heavyset man is the same as saying that there is a piece of white construction equipment behind the heavyset man.
493,A dog walking through a small stream with a rag in his mouth.,the dog sat on the window ledge watching the storm,contradiction,The dog cannot be running and have sat at the same time.
494,A man wearing a black backwards hat and a gray shirt with a large ear gauge walks through a fish market.,A guy is wearing a red hat.,contradiction,one has a black hat on while the other is in a red hat
495,Two girls cleaning a floor.,Two girls cleaning after their work shift.,neutral,"When there are two girls cleaning a floor, it does not necessarily mean that either of the girls has a job, nor does it mean that the two girls are cleaning after their work shift."
496,A group of children play jump rope in the streets while others watch in the background.,A brilliant red sun sets over a deserted beach,contradiction,One is about a group of children and the other the red sun. They do not go together.
497,"Four men are rollerskating in a line, with the last three holding onto the hips of the man ahead of them.",Tall men skating.,neutral,Not all tall men roller skate.
498,A group of young adults window shop.,The group of young adults march in the street.,contradiction,Window shopping and marching in the street are different actions for a group of young people.
499,An Asian man is standing on a busy sidewalk as people walk by with bags.,The man is in the forest.,contradiction,If the man is standing on a busy sidewalk that means he's near a road so he can't be in the forest
500,A dog is plling a very large branch out of the water.,An animal is dancing.,contradiction,the dog cannot be dancing and plling at the same time
501,Three women down the street with trees in the background.,Some women are strolling through a neighborhood.,neutral,Just because three women down the street with trees in the background does not mean they are strolling through a neighborhood.
502,a girl in a blue hoodie is carrying a brown bag,A girl in a blue hoodie is carrying a brown bag filled with groceries.,neutral,The brown bag doesn't have to be filled with groceries necessarily
503,A tennis player on a tennis court bent over and running.,The tennis player is on a court,entailment,A tennis player on a tennis court is same as the tennis player is on a court
504,A man in a flannel shirt and denim overalls working with tools in a workshop.,The man is listening to music.,neutral,Not all men working in a workshop are listening to music.
505,A door in a tall concrete wall,A window in the wall.,contradiction,A window and door can't both be in the wall.
506,A young girl with a pink headband hits a dish and pan with chopsticks.,a young girl hits a dish,entailment,girl with a pink headband hits a dish and girl hits a dish means the same.
507,Two dogs playing with the same red toy.,Two dogs are curled up sleeping.,contradiction,The dogs cannot be playing and sleeping simultaneously.
508,Road crew dressed in safety green shirts are standing near a white 4 x 4 truck.,Road crew trying to fix a fax machine.,contradiction,There would not be a fax machine on a truck. A road crew would not be employed to fix a fax machine.
509,A man wearing a green jacket is holding onto a baby in an orange bonnet.,A man is carrying his son.,neutral,A man holding onto a baby is not necessarily carrying his son.
510,A woman with a white tank top and red sunglasses holding a volleyball.,The volleyball player is having a rest before the game starts.,neutral,She could have been playing or doing many other things with the ball but we learn she was having a rest.
511,"A crowded marketplace is filled with people, including women with their heads covered with veils.",Women wear veils in a marketplace.,entailment,Covered with veils shows one is wearing a veil.
512,Black dog with blue string in its mouth.,The dog has something in its mouth.,entailment,the something in the dog's mouth is the string
513,Some plants are growing near the window.,Some plants are sitting in green and red pots.,neutral,Not all plants are sitting in green and red plots.
514,A woman with a large purse and boots walking in a marble-looking hall.,A woman with a large purse and boots is walking in a bank.,neutral,There may be places with marble-looking halls other than a bank.
515,A woman is sleeping while sitting on a park bench.,A woman is feeding ducks at the park.,contradiction,One cannot be sleeping and feeding ducks simultaneously.
516,Three motorcycles with people on them going either shopping or to work.,Three bikers ride to their destinations.,entailment,Three motorcycles with people on them are going somewhere in the first sentence and three bikers are riding to their destinations in the second sentences.  The second sentence follows from the first because it merely restates the terms in the first.
517,A woman in a black bikini jumps into the water.,girl plays hockey,contradiction,A girl can either be jumping into water or playing hockey not both.
518,Two dogs are playing in a grassy field.,The dogs are running around outside.,entailment,Running in a grassy field is a form of playing outside for dogs.
519,Two people are sitting on a wooden bench by trees in front of a white building.,two people run around near a white building,contradiction,The two people cannot be simultaneously sitting and running around.
520,A brown dog with a pink collar with a heart on it playing with a bigger dog.,A flamingo is playing with a frog.,contradiction,Dog and Flamingo - contradictory
521,Two men in white are playing a game while a man behind them walks towards them.,The two men are dragons.,contradiction,One cannot be two men and dragons simultaneously.
522,A woman and man with bikes stand by a man with a guitar in front of a large building with a balcony.,The man is playing the guitar.,neutral,A man with a guitar does not imply he is playing the guitar.
523,A boy is posing for a photograph on the beach.,A boy is taking a picture at the circus.,contradiction,A boy can not be posing for a photograph while taking a picture and he is not on the beach and at the circus.
524,Two basketball players corner an opponent.,basketball players playing basketball.,entailment,If two basketball players corner an opponent then they are playing basketball.
525,"Many onlookers look upon some firefighters behind caution tape, along with a man in a suit on a cellphone.",A building is on fire.,neutral,Firefighters behind caution tape does not mean a building is on fire.
526,"Two dogs, one light brown and one gray, play outdoors on the grass.",A dolphin is playing in the water.,contradiction,the dog ant the dolphin are differents animals
527,Four women in all black barefoot posing on the beach with sailboats in the distance.,a man poses on the beach,contradiction,The person posing cannot be both a woman and a man.
528,A person in a coat is shoveling a snow-covered sidewalk in front of a street corner and a parked bicycle.,The person is working.,neutral,"Someone shoveling snow is not necessarily working, he could be doing it for fun."
529,The woman is placing an orange rose as a boutonniere on the man's suit jacket collar.,A large human in a jacket.,neutral,Not all men are large.
530,The mountaintop is filled with snow.,The mountain is big,neutral,The mountain doesn't have to be big to be filled with snow.
531,An older Asian man is baking bread sticks in an oven.,a man is baking something.,entailment,Older Asian man describe the man who is baking.
532,A bride and groom are holding hands at a wedding ceremony.,A couple is at their wedding.,entailment,A bride and groom are a couple. A wedding ceremony is their wedding.
533,"A baby shower was held for the new mother, there was a lovely cake in pink and white, and strawberries and punch for refreshments.",A mother is throwing a birthday party for her son.,contradiction,A birthday party is not a baby shower.
534,A girl in a bikini swimming in a body of water.,The girl is feeding a giraffe.,contradiction,A girl cannot be swimming and feeding a giraffe at the same time.
535,Two men in dress shirts and holding microphones sing together.,Two men in dress shirts eat at a restaurant.,contradiction,"If they are singing, then they would not be able to eat."
536,And male and female duo perform on stage.,a man and woman performing on stage.,neutral,The male and female could be any age but man and woman implies adults. Also the male and female duo could be any species but man and woman indicates human
537,"A bride, groom, and their friends take a walk down a path.","A bride, groom and friends are walking.",entailment,the people are taking a walk down a path therefore they are walking in general
538,Two guys are welding a large black pipe,Men with a pipe.,entailment,Men have to be with a pipe to be welding it and men is a rephrasing of guys.
539,A large group of what appear to be Indian women and children stand for a photo outside of a building.,The woman is wearing an orange dress.,neutral,Not all women standing for a photo wear an orange dress.
540,Three young people drink beers at a bar.,There are no patrons drinking beers at the bar.,contradiction,There can't be three people and no people drinking beer at the same time
541,"A group of women and a quilt that says ""Peace Knits"".",women are knitting for soldiers,neutral,The woman can be knitting for any one other than the soldiers.
542,Two men sit at a table on the sidewalk under a francisco street sign,The men are standing at the table.,contradiction,To sit at a table is different than standing at the table.
543,A man is sitting on a silver scooter.,A woman leans against a brown scooter.,contradiction,There is a man and woman
544,A girl in a bikini in climbing rocks.,She is at a rocky beach.,neutral,"She could be climbing anywhere, not necessarily at a beach."
545,A tattoo artist concentrating as he works on creating a tattoo for a customer.,A woman is having her hair dyed red.,contradiction,The artist is a he and works on creating a tattoo then it can't be a woman having her hair dyed.
546,A man with a dog.,A man pets a dog.,neutral,Just because there is A man with a dog does not mean he pets the dog.
547,A man in an orange jacket and pants standing in the street looking at a orange truck.,A man standing outside,entailment,A man must be standing outside in order to be standing in the street.
548,Fisherman on boat grabbing a net filled with what appears to be clams.,The man is old.,neutral,Not all fisherman are old.
549,A shirtless man wearing light blue shorts and a baseball cap stands at the front of a boat.,The man is sailing.,entailment,The man stands at the front of the boat to adjust the sailing mechanisms.
550,A young oriental man naps on a bench with his bookbag behind his head.,A man rests on a bench.,entailment,Naps and rests are synonyms for what the man is doing on the bench.
551,A male soccer player kicks the soccer ball with his right foot.,A man  kicks the soccer ball with his right foot.,entailment,a man who plays soccer is said to be a male soccer player
552,"A man in a black shirt appears to be jumping in the air holding two boards with a sign saying ""stomp"" in the background.",a man is holding a sign,entailment,The man must be wearing a black shirt and jumping in the air while holding the sign.
553,A tan dog jumps up to catch a tennis ball.,The dog is jumping.,entailment,"The tennis ball is in the air, so the dog jumps to catch it."
554,A man and a woman are planting flowers.,People are digging holes.,contradiction,A man and a woman indicates two people while people indicates more than two. Planting flowers does not mean they are digging holes necessarily.
555,A man is riding a motorcycle through the streets of an Indian bazaar.,A bike riding is wearing a helemt,neutral,Not all man riding a motorcycle wears a helemt.
556,A couple sitting on a couch both make humorous faces.,The couple are enjoying a funny movie.,neutral,There are other reasons the couple could be sitting on a couch making humorous faces that do not involve enjoying a funny movie.
557,"A man in a green shirt, wearing glasses, cooking meat on a grill outside.",A man chops tomatoes for a salad.,contradiction,The man cannot be cooking meat and chopping tomatoes simultaneously.
558,A group of people gather on a basketball court as one person jumps for the ball.,A basketball player is jumping after a ball with his friends.,neutral,"Someone jumping for a ball does not have to be a basketball player, it could be someone on the sidelines trying to catch an offsides ball.  Likewise, this person may be with his friends, family, acquaintances or strangers, there is no reason to think he is with his friends."
559,Two young men playing electric guitars in a grunge-type setting.,Nobody is playing music.,contradiction,Either there is nobody playing or two men playing.
560,A woman and a man sitting on a bench in front of a restaurant.,A woman and a man sitting on the ground eating pudding.,contradiction,A bench is not the ground.
561,A black and a black dog are running.,Two lifeforms running.,entailment,The two lifeforms are black.
562,A black and white dog is playing with a ball on a lawn.,A very large dog is playing with a ball,neutral,the fact that the dog is playing with a ball does not imply that the dog is very large.
563,The journey is temporarily delayed by mechanical malfunctions.,"Since everything is going perfectly, the family will make their trip on time.",contradiction,One cannot be delayed and on time.
564,"Three people in shorts, two shirtless are in front of an Asian storefront, one resting in a chair and the other two cleaning and watering.",The people are all inside of the store.,contradiction,"If everyone is inside, then there can't be two people in front of the storefront."
565,The Beijing Olympics is being set up.,It is only a month before the start of the games.,neutral,Without knowing the dates it is impossible to know how long until the games will begin.
566,A city with historical buildings at a distance on each side of the street with people on the sidewalks looking on.,A city with historical buildings has people on the sidewalks walking very fast.,neutral,People are not necessarily walking very fast.
567,Men working on a building.,Men are working.,entailment,"""Working on a building"" is  a form of ""working"""
568,"A cook grills up hamburger patties in the window, exposing the kitchen to the view of people on the street.",The cook is asleep in the kitchen.,contradiction,asleep and grills can't be at the same time
569,Reflections from the firemen's uniforms.,The fireman are fighting a fire.,neutral,The fireman is not necessarily fighting a fire.
570,Two guys dressed in vests and dress pants.,Two guys are taking a test.,contradiction,Guys are either dressed in vests and dress pants or taking a test.
571,A young male child running and smiling quite contently.,A little boy is crying.,contradiction,The boy can't be crying while smiling.
572,Young adults wearing hats read.,young adults are not wearing hats,contradiction,"The young adults are wearing hats or not, and they may or may not be reading."
573,Group of people dancing,people are dancing with one another during a religious ritual,neutral,Just because people are dancing does not imply they are dancing with one another during a religious ritual.
574,Two people are in a sky carriage.,Two friends ride the sky carriage.,neutral,The two people are not necessarily friends.
575,"Two men sit on a park bench, watching the river roll by, as a dog stands off to the side.",Two guys are watching a river and there's also a dog there.,entailment,Men are guys. People watching the river roll by are watching a river. A dog that is off to the side is nearby.
576,A little girl poses for the camera in front of a city walk near water.,A little girl is sitting on a couch inside in a living room.,contradiction,The girl can't be sitting on a couch inside a living room and posing near the water.
577,A little girl is riding on the front of a shopping cart in a store.,the girls is five,neutral,Not all girls are five.
578,A man on a half pipe doing a skateboard trick.,A man is competing in a skateboard competition.,neutral,The man doing a skateboard trick is not necessarily competing.
579,A old male with a bear sitting down with a circular piece of metal.,Man doing push ups,contradiction,one can't do push ups while sitting
580,A white man on a phone sits at a very messy desk.,A man is listening to music on the radio.,contradiction,A man can't listen to radio and be on the phone.
581,A man is carrying a bag in his left hand.,A man has something in his left hand.,entailment,The something in his hand is a bag.
582,"An asian girl in a pink, white and gold leotard dances and holds onto a blue hula hoop.",An Asian girl is doing her math homework.,contradiction,The girl is either dancing or doing homework.
583,There are three ladies walking down a busy street.,There are ladies on the street.,entailment,The ladies being on the street indicate that they are walking on said street.
584,Riders waiting to get on the train.,People are waiting to get on a train to start their vacation travel.,neutral,Not all riders waiting to get on the train are waiting to get on a train to start their vacation travel.
585,A young boy wearing a yellow shirt and gray pants is playing at a creek.,There is a boy outside,entailment,A creek is outside so if a boy is playing at a creek then he is outside.
586,A boy in a red shirt riding a bike.,A boy is riding a bike.,entailment,The boy is riding a bike regardless of whether or not he has on a shirt.
587,A small child stands in front of short white table.,A baby asleep in a carseat.,contradiction,The child cannot be standing in front of a short white table and asleep at the same time.
588,A dog with golden fur is chest deep in water.,Animals is swimming in water.,neutral,You can not infer there are Animals.
589,"A woman with a white shirt is standing near a couple in front of a store called ""Concepts.""",The woman is sleeping in her bed.,contradiction,The woman cannot sleep and stand simultaneously. She also cannot be in bed while near a couple.
590,A woman is wearing a sun cap by a red stand.,A lady sitting next to red stand is wearing a sun cap with a flower in it.,neutral,A woman can be by a stand without sitting next to it.  The sun cap could be a cap without a flower.
591,Two men are playing baseball.,Two men cheering for their baseball team.,contradiction,You either play baseball or you cheer for your team
592,These girls are in uniforms and are playing field hockey.,Girls playing sports outdoor on the field.,entailment,Field hockey is an outdoor sport.
593,"Six children, boys and girls, jumping into a swimming pool.",Group of children jump into the outdoor pool at night,neutral,Jumping into a pool does not imply it is night.
594,"A man walking across a crosswalk with long hair, a green hoodie, and a backpack.",A man walking across a crosswalk in a busy street.,neutral,We don't know that the crosswalk is in a busy street.
595,A man is standing on dirt with his hands in the air with mountains and snow behind him.,A man is standing close to a mountain.,entailment,HE IS STANDING.
596,Boy in Red uniform holding up trophy.,A child holds an award.,entailment,Trophy is a type of award.
597,Smiling young girl wearing pink headband and lavender shirt,A girl who looks like she's from the 70s is smiling at the camera.,neutral,Wearing a headband does not imply the girl looks like she's from the 70s or that she is smiling for the camera.
598,A man is kneeling on the sidewalk to talk to a little girl.,The man is on a motorbike.,contradiction,One can't be kneeling and on a motorbike at the same time.
599,Two African-American people are sitting on a couch and chair looking at something.,Two African American people are watching television,neutral,Just because two African American people are sitting on a couch and chair looking at something it does mean people are watching television.
600,A baseball player in a blue uniform beats a runner to the base.,A human playing baseball.,entailment,A baseball player is a human.
601,"Three gentlemen in business-formal attire drink and socialize at an indoor event, with two of the men looking off to the left and one of the men holding a bottle smiles for the camera.",The people at the indoor event is work related.,neutral,Sentence 1 doesn't mention work and business-formal attire does not imply work related.
602,Two girls wearing identical outfits are performing what appears to be a tap dance routine.,Two girls are performing a routing where they move their body parts.,entailment,girls are performing a tap dance routine is same as girls are performing a routing where they move their body parts
603,A player either fielding a high pass or going up for a shot while being defended on the basketball court.,The person is playing basketball.,entailment,"A player is a person, and a basketball court implies basketball."
604,"A man dressed in black is attaching a tow-bar to a dark blue, wrecked SUV.",The SUV is green.,neutral,Not all SUVs are green.
605,"The mother is in the kitchen cleaning, she has her cleaning clothes on.",A mother is cleaning up in the kitchen before her family comes home.,neutral,A mother cleaning doesn't imply she is expecting the return of her family
606,One man in a white robe with a microphone is reading off a sheet of paper to a crowd of people.,A man wearing a robe is reading a poetry to a crowd.,neutral,Not all men who read off a sheet of paper are reading poetry.
607,A blond girl and two American flags,A girl has two flags.,entailment,The girl actually has two flags.
608,The little girl is picking up the beans.,a little girl throws away some food,contradiction,A girl can't pick up and throws something at the same time.
609,A group of people on a large boulder all wearing life vests.,A group of people on a large boulder all wearing life vests are going to go white rapid rafting,neutral,"The boulder could be at the side of an ocean and the people are going on a whale watching cruise or boat trip, not necessarily white water rafting."
610,Three women are out having a drink together.,three women together,entailment,If women are having a drink together then they are together.
611,A brown dog is laying on its back on the grass with a ball in its mouth.,A brown dog has a ball in its mouth,entailment,A dog with a ball in its mouth is a  dog with a ball in its mouth.
612,Person walking across a snow covered mountain.,the person is climbing everest,neutral,All snow-covered mountains are not everest.
613,A small white dog stands on its hind legs.,dog stands on hind legs,entailment,A dog that stands on its hind legs does stand on its hind legs.
614,A man in glasses is eating food.,The man is eating a delicious dinner at a restaurant.,neutral,The man is not necessarily eating a delicious dinner at a restaurant.
615,Asian people standing on the street waiting for a bus.,The photo is set in Japan.,neutral,Not all Asian people standing on the street are in Japan
616,"Two lacrosse teams- one in black and orange, and the other in blue and white- play on a grass field.",people sleep in a tent,contradiction,Play is an active and sleep is an inactive subject.
617,A man sits outside in the partial shade in a hammock reading something.,"He had read Hemingway before, but never in such comfort.",neutral,A man outside read Hemingway
618,A man carving a pumpkin in his boxers.,The man is naked.,contradiction,The man can be in his boxers or naked.
619,"A baby shower was held for the new mother, there was a lovely cake in pink and white, and strawberries and punch for refreshments.",There were only strawberries to eat at the baby shower.,contradiction,Only strawberries does not mean a cake.
620,Two guys in jackets with the hoods on making a pose for the camera on the beach.,Two guys in jackets with the hoods on making a pose by smiling for the camera on the beach.,neutral,Men can pose for a camera without smiling.
621,A boy with snowshoes on is sitting in the snow and smiling.,a boy sitting in snow beaming,entailment,In a both sentence a boy sitting in snow.
622,"A sleeping man lays on a bench, resting on the lap of an older, sleeping man.",Someone is resting on a bench.,entailment,Resting is another way of describing someone who is sleeping. If someone is resting or sleeping generally they are laying down.
623,A horse and jockey jumping over a barrier.,A horse jumping over a large barrier,neutral,You can not infer the barrier is large.
624,Two people standing in a road with a crashed motorcycle.,People seeking help of others to take away their motorcycle,neutral,"Just because they are standing in a road with a crashed motorcycle doesn't mean they are looking for help. They may be there to help, or they may have deliberately caused the crash."
625,A man in blue shirt is staring on something.,A man's eyes are open.,entailment,Ones eyes must be open to be staring.
626,A boy wearing a flowered shirt raises his arm and jumps.,A boy is sitting down reading a book.,contradiction,The boy cann't raise his arms and jump while sitting reading a book.
627,A child riding a bike in a fenced in circular area in front of some water,A child is sitting on the floor.,contradiction,The child can't be riding while sitting.
628,A football player holding a ball is being chased by the Knights team.,A football player is making a goal while the other team chases him.,neutral,"A team does not have to be a Knights team, and a football player with a ball being chased  may not be making a goal."
629,Two people crossing paths in the ocean while parasailing during a clear blue day.,Two sharks are performing gymnastics,contradiction,People are not sharks. Parasailing is a form of entertainment and gymnastics is a form of exercise.
630,Two firefighters are putting out a fire at a dump.,Two people are putting out flaming garbage.,neutral,The people are not necessarily putting out flaming garbage.
631,A group of children are watching another child do a backflip into the water.,A group of children are in a classroom taking a test.,contradiction,"Classrooms are not located in the water, and taking a test is a different action than doing a backflip."
632,A small dog runs through an obstacle course.,A dog is running and jumping.,entailment,Doing an obstacle course can be seen as running and jumping.
633,a man& 2 woman sitting down in the park.,A man and two women are relaxing in a park.,neutral,Just because they're sitting down doesn't mean that they are relaxing.
634,A man holding a bottle wearing tan pants talking to security officers in front of a large poster.,A man talks to officers.,entailment,The men are security officers.
635,People are standing around in a semi-circle facing toward two men.,Two men are partially surround by other people.,entailment,To describe the organization of people semi-circle is the same as partially surrounded.
636,An African American woman is picking tomatoes in a garden.,A woman is picking tomatoes in her indoor garden.,neutral,"People do not necessarily need to own a garden to pick fruits and vegetables in it, so it may not be her garden. A garden can be either indoor or outdoor."
637,A dog stands on his hind feet and catches a stream of water.,A cat runs on his  feet away from  water.,contradiction,A dog is not running on his feet away from water
638,A girl wearing snowshoes holds a bird.,A girl in rollerskates holds a squirrel.,contradiction,you can not be wearing snowshoes or in rollerskates at the same time
639,Two groups are canoeing on a river overlooking a mountain.,A group of people are on a canoeing excursion on vacation.,neutral,Two groups are canoeing on a river overlooking a mountain does not imply they are on a canoeing excursion on vacation
640,Two girls are sitting on an ATV on the sand in front of a bridge.,Two girls take a break after riding their ATVs all day.,neutral,We have no idea how long the girls have been riding. They could have been riding all day or a very short time.
641,A man in a domino mask carries an amplifier up a hill.,The domino masked man is carrying an amplifier up the hill.,entailment,Carries is a rewording of carrying.
