id,premise_raw,premise_original_necessity,premise_original_sufficiency,premise_original_ghost,coverage_original,premise_lexical_necessity,premise_lexical_sufficiency,premise_lexical_ghost,coverage_lexical,premise_syntactic_necessity,premise_syntactic_sufficiency,premise_syntactic_ghost,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_sufficiency,premise_pragmatic_ghost,coverage_pragmatic,premise_original_noise,premise_lexical_noise,premise_syntactic_noise,premise_pragmatic_noise
383,A religious gathering reading a book.,A _____ _____ _____ _____ _____,_____ religious gathering reading a book.,_____ religious gathering reading a book.,0.8333,A religious gathering _____ _____ _____,_____ _____ _____ reading a book.,_____ _____ _____ reading a book.,0.5000,A _____ _____ _____ a _____,_____ religious gathering reading _____ book.,_____ religious gathering reading _____ book.,0.6667,A religious gathering reading a book.,_____ _____ _____ _____ _____ _____,A religious gathering reading a book.,0.0000,A religious _____ reading a book.,_____ religious gathering _____ a _____,A religious gathering _____ a _____,_____ _____ _____ _____ _____ _____
384,A football player prepares to throw the ball.,A _____ _____ _____ to throw the ball.,_____ football player prepares _____ _____ _____ _____,A football player prepares _____ throw _____ _____,0.3750,A _____ _____ _____ _____ _____ _____ _____,_____ football player prepares to throw the ball.,_____ football player prepares to throw the ball.,0.8750,A _____ _____ _____ to throw the ball.,_____ football player prepares _____ _____ _____ _____,A football player prepares _____ _____ _____ ball.,0.3750,A _____ _____ _____ to throw the ball.,_____ football player prepares _____ _____ _____ _____,_____ football player prepares to _____ the _____,0.3750,_____ football player _____ _____ _____ the _____,A football player prepares _____ throw the ball.,A football _____ _____ _____ _____ the _____,_____ _____ player prepares _____ _____ the _____
385,A man with two dogs plays ball in a field of grass.,A man with two dogs _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ plays ball in a field of grass.,_____ _____ _____ _____ _____ plays ball in a field of grass.,0.5833,A man with two dogs plays ball in a _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ field of grass.,A man _____ _____ dogs _____ ball in a field of grass.,0.2500,A man with two dogs plays ball in a _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ field of grass.,_____ man with two dogs _____ ball in _____ field of grass.,0.2500,A man with two dogs _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ plays ball in a field of grass.,_____ _____ _____ _____ _____ plays ball in a field of grass.,0.5833,A man with two _____ _____ _____ in _____ _____ of grass.,_____ _____ _____ _____ _____ _____ _____ in a _____ of _____,_____ _____ _____ _____ _____ plays ball in _____ _____ _____ _____,A _____ _____ _____ dogs plays ball _____ a field _____ grass.
386,"A man in a business suit is walking down the street, pulling luggage.",_____ _____ _____ _____ _____ _____ is _____ _____ _____ _____ _____ _____,"A man in a business suit _____ walking down the street, pulling luggage.","A man in a business suit _____ walking down the street, pulling luggage.",0.9231,A _____ _____ _____ _____ _____ is _____ _____ _____ _____ _____ _____,"_____ man in a business suit _____ walking down the street, pulling luggage.","_____ man in a business suit _____ walking down the street, pulling luggage.",0.8462,_____ _____ _____ _____ _____ _____ is _____ _____ _____ _____ _____ _____,"A man in a business suit _____ walking down the street, pulling luggage.","A man in a business suit _____ walking down the street, pulling luggage.",0.9231,_____ _____ _____ _____ _____ _____ is _____ _____ _____ _____ _____ _____,"A man in a business suit _____ walking down the street, pulling luggage.","A man in a business suit _____ walking down the street, pulling luggage.",0.9231,"A man in a business suit is walking down the street, _____ luggage.","A man in _____ business suit is _____ down the street, pulling luggage.","A man in a business suit is walking down _____ street, pulling luggage.","A man _____ a business suit is walking down the street, pulling luggage."
387,A man excitedly pushing in lawn mower in the backyard of a house.,A man excitedly pushing in lawn mower _____ _____ _____ of a house.,_____ _____ _____ _____ _____ _____ _____ in the backyard _____ _____ _____,A man excitedly _____ in lawn mower in the backyard _____ a _____,0.2308,A man excitedly _____ _____ _____ _____ _____ _____ _____ of a house.,_____ _____ _____ pushing in lawn mower in the backyard _____ _____ _____,_____ _____ _____ pushing in lawn mower in the backyard _____ _____ _____,0.5385,A _____ excitedly pushing in lawn mower in the _____ of a house.,_____ man _____ _____ _____ _____ _____ _____ _____ backyard _____ _____ _____,A man _____ pushing in _____ mower in the backyard of a house.,0.1538,A man excitedly pushing in lawn mower _____ _____ _____ of a house.,_____ _____ _____ _____ _____ _____ _____ in the backyard _____ _____ _____,A man _____ pushing in lawn _____ in the backyard _____ a house.,0.2308,_____ _____ _____ _____ _____ _____ _____ in the _____ _____ a _____,_____ man excitedly _____ in lawn _____ _____ the backyard of _____ _____,A _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ a _____,_____ _____ _____ _____ _____ _____ mower in the _____ _____ _____ _____
388,A man is playing tug-of-war with his dog.,A man is _____ _____ with his _____,_____ _____ _____ playing tug-of-war _____ _____ dog.,A _____ _____ playing tug-of-war _____ his dog.,0.3750,A _____ is _____ _____ with his _____,_____ man _____ playing tug-of-war _____ _____ dog.,_____ man _____ playing tug-of-war _____ _____ dog.,0.5000,A _____ is _____ _____ with his _____,_____ man _____ playing tug-of-war _____ _____ dog.,_____ man _____ playing tug-of-war _____ _____ dog.,0.5000,A _____ is _____ _____ with his _____,_____ man _____ playing tug-of-war _____ _____ dog.,_____ man _____ playing tug-of-war _____ _____ dog.,0.5000,A man is _____ _____ _____ _____ _____,A _____ _____ _____ tug-of-war with _____ dog.,A _____ _____ playing _____ with _____ dog.,A _____ is _____ tug-of-war _____ _____ dog.
389,A fluffy white dog is coming out of a blue striped obstacle shute.,A _____ white dog is coming out of a blue striped obstacle shute.,_____ fluffy _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A fluffy white dog is coming out of a blue striped obstacle _____,0.0769,A _____ white dog is coming out of a blue striped obstacle shute.,_____ fluffy _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A fluffy white dog is coming out of a _____ striped obstacle shute.,0.0769,A _____ _____ _____ is coming out of a blue striped obstacle shute.,_____ fluffy white dog _____ _____ _____ _____ _____ _____ _____ _____ _____,A fluffy white dog _____ coming out of a blue striped _____ _____,0.2308,A _____ white dog is coming out of a blue striped obstacle shute.,_____ fluffy _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A fluffy white dog _____ coming out of a blue striped obstacle shute.,0.0769,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ striped _____ _____,_____ _____ _____ dog _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ dog _____ coming _____ _____ _____ _____ _____ obstacle _____,_____ _____ _____ _____ is _____ _____ _____ _____ _____ _____ _____ _____
390,Young woman trying to keep the Jenga tower stable.,Young woman _____ _____ _____ the _____ _____ _____,_____ _____ trying to keep _____ Jenga tower stable.,_____ _____ trying to keep _____ Jenga tower stable.,0.6667,Young woman _____ _____ _____ _____ _____ _____ _____,_____ _____ trying to keep the Jenga tower stable.,_____ _____ trying to keep the Jenga tower stable.,0.7778,_____ _____ _____ _____ _____ the _____ _____ _____,Young woman trying to keep _____ Jenga tower stable.,Young woman trying to keep _____ Jenga tower stable.,0.8889,_____ _____ _____ _____ _____ _____ _____ _____ _____,Young woman trying to keep the Jenga tower stable.,Young woman trying to keep the Jenga tower stable.,1.0000,Young _____ trying to keep the Jenga _____ _____,Young _____ trying to keep the _____ tower stable.,_____ woman trying to keep the Jenga tower stable.,Young woman trying to keep the Jenga tower stable.
393,A shirtless man is rock climbing on a vertical rock face.,A _____ _____ is _____ _____ on a vertical rock face.,_____ shirtless man _____ rock climbing _____ _____ _____ _____ _____,A shirtless man _____ rock climbing _____ a vertical _____ _____,0.3636,A _____ _____ is _____ _____ on a vertical rock face.,_____ shirtless man _____ rock climbing _____ _____ _____ _____ _____,_____ shirtless man is rock climbing on _____ _____ _____ face.,0.3636,A _____ _____ is _____ _____ on a vertical rock face.,_____ shirtless man _____ rock climbing _____ _____ _____ _____ _____,_____ shirtless man is rock climbing _____ _____ vertical rock _____,0.3636,A _____ _____ is _____ _____ on a vertical rock face.,_____ shirtless man _____ rock climbing _____ _____ _____ _____ _____,_____ shirtless man _____ rock climbing _____ a vertical rock _____,0.3636,_____ shirtless man is _____ _____ _____ _____ _____ rock _____,_____ _____ _____ _____ rock climbing _____ a _____ rock _____,A _____ man _____ _____ _____ _____ a _____ _____ face.,A shirtless _____ _____ _____ _____ on _____ _____ _____ face.
394,A person in a hard hat is doing some work on a train track.,_____ _____ _____ _____ _____ _____ is _____ _____ _____ _____ _____ _____ _____,A person in a hard hat _____ doing some work on a train track.,A person in a hard hat _____ doing some work on a train track.,0.9286,_____ _____ _____ _____ _____ _____ is doing some work on a train track.,A person in a hard hat _____ _____ _____ _____ _____ _____ _____ _____,A person in a hard hat is doing _____ _____ _____ _____ _____ _____,0.4286,_____ _____ _____ _____ _____ _____ is doing some work on a train track.,A person in a hard hat _____ _____ _____ _____ _____ _____ _____ _____,A person in a hard hat _____ _____ _____ _____ on _____ train _____,0.4286,_____ _____ in _____ _____ _____ is doing some work on a train track.,A person _____ a hard hat _____ _____ _____ _____ _____ _____ _____ _____,A person _____ a hard hat _____ doing some work _____ _____ _____ track.,0.3571,A person in a hard hat is doing _____ work on a train track.,_____ person _____ _____ _____ _____ _____ doing _____ _____ on a train track.,_____ _____ _____ a hard _____ _____ doing _____ _____ on a train _____,_____ _____ in a hard hat _____ _____ _____ work _____ _____ _____ _____
395,A goalie is catching a soccer ball.,A _____ is _____ a _____ _____,_____ goalie _____ catching _____ soccer ball.,_____ goalie _____ catching _____ soccer ball.,0.5714,A _____ is _____ _____ _____ _____,_____ goalie _____ catching a soccer ball.,_____ goalie _____ catching a soccer ball.,0.7143,A _____ is _____ a _____ _____,_____ goalie _____ catching _____ soccer ball.,_____ goalie _____ catching _____ soccer ball.,0.5714,A _____ is _____ a _____ _____,_____ goalie _____ catching _____ soccer ball.,_____ goalie _____ catching _____ soccer ball.,0.5714,_____ goalie is catching a _____ _____,A goalie _____ catching a _____ ball.,A _____ is catching a _____ _____,_____ goalie is _____ a _____ ball.
397,Two female members of team USA performing a jump high-five surrounded by two other female members.,Two _____ members of team USA performing a jump high-five surrounded by two other _____ members.,_____ female _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ female _____,Two female members of team _____ _____ a jump high-five surrounded by two other female members.,0.1250,Two _____ members of team USA performing a jump high-five surrounded by two other _____ members.,_____ female _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ female _____,Two female members of team USA _____ a _____ high-five surrounded by two other female members.,0.1250,Two _____ _____ of team USA performing a jump high-five surrounded by two other _____ _____,_____ female members _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ female members.,Two female members of team _____ performing _____ jump _____ _____ by two other female members.,0.2500,Two _____ members of team USA performing a jump high-five surrounded by two other _____ members.,_____ female _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ female _____,Two female _____ of team USA performing a _____ high-five surrounded by two other female members.,0.1250,_____ _____ _____ _____ team _____ _____ _____ jump _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ of _____ _____ performing _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ of _____ USA _____ _____ jump _____ surrounded _____ _____ _____ _____ _____,_____ _____ members _____ _____ _____ _____ _____ _____ _____ _____ _____ two _____ _____ _____
399,A shirtless man with a race placard on his butt is posing like a body-builder.,A shirtless _____ with a _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ _____ man _____ _____ race placard on his butt _____ posing like a body-builder.,_____ _____ man _____ _____ race placard on his butt _____ posing like a body-builder.,0.6667,A shirtless _____ with a race placard on his butt is _____ _____ _____ _____,_____ _____ man _____ _____ _____ _____ _____ _____ _____ _____ posing like a body-builder.,_____ shirtless man _____ a race _____ on _____ butt _____ posing like a body-builder.,0.3333,A shirtless _____ with a _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ _____ man _____ _____ race placard on his butt _____ posing like a body-builder.,_____ _____ man _____ _____ race placard on his butt _____ posing like a body-builder.,0.6667,A shirtless _____ with a race placard on his butt is _____ _____ _____ _____,_____ _____ man _____ _____ _____ _____ _____ _____ _____ _____ posing like a body-builder.,_____ _____ man _____ a race placard _____ his butt _____ posing like a body-builder.,0.3333,_____ shirtless _____ with a _____ placard on his butt _____ posing _____ a body-builder.,_____ shirtless _____ with _____ race placard on _____ _____ _____ _____ _____ _____ _____,_____ shirtless _____ with _____ race placard _____ his butt _____ posing like a body-builder.,_____ shirtless _____ _____ _____ _____ _____ _____ _____ butt is posing like _____ _____
400,A person with a variety of different wares standing amongst several others on a dirt road.,_____ _____ _____ _____ _____ _____ _____ _____ standing _____ _____ _____ _____ _____ _____ _____,A person with a variety of different wares _____ amongst several others on a dirt road.,A person with a variety of different wares _____ amongst several others on a dirt road.,0.9375,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A person with a variety of different wares standing amongst several others on a dirt road.,A person with a variety of different wares standing amongst several others on a dirt road.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A person with a variety of different wares standing amongst several others on a dirt road.,A person with a variety of different wares standing amongst several others on a dirt road.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ standing _____ _____ _____ _____ _____ _____ _____,A person with a variety of different wares _____ amongst several others on a dirt road.,A person with a variety of different wares _____ amongst several others on a dirt road.,0.9375,A person with a variety of _____ wares standing amongst several others on a dirt road.,A person with a variety of different wares standing amongst several others on a dirt road.,A person with a variety of different wares standing amongst several others on a dirt road.,A person with a variety of different wares _____ amongst several others on a dirt road.
401,A man in a heavy coat makes repairs at a train station.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man in a heavy coat makes repairs at a train station.,A man in a heavy coat makes repairs at a train station.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man in a heavy coat makes repairs at a train station.,A man in a heavy coat makes repairs at a train station.,1.0000,_____ _____ in a _____ _____ _____ _____ _____ _____ _____ _____,A man _____ _____ heavy coat makes repairs at a train station.,A man _____ _____ heavy coat makes repairs at a train station.,0.8333,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man in a heavy coat makes repairs at a train station.,A man in a heavy coat makes repairs at a train station.,1.0000,A man in a heavy coat makes repairs at a train station.,A man in a heavy coat makes repairs at a train station.,_____ man in a heavy _____ makes repairs at a train station.,A man in a heavy coat makes repairs at a train station.
402,A ceremonial parade being held is passing over a street corner by the bay.,A ceremonial parade being held is passing over a street corner _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ by the bay.,A _____ _____ being held is passing over a street _____ by the bay.,0.2143,A ceremonial _____ being held is _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ parade _____ _____ _____ passing over a street corner by the bay.,_____ _____ parade _____ _____ _____ passing over a street corner by the bay.,0.6429,_____ _____ _____ being held is passing over a street corner _____ _____ _____,A ceremonial parade _____ _____ _____ _____ _____ _____ _____ _____ by the bay.,A ceremonial parade being _____ is _____ _____ _____ _____ _____ by the bay.,0.4286,A ceremonial _____ being held is passing over a street corner _____ _____ _____,_____ _____ parade _____ _____ _____ _____ _____ _____ _____ _____ by the bay.,A _____ parade being held is passing _____ _____ _____ corner by the bay.,0.2857,_____ _____ _____ _____ held _____ _____ _____ _____ _____ corner _____ the _____,A ceremonial _____ _____ _____ is passing over _____ street corner by _____ bay.,A _____ _____ _____ held is _____ _____ a _____ _____ by _____ bay.,A _____ _____ _____ _____ is _____ _____ a _____ _____ by _____ _____
403,Three people in a group of cars in what appears to be a city scene; two of them carrying a large bottle and one is a female dressed in high heels.,Three _____ in a group of _____ in what appears to be a _____ _____ two of them carrying a large bottle and one is a female dressed in high heels.,_____ people _____ _____ _____ _____ cars _____ _____ _____ _____ _____ _____ city scene; _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Three people in a group of cars _____ what appears to be a city scene; two _____ them carrying a large bottle and one _____ a female dressed in _____ heels.,0.1290,Three _____ in a group of _____ in what appears to be a city scene; two of them _____ _____ _____ _____ and one is a female _____ _____ _____ _____,_____ people _____ _____ _____ _____ cars _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ carrying a large bottle _____ _____ _____ _____ _____ dressed in high heels.,_____ people in a group of cars _____ _____ appears to _____ a city _____ _____ _____ them carrying a large bottle _____ _____ is _____ female dressed in high heels.,0.3226,_____ _____ _____ _____ _____ _____ _____ in what appears to be a city scene; two of them carrying a large bottle and one is a female dressed in high heels.,Three people in a group of cars _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Three people in a group of cars in what _____ _____ be a _____ scene; _____ of them carrying a large bottle and one is _____ female dressed in _____ _____,0.2258,_____ _____ _____ _____ _____ _____ _____ in what appears to be a _____ _____ two of them _____ _____ _____ _____ and one is a female _____ _____ _____ _____,Three people in a group of cars _____ _____ _____ _____ _____ _____ city scene; _____ _____ _____ carrying a large bottle _____ _____ _____ _____ _____ dressed in high heels.,Three people in a group of cars _____ _____ _____ _____ _____ _____ city scene; _____ _____ _____ carrying a large bottle _____ _____ _____ _____ _____ dressed in high heels.,0.5484,Three _____ _____ a _____ _____ _____ _____ _____ appears _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ dressed _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ in _____ _____ to _____ a city _____ _____ _____ _____ carrying _____ large _____ and one _____ _____ female _____ in _____ _____,_____ _____ _____ _____ _____ of cars _____ _____ _____ _____ _____ a city _____ two _____ them _____ _____ _____ bottle _____ _____ _____ _____ _____ _____ _____ _____ _____,Three _____ in _____ group _____ cars _____ _____ appears _____ be a city _____ _____ _____ them carrying a large bottle _____ one _____ a female _____ _____ _____ heels.
404,Asian girls line up near some flags.,_____ _____ _____ _____ _____ _____ _____,Asian girls line up near some flags.,Asian girls line up near some flags.,1.0000,_____ _____ _____ _____ _____ _____ _____,Asian girls line up near some flags.,Asian girls line up near some flags.,1.0000,_____ _____ _____ _____ _____ _____ _____,Asian girls line up near some flags.,Asian girls line up near some flags.,1.0000,_____ _____ _____ _____ _____ _____ _____,Asian girls line up near some flags.,Asian girls line up near some flags.,1.0000,Asian girls line up near some flags.,Asian girls line up near some flags.,Asian girls line up near some flags.,Asian girls line up near some flags.
405,Men working with hoses and a large blue and white truck.,_____ _____ _____ _____ and _____ _____ _____ _____ _____ _____,Men working with hoses _____ a large blue and white truck.,Men working with hoses _____ a large blue and white truck.,0.9091,_____ _____ _____ _____ and _____ _____ _____ _____ _____ _____,Men working with hoses _____ a large blue and white truck.,Men working with hoses _____ a large blue and white truck.,0.9091,_____ _____ _____ _____ and a large _____ _____ _____ _____,Men working with hoses _____ _____ _____ blue and white truck.,Men working with hoses _____ _____ _____ blue and white truck.,0.7273,_____ _____ _____ _____ and a _____ _____ _____ _____ _____,Men working with hoses _____ _____ large blue and white truck.,Men working with hoses _____ _____ large blue and white truck.,0.8182,_____ working with hoses and a large blue and white truck.,Men _____ with hoses and a large blue and white truck.,Men working with _____ _____ a large blue _____ white truck.,Men _____ with hoses and a large blue and _____ truck.
407,A boy wearing a blue shirt riding a gray horse on a gravel path through the green overgrown field.,A boy wearing a blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ riding a gray horse on a gravel path through the green overgrown field.,_____ _____ _____ _____ _____ _____ riding a gray horse on a gravel path through the green overgrown field.,0.6842,A _____ wearing a blue shirt _____ _____ _____ _____ _____ _____ _____ _____ through the green overgrown field.,_____ boy _____ _____ _____ _____ riding a gray horse on a gravel path _____ _____ _____ _____ _____,_____ boy _____ _____ _____ shirt riding a gray horse on a gravel path _____ _____ _____ _____ _____,0.4737,A boy wearing a blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ riding a gray horse on a gravel path through the green overgrown field.,_____ _____ _____ _____ _____ _____ riding a gray horse on a gravel path through the green overgrown field.,0.6842,A _____ wearing a blue shirt _____ a gray _____ on a _____ _____ through the _____ _____ _____,_____ boy _____ _____ _____ _____ riding _____ _____ horse _____ _____ gravel path _____ _____ green overgrown field.,_____ boy wearing _____ blue _____ riding _____ _____ horse _____ _____ gravel path through _____ green overgrown field.,0.4211,_____ boy wearing _____ blue _____ _____ a gray horse on a gravel _____ through the _____ overgrown field.,A boy wearing _____ _____ shirt _____ a gray horse _____ _____ _____ _____ through the _____ _____ _____,A _____ wearing _____ blue shirt riding _____ _____ _____ on a gravel path through the green overgrown _____,A boy wearing _____ _____ _____ _____ _____ gray horse _____ _____ _____ _____ through the _____ _____ field.
409,A crowd of people gathered in a public place outdoors sitting at picnic tables.,A crowd of people gathered in a public place _____ sitting _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ outdoors _____ at picnic tables.,A crowd _____ people _____ in a _____ place outdoors _____ at picnic tables.,0.2857,A crowd of people gathered in a public place _____ sitting at _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ outdoors _____ _____ picnic tables.,A _____ _____ people gathered in a public place outdoors _____ at picnic tables.,0.2143,A crowd of people gathered in a public place _____ sitting _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ outdoors _____ at picnic tables.,A _____ _____ _____ gathered _____ a public place outdoors sitting at picnic tables.,0.2857,A crowd of people gathered in a public place _____ sitting _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ outdoors _____ at picnic tables.,A _____ _____ people gathered _____ a _____ place outdoors sitting at picnic tables.,0.2857,_____ _____ _____ _____ gathered _____ _____ _____ _____ outdoors sitting at _____ _____,A _____ _____ _____ gathered _____ _____ public _____ _____ _____ _____ _____ _____,_____ crowd of _____ _____ _____ _____ _____ place _____ _____ _____ _____ tables.,_____ _____ _____ _____ gathered _____ _____ _____ _____ _____ _____ at picnic tables.
410,A couple sharing in an embrace,_____ _____ sharing in _____ _____,A couple _____ _____ an embrace,A couple _____ _____ an embrace,0.6667,A couple sharing in _____ _____,_____ _____ _____ _____ an embrace,A _____ _____ in an embrace,0.3333,A couple sharing in _____ _____,_____ _____ _____ _____ an embrace,A _____ sharing _____ an embrace,0.3333,_____ _____ sharing in an _____,A couple _____ _____ _____ embrace,A couple _____ _____ _____ embrace,0.5000,_____ couple sharing _____ an embrace,A _____ sharing _____ _____ _____,A _____ _____ _____ _____ embrace,_____ couple _____ _____ an embrace
411,"At the corner of an intersection, a black vehicle waits as a woman in black holding a bag is crossing the street.","At the corner of an intersection, a black vehicle waits as _____ _____ in black holding a bag _____ _____ _____ _____",_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ a woman _____ _____ _____ _____ _____ is crossing the street.,"At the _____ of an intersection, a _____ _____ waits _____ a woman in _____ _____ a bag is crossing the street.",0.2727,"At the corner of an intersection, a black vehicle waits as a _____ in black holding a bag is _____ _____ _____",_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ woman _____ _____ _____ _____ _____ _____ crossing the street.,At the corner of _____ _____ a black vehicle waits as a woman in black holding _____ bag _____ crossing the street.,0.1818,"At the corner of an intersection, a black vehicle waits as _____ _____ in black holding a bag _____ _____ _____ _____",_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ a woman _____ _____ _____ _____ _____ is crossing the street.,_____ the _____ of _____ _____ a _____ vehicle _____ as a woman in black holding a bag is crossing the street.,0.2727,"At the corner of an intersection, a black vehicle waits as _____ _____ in black holding a bag _____ _____ _____ _____",_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ a woman _____ _____ _____ _____ _____ is crossing the street.,"_____ the _____ _____ an intersection, _____ _____ vehicle waits as a woman _____ black holding a bag is crossing the street.",0.2727,"_____ _____ _____ _____ _____ intersection, _____ black vehicle _____ _____ a _____ _____ black _____ _____ _____ _____ _____ _____ street.","_____ the _____ _____ _____ intersection, _____ _____ _____ _____ _____ _____ _____ _____ _____ holding a _____ _____ _____ _____ _____",_____ _____ corner _____ an _____ _____ _____ _____ _____ as _____ _____ in _____ holding _____ _____ _____ crossing _____ _____,"_____ _____ _____ _____ _____ intersection, a black _____ _____ _____ a woman _____ black _____ _____ _____ _____ _____ _____ _____"
412,A young man is shooting pool.,A young man is _____ _____,_____ _____ _____ _____ shooting pool.,A _____ man _____ shooting pool.,0.3333,A young man is _____ _____,_____ _____ _____ _____ shooting pool.,A _____ man _____ shooting pool.,0.3333,A young man is _____ _____,_____ _____ _____ _____ shooting pool.,A _____ man _____ shooting pool.,0.3333,A young man is _____ _____,_____ _____ _____ _____ shooting pool.,_____ _____ man is shooting pool.,0.3333,A _____ man _____ _____ _____,A _____ _____ _____ _____ pool.,_____ young _____ is _____ _____,_____ _____ _____ is _____ pool.
413,A group of men stand in line in a dimly-lit restaurant bar.,A group of _____ _____ _____ _____ in a dimly-lit _____ _____,_____ _____ _____ men stand in line _____ _____ _____ restaurant bar.,_____ _____ _____ men stand in line _____ _____ _____ restaurant bar.,0.5000,A group of men _____ _____ _____ in a dimly-lit _____ _____,_____ _____ _____ _____ stand in line _____ _____ _____ restaurant bar.,A _____ _____ _____ stand in line _____ a _____ restaurant bar.,0.4167,A group of _____ _____ _____ _____ in a _____ _____ _____,_____ _____ _____ men stand in line _____ _____ dimly-lit restaurant bar.,_____ _____ _____ men stand in line _____ _____ dimly-lit restaurant bar.,0.5833,A group of _____ _____ _____ _____ in a dimly-lit _____ _____,_____ _____ _____ men stand in line _____ _____ _____ restaurant bar.,_____ _____ _____ men stand in line _____ _____ _____ restaurant bar.,0.5000,_____ _____ _____ men stand in line in a _____ _____ _____,_____ _____ of _____ stand _____ line in _____ _____ _____ bar.,A _____ _____ men stand in line in a _____ _____ _____,A group _____ _____ _____ in line _____ a _____ _____ bar.
414,"Two men, one in yellow, are on a wooden boat.","_____ _____ one in yellow, are _____ _____ _____ _____","Two men, _____ _____ _____ _____ on a wooden boat.","Two men, _____ _____ _____ _____ on a wooden boat.",0.6000,"_____ _____ one in yellow, are _____ _____ _____ _____","Two men, _____ _____ _____ _____ on a wooden boat.","Two men, _____ _____ _____ _____ on a wooden boat.",0.6000,"_____ _____ one in yellow, are on a _____ _____","Two men, _____ _____ _____ _____ _____ _____ wooden boat.","Two men, _____ in _____ are _____ _____ wooden boat.",0.4000,"_____ _____ one in yellow, are _____ _____ _____ _____","Two men, _____ _____ _____ _____ on a wooden boat.","Two men, _____ _____ _____ _____ on a wooden boat.",0.6000,"Two _____ one _____ yellow, are on _____ _____ boat.","_____ men, _____ _____ yellow, are on a wooden _____",_____ _____ _____ in _____ are _____ a _____ boat.,Two _____ one _____ _____ are on a wooden _____
415,Five men stand outside and look like they are about to work.,_____ _____ stand outside and _____ _____ _____ _____ _____ _____ _____,Five men _____ _____ _____ look like they are about to work.,Five men _____ _____ _____ look like they are about to work.,0.7500,_____ _____ stand outside and look like they are _____ _____ _____,Five men _____ _____ _____ _____ _____ _____ _____ about to work.,Five men _____ _____ and _____ _____ they _____ about to work.,0.4167,_____ _____ _____ outside and _____ _____ _____ _____ _____ _____ _____,Five men stand _____ _____ look like they are about to work.,Five men stand _____ _____ look like they are about to work.,0.8333,_____ _____ _____ _____ and _____ _____ _____ _____ _____ _____ _____,Five men stand outside _____ look like they are about to work.,Five men stand outside _____ look like they are about to work.,0.9167,Five men stand outside _____ look like they are about _____ _____,Five _____ _____ outside and _____ _____ _____ _____ _____ to work.,Five men _____ outside and look like they are about _____ work.,Five men stand _____ and look like they are about to work.
