id,Premise,Hypothesis,perturbation_1_lexical,perturbation_2_syntactic,perturbation_3_pragmatic,gold_label,Explanation
440,A kicker launches the football forward while the holder checks his fingers.,kicker kicks off,The kicker initiates the play.,Play is kicked off by the kicker.,It seems that the kicker kicks off.,neutral,kicker kicks off rather than just kicking
441,"One men is laughing while being kissed on the cheek by another man, both men are wearing formal wear",Both men are homosexual.,Both men are gay.,The sexual orientation of both men is homosexual.,Both men could be homosexual.,neutral,A man kissing another man on the cheek does not imply that they are homosexual.
442,Four runners race down the street.,The runners are competing in a marathon.,The runners are participating in a marathon.,It is a marathon in which the runners are competing.,The runners appear to be competing in a marathon.,neutral,Racing down the street does not imply that runners are competing in a marathon.
443,A man working on something alone in an industrial setting.,A person is doing a job without anyone else around.,An individual is performing a task by themselves.,A job is being done by an individual with no one else present.,A person seems to be doing a job without anyone else around.,entailment,A man  is the person working on or doing a job alone without anyone else.
444,A group of professionally dressed people are sitting near each other is a downtown area of a city.,people on lunch break,They are individuals taking a midday meal pause.,They are individuals who are currently taking their lunch break.,It seems that they are people on lunch break.,neutral,Sitting near each other does not necessarily mean on lunch break.
445,Two scientists are examining a petri dish.,Scientists are looking at a petri dish,Scientists are observing a petri dish.,A petri dish is being looked at by scientists.,Scientists appear to be looking at a petri dish.,entailment,The scientists who are looking at the petri dish are examining the petri dish.
446,Four children are smiling as they pose together with a bicycle that is much too big for them.,A group of kids is happy with the vehicle they'll grow into.,A group of children is pleased with the conveyance they will eventually fit.,"With the vehicle they will grow into, a group of kids is happy.",A group of kids appears to be happy with the vehicle they'll grow into.,entailment,A group is another way to describe a number of something.
447,A white man in the background watches a black man in the foreground playing with a soccer ball on a beach.,Two men outside at the beach.,A pair of men outdoors at the beach.,"Outdoors at the beach, there are two men.",It appears that two men are outside at the beach.,entailment,On a beach is different from outside beach
448,Three kids and one adult walking on a path.,there is kids and adult walking the bathroom inside home,There are children and a grown-up strolling in the restroom within a residence.,A bathroom within a home is being walked in by kids and an adult.,It seems that kids and an adult are walking in the bathroom inside a home.,neutral,Just because an adult and kids are walking on a path does not meant they are inside.
449,Three adults wearing lab coats pose for a picture with alcohol.,The lab coats are blue.,The laboratory coats are blue.,The color of the lab coats is blue.,The lab coats might be blue.,neutral,You can't infer they are colored blue
450,A young blond girl with a pink shirt on jumps high into the air while kicking her foot out and sticking her tongue out.,The girl sprained her ankle and is in a wheelchair.,The girl injured her ankle and uses a wheelchair.,"In a wheelchair, the girl has a sprained ankle.","Apparently, the girl sprained her ankle and is in a wheelchair.",contradiction,A human would not be doing jumps with a sprained ankle.
451,"Two people are in a rowboat on a rock-lined lake, one wearing a yellow shirt and rowing, and the other sitting in the front of the boat.","Two people in a rowboat in a rocky lake, one rowing, the other sitting.","Two individuals are aboard a rowboat on a stony lake, one rowing, the other seated.","On a rocky lake, a rowboat is occupied by two people; one is rowing, and the other is sitting.","It appears that two people are in a rowboat in a rocky lake, with one rowing and the other sitting.",entailment,A rock-lined lake can also be referred to as a rocky lake.
452,A large group of swimmers entering the water.,Noone will get wet.,Nobody will become wet.,It is not the case that anyone will get wet.,It seems that no one will get wet.,contradiction,If a large group of swimmers get in to the water they will get wet.
453,Woman in green tops is watching the dark clouds.,A Woman in a green top and red pants is watching the dark clouds in the rain.,A female wearing a verdant shirt and scarlet trousers is observing the gloomy clouds during the rainfall.,Watching the dark clouds in the rain is a woman adorned in a green top and red pants.,It seems that a woman in a green top and red pants is watching the dark clouds in the rain.,neutral,Just because there is a women in green top watching the dark clouds doesn't mean it is the same women and it is raining.
454,A black man is sitting on a bench in front of a public transit map.,A veteran sits on a bench near a transit stop.,A veteran is seated on a bench close to a transit stop.,Seated on a bench near a transit stop is a veteran.,A veteran appears to be sitting on a bench near a transit stop.,neutral,I didn't know the black man was a veteran.
455,A silver-haired man at the steering wheel looks back and smiles.,A man sitting at a steering wheel.,A man positioned at a steering wheel.,A man who is sitting at a steering wheel.,There appears to be a man sitting at a steering wheel.,entailment,The man looks back and smiles implies he is sitting at the steering wheel while doing so.
456,A young lady with an umbrella is walking by while two women are adoring the adorable puppy one gentleman was walking.,there is a snowstorm so no one is on the street,"A blizzard is occurring, so nobody is on the street.","Due to a snowstorm, the street is deserted.","It seems there is a snowstorm, so no one is on the street.",contradiction,"A young lady, two women and a gentlemen means there is someone on the street, therefore no one on the street can not be correct."
457,A person is sitting behind two large baskets of bread.,There is a person standing near the produce,There is an individual standing close to the fresh goods.,Standing near the produce is a person.,It appears there is a person standing near the produce.,contradiction,The person cannot be standing near the produce if they are sitting behind two large baskets of bread.
458,A large brown and a small white dog play indoors on a carpet.,One dog was blue and the other dog was black.,"A single dog was blue, and the other canine was black.",The two dogs were blue and black in color.,It appears that one dog was blue while the other dog was black.,contradiction,We hear the dogs are brown and white then told they are actually blue and black.
459,A group of people walk down a path in a wooded area.,Boy Scouts are hiking through a National Forest.,Boy Scouts are trekking through a National Forest.,"Through a National Forest, Boy Scouts are hiking.",It appears that Boy Scouts are hiking through a National Forest.,neutral,the fact that there is a group of people walking in a wooded area does not imply that they are Boy Scouts or that they are in a National Forest.
460,Regal horse and white carriage scene with female driver and two blond little flower girls dressed in white.,Regal dinosaur and white carriage scene with female driver,A majestic dinosaur and white carriage setting featuring a woman driver.,A regal dinosaur and white carriage scene that includes a female driver.,There appears to be a regal dinosaur and white carriage scene with a female driver.,contradiction,The animal must be either a horse or dinosaur.
461,A man in heavy clothing with a cart of tools bending to inspect the floor,A maintenance worker is preparing to do some remodeling.,A maintenance worker is getting ready for some renovations.,Some remodeling is what a maintenance worker is preparing to do.,A maintenance worker appears to be preparing to do some remodeling.,neutral,"A man in heavy clothing doesn't have to be a maintenance worker, also inspecting the floor doesn't have to mean remodeling."
462,"While others gather in areas, a man in a brown shirt sits with reading material in hand.",The man is wearing a green shirt and standing in a group.,The man is donning a green top and standing amidst a gathering of individuals.,"Clad in a green shirt, the man can be observed standing with a group.",It appears that the man is wearing a green shirt and standing in a group.,contradiction,The man cannot be sitting while others gather and then be part of a group.
463,Passengers boarding a train.,THe passengers board the train,The passengers get on the train.,The train is boarded by the passengers.,It seems that the passengers board the train.,neutral,The fact that passengers boarding a train does not imply that THe passengers board the train.
464,A woman is riding a bike while a handicapped man rides beside her on a motorized vehicle.,Some people head down a street next to each other.,A few individuals proceed along a road alongside one another.,There are some people heading down a street side by side.,It seems that some people head down a street next to each other.,neutral,We do not know if they are on the street.  They could be anywhere.
465,A maintenance worker on hands and knees cleaning out drainage ditch.,A female worker dances on a stripper pole.,A woman laborer performs on a dancing pole.,It is a stripper pole on which a female worker dances.,A female worker appears to be dancing on a stripper pole.,contradiction,She would not be able to be dancing while she is cleaning out a drainage ditch.
466,A man is playing guitar and wearing sunglasses.,A man is smashing his guitar.,A man is breaking his guitar.,His guitar is being smashed by a man.,It appears that a man is smashing his guitar.,contradiction,Playing is not the same as smashing.
467,There are people sitting in seats that are in rows.,There are people in seats at the theater.,There are individuals occupying seats at the theater.,Seats at the theater are occupied by people.,There appear to be people in seats at the theater.,neutral,Not all seats in rows are in a theater.
468,A man in a plaid shirt is selling products to customers.,A man is selling electronics to customers.,A gentleman is marketing electronic goods to purchasers.,Electronics are being sold to customers by a man.,A man appears to be selling electronics to customers.,neutral,Not all products are electronics.
469,A man in a red sweater is walking past a mural.,A man walks near a wall.,A man strolls close to a wall.,It is a man who walks near a wall.,A man appears to walk near a wall.,entailment,a mural is hung on a wall
470,Four women sitting on a black couch drinking beer.,The group of women are riding bikes.,The females are cycling.,Bikes are being ridden by the group of women.,It appears that the group of women are riding bikes.,contradiction,The women cannot be sitting on a couch drinking beer and riding bikes at the same time
471,Two police starting at street activity.,Two police were eating donuts at a donut shop.,Two officers were consuming doughnuts at a doughnut shop.,"At a donut shop, two police were eating donuts.",It seems that two police were eating donuts at a donut shop.,contradiction,The police staring at street activity are not eating donuts in a donut shop.
472,A costumes woman applies makeup while looking in a mirror.,A lady is putting makeup on.,A woman is applying cosmetics.,Makeup is being applied by a lady.,It seems that a lady is putting makeup on.,entailment,A woman looking in a mirror while she makeup on.
473,An older woman sews happily whilst sitting.,A woman sits and sews for her grandkids.,A lady is seated and stitching for her grandchildren.,It is for her grandkids that a woman sits and sews.,A woman is apparently sitting and sewing for her grandkids.,neutral,the woman could be sewing for anybody not just her grandkids.
474,A woman in colonial clothing being plunged into the water.,the woman is about to get very wet.,The woman is on the verge of becoming thoroughly soaked.,The woman's impending state is that she will be very wet.,It appears that the woman is about to get very wet.,entailment,Being plunged into water would cause a person to become very wet.
475,A surfer does a flip on a wave.,The surfer is in the water.,The surfer is situated within the water.,The water is where the surfer is located.,It is evident that the surfer is in the water.,entailment,The surfer flip on wave since he is in water
476,A little boy aims a basketball at the hoop.,A little boy plays basketball at an indoor gym.,A young boy is playing basketball in an enclosed gymnasium.,Basketball is being played by a little boy at an indoor gym.,It appears that a little boy plays basketball at an indoor gym.,neutral,the fact that the boy is aiming a basketball at the hoop does not imply that he is playing at an indoor gym.
477,A woman in a long white dress and white boots is walking along a stone structure with white stone columns.,A woman in white is sleeping in her bed.,A female in white is slumbering in her bed.,Sleeping in her bed is a woman in white.,It appears that a woman in white is sleeping in her bed.,contradiction,walking and sleeping are different actions
478,A man with facial hair in white clothes eating a steak.,A woman with facial hair is eating steak.,A female with facial hair is consuming a steak.,Steak is being eaten by a woman with facial hair.,It appears that a woman with facial hair is eating steak.,contradiction,A woman and a man are different genders.
479,The cute baby in a diaper and shirt plays in the dirt.,The child's mother is watching her carefully.,The infant's mom is observing her attentively.,Her mother is carefully watching the child.,It seems that the child's mother is watching her carefully.,neutral,A baby can play in the dirt even if the child's mother isn't watching.
480,Large black and white dog jumping hurdle,the dog is eating dog food.,The dog is consuming dog food.,Dog food is being eaten by the dog.,The dog appears to be eating dog food.,contradiction,The dog cannot be simultaneously eating dog food and jumping a hurdle.
481,A blank wall of whiteness.,the wall is blank,The wall is empty.,It is the wall that is blank.,It appears that the wall is blank.,entailment,If the wall is blank of whiteness it is blank.
482,The man is sitting on the bench sleeping.,The man is sleeping.,The man is dozing.,It is the man who is sleeping.,The man appears to be sleeping.,entailment,The man is sleeping is a rephrasing of a man is sitting on the bench sleeping.
483,a man pushes a boy on a zip line.,A boy is riding a zip line.,A boy is using a zip line.,It is a zip line that a boy is riding.,A boy seems to be riding a zip line.,entailment,A man is enjoying zip line activity.
484,A man wearing all black walking down the sidewalk looking at his I-Pod.,A man is wearing all white.,A gentleman is dressed in completely white clothing.,The clothing worn by the man is entirely white.,A man appears to be wearing all white.,contradiction,black is contradictory to white.
485,A man in a black shirt is playing bowling where the pins are replaced with spray paint cans and there is a graffiti filled wall in the background.,A man plays a game of bowling with spray paint cans after using the cans to paint the wall.,A man is involved in a bowling game with spray paint cans subsequent to using the cans to decorate the wall.,"Having used the cans to paint the wall, a man then plays a game of bowling with spray paint cans.","It seems that a man is playing a game of bowling with spray paint cans, presumably after using the cans to paint the wall.",neutral,"Just because he has spray paint cans, it does not imply that he was using the cans to paint the wall."
486,A shirtless man in blue pants repairs a steel tea pot.,A man is wearing a suit and tie.,A male individual is dressed in a business suit and necktie.,What a man is wearing is a suit and tie.,A man appears to be wearing a suit and tie.,contradiction,One cannot be shirtless and wear suit simultaneously.
487,a woman in a blue shirt sitting on a red couch,A woman is wearing a pink shirt sitting on a yellow couch.,"A female is donning a rose-colored top, seated on a golden sofa.","On a yellow couch, a woman wearing a pink shirt is seated.","It seems that a woman is wearing a pink shirt, sitting on a yellow couch.",contradiction,Blue and pink are different colors.
488,A man operates an industrial sewing machine.,a man is in a factory,A person is situated within a manufacturing plant.,A factory is where a man is located.,It seems a man is in a factory.,neutral,Industrial sewing machine does not necessarily mean it is in a factory.
489,A group of men in a yellow boat with their dogs.,A group of men are enjoying the weather.,A collection of men are relishing the weather.,The weather is being enjoyed by a group of men.,It seems that a group of men are enjoying the weather.,neutral,All men in a yellow boat with their dogs are not always enjoying the weather.
490,A little girl is hugging a woman.,A little girl is talking to a man.,A young girl is speaking with a man.,A man is being spoken to by a little girl.,A little girl is apparently talking to a man.,contradiction,She is either doing an action with the man or with the woman.
491,A soccer player prepares for a corner kick.,The soccer player is playing soccer.,The soccer player is taking part in a soccer game.,Soccer is being played by the soccer player.,The soccer player appears to be playing soccer.,entailment,A soccer player that prepares for a corner kick is definitely playing soccer.
492,A heavyset man running a Pro-Saw concrete saw with a piece of white construction equipment in the background.,There is a piece of white construction equipment behind the heavyset man.,There is an item of white construction machinery in back of the stout man.,Behind the heavyset man is a piece of white construction equipment.,It appears there is a piece of white construction equipment behind the heavyset man.,entailment,Saying that the white construction equipment is in the background of a heavyset man is the same as saying that there is a piece of white construction equipment behind the heavyset man.
493,A dog walking through a small stream with a rag in his mouth.,the dog sat on the window ledge watching the storm,The dog perched on the windowsill observing the storm.,"Watching the storm, the dog was situated on the window ledge.","It seems the dog was sitting on the window ledge, watching the storm.",contradiction,The dog cannot be running and have sat at the same time.
494,A man wearing a black backwards hat and a gray shirt with a large ear gauge walks through a fish market.,A guy is wearing a red hat.,A man is sporting a red cap.,A red hat is being worn by a guy.,It seems a guy is wearing a red hat.,contradiction,one has a black hat on while the other is in a red hat
495,Two girls cleaning a floor.,Two girls cleaning after their work shift.,Two girls tidying up subsequent to their work shift.,"After their work shift, two girls are cleaning.",Two girls seem to be cleaning after their work shift.,neutral,"When there are two girls cleaning a floor, it does not necessarily mean that either of the girls has a job, nor does it mean that the two girls are cleaning after their work shift."
496,A group of children play jump rope in the streets while others watch in the background.,A brilliant red sun sets over a deserted beach,A vivid crimson sun descends over an empty shoreline.,"Over a deserted beach, a brilliant red sun sets.",A brilliant red sun appears to set over a deserted beach.,contradiction,One is about a group of children and the other the red sun. They do not go together.
497,"Four men are rollerskating in a line, with the last three holding onto the hips of the man ahead of them.",Tall men skating.,Tall guys rollerskating.,Men who are tall are skating.,Tall men seem to be skating.,neutral,Not all tall men roller skate.
498,A group of young adults window shop.,The group of young adults march in the street.,The group of young people parade in the street.,"In the street, the group of young adults are marching.",It appears that the group of young adults march in the street.,contradiction,Window shopping and marching in the street are different actions for a group of young people.
499,An Asian man is standing on a busy sidewalk as people walk by with bags.,The man is in the forest.,The individual is in the woods.,The forest is where the man is.,It seems the man is in the forest.,contradiction,If the man is standing on a busy sidewalk that means he's near a road so he can't be in the forest
500,A dog is plling a very large branch out of the water.,An animal is dancing.,A creature is performing a dance.,There is an animal that is dancing.,It seems that an animal is dancing.,contradiction,the dog cannot be dancing and plling at the same time
501,Three women down the street with trees in the background.,Some women are strolling through a neighborhood.,A few women are walking leisurely in a residential area.,"Through a neighborhood, some women are strolling.",It seems that some women are strolling through a neighborhood.,neutral,Just because three women down the street with trees in the background does not mean they are strolling through a neighborhood.
502,a girl in a blue hoodie is carrying a brown bag,A girl in a blue hoodie is carrying a brown bag filled with groceries.,A girl in a blue hoodie is holding a brown bag containing groceries.,"A girl in a blue hoodie is carrying a brown bag, the contents of which are groceries.",A girl in a blue hoodie appears to be carrying a brown bag filled with groceries.,neutral,The brown bag doesn't have to be filled with groceries necessarily
503,A tennis player on a tennis court bent over and running.,The tennis player is on a court,The tennis player is situated on a court.,A court is the location of the tennis player.,It can be inferred that the tennis player is on a court.,entailment,A tennis player on a tennis court is same as the tennis player is on a court
504,A man in a flannel shirt and denim overalls working with tools in a workshop.,The man is listening to music.,The man is hearing music.,Music is being listened to by the man.,The man appears to be listening to music.,neutral,Not all men working in a workshop are listening to music.
505,A door in a tall concrete wall,A window in the wall.,A glazed opening in the wall.,"Within the wall, there is a window.",There appears to be a window in the wall.,contradiction,A window and door can't both be in the wall.
506,A young girl with a pink headband hits a dish and pan with chopsticks.,a young girl hits a dish,a young girl strikes a dish,A dish is hit by a young girl.,It appears that a young girl hits a dish.,entailment,girl with a pink headband hits a dish and girl hits a dish means the same.
507,Two dogs playing with the same red toy.,Two dogs are curled up sleeping.,"Two dogs are coiled up, slumbering.",There are two dogs curled up and sleeping.,Two dogs seem to be curled up sleeping.,contradiction,The dogs cannot be playing and sleeping simultaneously.
508,Road crew dressed in safety green shirts are standing near a white 4 x 4 truck.,Road crew trying to fix a fax machine.,Road workers attempting to repair a fax machine.,An attempt is being made by the road crew to fix a fax machine.,It seems the road crew is trying to fix a fax machine.,contradiction,There would not be a fax machine on a truck. A road crew would not be employed to fix a fax machine.
509,A man wearing a green jacket is holding onto a baby in an orange bonnet.,A man is carrying his son.,A man is holding his son.,His son is being carried by a man.,A man appears to be carrying his son.,neutral,A man holding onto a baby is not necessarily carrying his son.
510,A woman with a white tank top and red sunglasses holding a volleyball.,The volleyball player is having a rest before the game starts.,The volleyball player is taking a break before the match begins.,"Before the game starts, the volleyball player is having a rest.",The volleyball player appears to be having a rest before the game starts.,neutral,She could have been playing or doing many other things with the ball but we learn she was having a rest.
511,"A crowded marketplace is filled with people, including women with their heads covered with veils.",Women wear veils in a marketplace.,Women don veils in a market.,Veils are worn by women in a marketplace.,It appears that women wear veils in a marketplace.,entailment,Covered with veils shows one is wearing a veil.
512,Black dog with blue string in its mouth.,The dog has something in its mouth.,The dog is carrying an item in its mouth.,Something is present in the dog's mouth.,It appears the dog has something in its mouth.,entailment,the something in the dog's mouth is the string
513,Some plants are growing near the window.,Some plants are sitting in green and red pots.,Some plants are housed in green and red pots.,Some plants are sitting in pots which are green and red.,It appears that some plants are sitting in green and red pots.,neutral,Not all plants are sitting in green and red plots.
514,A woman with a large purse and boots walking in a marble-looking hall.,A woman with a large purse and boots is walking in a bank.,A female with a big handbag and boots is strolling inside a bank.,"In a bank, a woman with a large purse and boots is walking.",A woman with a large purse and boots seems to be walking in a bank.,neutral,There may be places with marble-looking halls other than a bank.
515,A woman is sleeping while sitting on a park bench.,A woman is feeding ducks at the park.,A female is providing food for waterfowl within the park.,Ducks are being fed by a woman at the park.,It seems a woman is feeding ducks at the park.,contradiction,One cannot be sleeping and feeding ducks simultaneously.
516,Three motorcycles with people on them going either shopping or to work.,Three bikers ride to their destinations.,Three motorcyclists travel to their destinations.,Three bikers are heading towards their destinations.,It seems that three bikers ride to their destinations.,entailment,Three motorcycles with people on them are going somewhere in the first sentence and three bikers are riding to their destinations in the second sentences.  The second sentence follows from the first because it merely restates the terms in the first.
517,A woman in a black bikini jumps into the water.,girl plays hockey,A young woman engages in hockey.,Hockey is played by a girl.,It seems a girl plays hockey.,contradiction,A girl can either be jumping into water or playing hockey not both.
518,Two dogs are playing in a grassy field.,The dogs are running around outside.,The canines are frolicking outdoors.,It is outside that the dogs are running around.,The dogs appear to be running around outside.,entailment,Running in a grassy field is a form of playing outside for dogs.
519,Two people are sitting on a wooden bench by trees in front of a white building.,two people run around near a white building,Two people are jogging close to a white building.,There are two people running around near a white building.,Two people appear to be running around near a white building.,contradiction,The two people cannot be simultaneously sitting and running around.
520,A brown dog with a pink collar with a heart on it playing with a bigger dog.,A flamingo is playing with a frog.,A flamingo is frolicking with a frog.,Playing with a frog is a flamingo.,It seems that a flamingo is playing with a frog.,contradiction,Dog and Flamingo - contradictory
521,Two men in white are playing a game while a man behind them walks towards them.,The two men are dragons.,The two males are dragons.,It is dragons that the two men are.,It appears that the two men are dragons.,contradiction,One cannot be two men and dragons simultaneously.
522,A woman and man with bikes stand by a man with a guitar in front of a large building with a balcony.,The man is playing the guitar.,The man is strumming the guitar.,The guitar is being played by the man.,The man might be playing the guitar.,neutral,A man with a guitar does not imply he is playing the guitar.
523,A boy is posing for a photograph on the beach.,A boy is taking a picture at the circus.,A young male is capturing an image at the big top.,"At the circus, a boy is taking a picture.",It seems a boy is taking a picture at the circus.,contradiction,A boy can not be posing for a photograph while taking a picture and he is not on the beach and at the circus.
524,Two basketball players corner an opponent.,basketball players playing basketball.,Basketball players are taking part in basketball.,Basketball players are engaged in the sport of basketball.,It seems that basketball players are playing basketball.,entailment,If two basketball players corner an opponent then they are playing basketball.
525,"Many onlookers look upon some firefighters behind caution tape, along with a man in a suit on a cellphone.",A building is on fire.,A structure is ablaze.,There is a fire burning within a building.,It is possible that a building is on fire.,neutral,Firefighters behind caution tape does not mean a building is on fire.
526,"Two dogs, one light brown and one gray, play outdoors on the grass.",A dolphin is playing in the water.,A dolphin is frolicking in the water.,It is a dolphin that is playing in the water.,It seems a dolphin is playing in the water.,contradiction,the dog ant the dolphin are differents animals
527,Four women in all black barefoot posing on the beach with sailboats in the distance.,a man poses on the beach,a male stands on the shore,"On the beach, a man poses.",It appears a man poses on the beach.,contradiction,The person posing cannot be both a woman and a man.
528,A person in a coat is shoveling a snow-covered sidewalk in front of a street corner and a parked bicycle.,The person is working.,The individual is laboring.,The person performs work.,The person seems to be working.,neutral,"Someone shoveling snow is not necessarily working, he could be doing it for fun."
529,The woman is placing an orange rose as a boutonniere on the man's suit jacket collar.,A large human in a jacket.,A big person in a jacket.,There is a large human wearing a jacket.,It appears there is a large human in a jacket.,neutral,Not all men are large.
530,The mountaintop is filled with snow.,The mountain is big,The mountain is large.,The mountain is of significant size.,The mountain seems to be big.,neutral,The mountain doesn't have to be big to be filled with snow.
531,An older Asian man is baking bread sticks in an oven.,a man is baking something.,A person is baking something.,Something is being baked by a man.,It seems a man is baking something.,entailment,Older Asian man describe the man who is baking.
532,A bride and groom are holding hands at a wedding ceremony.,A couple is at their wedding.,A pair is attending their marriage ceremony.,Their wedding is being attended by a couple.,It appears that a couple is at their wedding.,entailment,A bride and groom are a couple. A wedding ceremony is their wedding.
533,"A baby shower was held for the new mother, there was a lovely cake in pink and white, and strawberries and punch for refreshments.",A mother is throwing a birthday party for her son.,A mother is hosting a birthday celebration for her male child.,A birthday party for her son is being hosted by a mother.,It seems that a mother is throwing a birthday party for her son.,contradiction,A birthday party is not a baby shower.
534,A girl in a bikini swimming in a body of water.,The girl is feeding a giraffe.,The young woman is providing food for a giraffe.,A giraffe is being fed by the girl.,The girl seems to be feeding a giraffe.,contradiction,A girl cannot be swimming and feeding a giraffe at the same time.
535,Two men in dress shirts and holding microphones sing together.,Two men in dress shirts eat at a restaurant.,Two men in dress shirts dine at a restaurant.,"At a restaurant, two men in dress shirts are eating.",Two men in dress shirts appear to be eating at a restaurant.,contradiction,"If they are singing, then they would not be able to eat."
536,And male and female duo perform on stage.,a man and woman performing on stage.,a male and female performing on stage.,"On stage, a man and a woman are performing.",It seems to be a man and woman performing on stage.,neutral,The male and female could be any age but man and woman implies adults. Also the male and female duo could be any species but man and woman indicates human
537,"A bride, groom, and their friends take a walk down a path.","A bride, groom and friends are walking.","A bride, groom and companions are strolling.","It is a bride, groom, and friends that are walking.","A bride, groom and friends appear to be walking.",entailment,the people are taking a walk down a path therefore they are walking in general
538,Two guys are welding a large black pipe,Men with a pipe.,There are males with a pipe.,A pipe is with men.,It seems there are men with a pipe.,entailment,Men have to be with a pipe to be welding it and men is a rephrasing of guys.
539,A large group of what appear to be Indian women and children stand for a photo outside of a building.,The woman is wearing an orange dress.,The woman is clad in an orange dress.,An orange dress is being worn by the woman.,The woman appears to be wearing an orange dress.,neutral,Not all women standing for a photo wear an orange dress.
540,Three young people drink beers at a bar.,There are no patrons drinking beers at the bar.,There are no customers consuming beers at the bar.,No patrons are drinking beers at the bar.,It appears there are no patrons drinking beers at the bar.,contradiction,There can't be three people and no people drinking beer at the same time
541,"A group of women and a quilt that says ""Peace Knits"".",women are knitting for soldiers,Females are creating knitted items for military personnel.,Knitting is being done by women for soldiers.,It appears that women are knitting for soldiers.,neutral,The woman can be knitting for any one other than the soldiers.
542,Two men sit at a table on the sidewalk under a francisco street sign,The men are standing at the table.,The men are on their feet at the table.,"At the table, the men are standing.",It seems the men are standing at the table.,contradiction,To sit at a table is different than standing at the table.
543,A man is sitting on a silver scooter.,A woman leans against a brown scooter.,A female props herself against a brown scooter.,A brown scooter is being leaned against by a woman.,It appears that a woman leans against a brown scooter.,contradiction,There is a man and woman
544,A girl in a bikini in climbing rocks.,She is at a rocky beach.,She is at a stony beach.,Her location is a rocky beach.,She appears to be at a rocky beach.,neutral,"She could be climbing anywhere, not necessarily at a beach."
545,A tattoo artist concentrating as he works on creating a tattoo for a customer.,A woman is having her hair dyed red.,A female is getting her hair colored red.,The hair of a woman is being dyed red.,It appears that a woman is having her hair dyed red.,contradiction,The artist is a he and works on creating a tattoo then it can't be a woman having her hair dyed.
546,A man with a dog.,A man pets a dog.,A man strokes a dog.,A dog is petted by a man.,A man seems to pet a dog.,neutral,Just because there is A man with a dog does not mean he pets the dog.
547,A man in an orange jacket and pants standing in the street looking at a orange truck.,A man standing outside,A man positioned outside.,"Outside, a man is standing.",A man appears to be standing outside.,entailment,A man must be standing outside in order to be standing in the street.
548,Fisherman on boat grabbing a net filled with what appears to be clams.,The man is old.,The individual is aged.,The man is advanced in years.,The man seems to be old.,neutral,Not all fisherman are old.
549,A shirtless man wearing light blue shorts and a baseball cap stands at the front of a boat.,The man is sailing.,The man is navigating a boat.,Sailing is what the man is doing.,The man appears to be sailing.,entailment,The man stands at the front of the boat to adjust the sailing mechanisms.
550,A young oriental man naps on a bench with his bookbag behind his head.,A man rests on a bench.,A person is relaxing on a bench.,Resting on a bench is a man.,It appears a man rests on a bench.,entailment,Naps and rests are synonyms for what the man is doing on the bench.
551,A male soccer player kicks the soccer ball with his right foot.,A man  kicks the soccer ball with his right foot.,A male strikes the soccer ball with his right foot.,The soccer ball is kicked by a man with his right foot.,A man appears to kick the soccer ball with his right foot.,entailment,a man who plays soccer is said to be a male soccer player
552,"A man in a black shirt appears to be jumping in the air holding two boards with a sign saying ""stomp"" in the background.",a man is holding a sign,A man is grasping a sign.,A sign is being held by a man.,It appears that a man is holding a sign.,entailment,The man must be wearing a black shirt and jumping in the air while holding the sign.
553,A tan dog jumps up to catch a tennis ball.,The dog is jumping.,The dog is leaping.,It is the dog that is jumping.,The dog appears to be jumping.,entailment,"The tennis ball is in the air, so the dog jumps to catch it."
554,A man and a woman are planting flowers.,People are digging holes.,Individuals are excavating holes.,Holes are being dug by people.,It appears that people are digging holes.,contradiction,A man and a woman indicates two people while people indicates more than two. Planting flowers does not mean they are digging holes necessarily.
555,A man is riding a motorcycle through the streets of an Indian bazaar.,A bike riding is wearing a helemt,A person on a bike is sporting protective headgear.,A helmet is being worn by a bike rider.,It appears that a bike rider is wearing a helmet.,neutral,Not all man riding a motorcycle wears a helemt.
556,A couple sitting on a couch both make humorous faces.,The couple are enjoying a funny movie.,The couple are liking a humorous film.,A funny movie is being enjoyed by the couple.,The couple seem to be enjoying a funny movie.,neutral,There are other reasons the couple could be sitting on a couch making humorous faces that do not involve enjoying a funny movie.
557,"A man in a green shirt, wearing glasses, cooking meat on a grill outside.",A man chops tomatoes for a salad.,A man dices tomatoes for a salad.,Tomatoes are chopped for a salad by a man.,A man is apparently chopping tomatoes for a salad.,contradiction,The man cannot be cooking meat and chopping tomatoes simultaneously.
558,A group of people gather on a basketball court as one person jumps for the ball.,A basketball player is jumping after a ball with his friends.,An athlete is leaping for a ball with his companions.,"With his friends, a basketball player is jumping for a ball.",It appears a basketball player is jumping after a ball with his friends.,neutral,"Someone jumping for a ball does not have to be a basketball player, it could be someone on the sidelines trying to catch an offsides ball.  Likewise, this person may be with his friends, family, acquaintances or strangers, there is no reason to think he is with his friends."
559,Two young men playing electric guitars in a grunge-type setting.,Nobody is playing music.,No one is performing music.,Music is not being played by anyone.,It seems that nobody is playing music.,contradiction,Either there is nobody playing or two men playing.
560,A woman and a man sitting on a bench in front of a restaurant.,A woman and a man sitting on the ground eating pudding.,"A woman and a man are sitting upon the ground, partaking of pudding.","A woman and a man are on the ground, sitting and eating pudding.",It appears that a woman and a man are sitting on the ground eating pudding.,contradiction,A bench is not the ground.
