id,Hypothesis,perturbation_1_lexical,p1_meaning_preserved,p1_explanation,perturbation_2_syntactic,p2_meaning_preserved,p2_explanation,perturbation_3_pragmatic,p3_meaning_preserved,p3_explanation
419,swimmers and surfers come together,swimmers and surfers gather,True,"'Come together' and 'gather' are synonyms, both implying the act of assembling or meeting in a group. The meaning is preserved.",Swimmers and surfers are together,False,"The original 'come together' implies an action or process of gathering, meeting, or uniting. The perturbed 'are together' describes a static state of co-presence. While related, 'are together' loses the active sense of congregating or forming a group that 'come together' conveys.",Swimmers and surfers seem to come together,False,"The original hypothesis states a direct observation or fact that swimmers and surfers come together. The perturbed hypothesis adds 'seem to', which introduces an element of uncertainty or appearance, suggesting it's how things look rather than a definitive statement of fact. This changes the certainty of the statement."
420,A man is having his picture taken behind another man cooking his meal.,A man is being photographed behind another man preparing his meal.,True,"The phrase 'having his picture taken' is synonymous with 'being photographed.' While 'preparing his meal' is a broader term than 'cooking his meal' (as preparation can include actions other than cooking, like chopping or washing), in this context, 'preparing his meal' very strongly implies and includes 'cooking his meal' as the primary action, and the core scene described remains unchanged.",A man's picture is being taken behind another man who is cooking his meal.,True,The perturbed hypothesis rephrases the subject and verb phrase from 'A man is having his picture taken' to 'A man's picture is being taken'. Both phrasings convey the identical meaning that a photograph of the man is being captured. The rest of the sentence remains semantically unchanged.,It seems that a man is having his picture taken behind another man cooking his meal.,True,"The perturbed hypothesis adds an epistemic qualifier ('It seems that') which indicates the speaker's perception or a slight degree of uncertainty about the statement. However, it does not change the core propositional content or the event being described. The man is still having his picture taken behind another man cooking his meal; the addition merely comments on the speaker's observation of this event."
423,A man is sitting on a bar stool ordering a drink.,A gentleman is seated on a bar chair requesting a beverage.,True,"All key elements of the sentence have been replaced with close synonyms: 'man' with 'gentleman', 'sitting' with 'seated', 'bar stool' with 'bar chair' (a type of bar seating), and 'ordering a drink' with 'requesting a beverage'. The core meaning remains unchanged.",A drink is being ordered by a man who is sitting on a bar stool.,True,"The perturbed hypothesis rephrases the original using a passive voice for the ordering action and a relative clause to describe the man's state, but all key elements (a man, sitting on a bar stool, ordering a drink) and their relationships remain identical.",It seems a man is sitting on a bar stool ordering a drink.,False,"The original hypothesis states a direct observation or fact. The perturbed hypothesis, by adding 'It seems,' introduces an element of uncertainty, inference, or subjective perception, implying that the speaker is not absolutely certain, but rather that the situation appears to be so. This changes the modal meaning from a direct assertion to a qualified one."
426,A huge bulldozer blowing up.,An enormous bulldozer exploding.,True,"'Huge' and 'enormous' are synonyms, and 'blowing up' and 'exploding' are also synonyms. The core meaning of a very large bulldozer undergoing an explosion is fully preserved.",A huge bulldozer is blowing up.,True,"The addition of 'is' clarifies the tense to present continuous, but the core meaning of a huge bulldozer in the act of exploding remains the same. The original, while grammatically concise (potentially a reduced relative clause or an informal present progressive), conveys the same ongoing action.",It seems that a huge bulldozer is blowing up.,False,"The original hypothesis states an event directly, while the perturbed hypothesis introduces a degree of uncertainty or observation ('It seems that'), which alters the modality and the speaker's commitment to the event's factual occurrence."
427,The man stops on his bike in the wilderness.,The man pauses on his bicycle in the forest.,True,"The words 'stops' and 'pauses' are very close in meaning in this context, as are 'bike' and 'bicycle'. While 'wilderness' is broader than 'forest', a forest is a common type of wilderness, and the general setting of being in a natural, wild environment is maintained.","In the wilderness, the man stops on his bike.",True,"The perturbed hypothesis reorders the adverbial phrase 'in the wilderness' to the beginning of the sentence, but this stylistic change does not alter the core meaning or factual content of the original statement. Both sentences convey that the man stopped on his bike in the wilderness.",The man seems to stop on his bike in the wilderness.,False,"The original hypothesis states a definitive action ('stops'), while the perturbed hypothesis introduces an element of perception or uncertainty ('seems to stop'). This changes the certainty of the event, indicating that the man might not actually be stopping, but only appears to be."
428,A single man is standing outside of a building holding cotton candy.,"A lone man is standing outside a building, carrying cotton candy.",True,"The terms 'single' and 'lone' are synonymous in this context, both referring to one man. 'Holding' and 'carrying' are also interchangeable when referring to someone having cotton candy in their possession. The phrase 'outside of a building' is grammatically equivalent to 'outside a building'.",Standing outside of a building is a single man holding cotton candy.,True,"The perturbed hypothesis rephrases the original using an inverted sentence structure (locative inversion), but it describes the exact same scene and conveys the identical information without any change in meaning.",A single man appears to be standing outside of a building holding cotton candy.,False,"The original hypothesis states a definitive fact ('is standing'), while the perturbed hypothesis introduces a degree of uncertainty or perception ('appears to be standing'). This subtle difference changes the nature of the claim from a direct observation to an interpretation or an appearance, thus not preserving the exact meaning."
436,A man is seated on the toilet in a bathroom.,A man is sitting on the commode in a restroom.,True,The terms 'seated' and 'sitting' are synonymous. 'Toilet' and 'commode' refer to the same object. 'Bathroom' and 'restroom' are interchangeable terms for the same type of room.,"In a bathroom, a man is seated on the toilet.",True,"The perturbed hypothesis rephrases the original by moving the prepositional phrase 'in a bathroom' to the beginning, but it does not alter the core meaning or the factual content of the statement.",It appears that a man is seated on the toilet in a bathroom.,False,"The original hypothesis states a fact directly. The perturbed hypothesis adds 'It appears that', which introduces an element of observation, inference, or uncertainty, thereby changing the statement from a direct assertion of fact to a perception or an apparent fact."
438,The man owns a skateboard.,The man possesses a skateboard.,True,"The words 'owns' and 'possesses' are synonymous in this context, both indicating that the man has legal title to and control over the skateboard.",A skateboard is owned by the man.,True,The perturbed hypothesis is the passive voice construction of the original hypothesis. Both sentences convey the same information: the man is the owner of the skateboard.,It appears the man owns a skateboard.,False,"The original hypothesis states a fact directly. The perturbed hypothesis introduces an epistemic modal ('It appears') which indicates inference or a lack of certainty, thus weakening the assertiveness of the statement and changing its meaning from a direct factual claim to an observation or deduction."
439,A group of people are skydiving.,An assembly of individuals are parachuting.,False,"While 'skydiving' is a form of 'parachuting,' the perturbed hypothesis uses the more general term 'parachuting,' which does not fully capture the specific meaning and nuances of 'skydiving' (e.g., the freefall component and recreational sport aspect). Therefore, some specificity of the original meaning is lost.",Skydiving is being undertaken by a group of people.,True,The perturbed hypothesis is a passive voice rephrasing of the original hypothesis. Both sentences convey the same information: the activity of skydiving is being performed by a group of people.,It appears that a group of people are skydiving.,False,"The original hypothesis states a direct fact. The perturbed hypothesis adds 'It appears that', which introduces a level of observation or inference, changing the certainty and directness of the statement. It implies the event is perceived rather than definitively known."
440,kicker kicks off,The kicker initiates the play.,True,The phrase 'kicks off' specifically describes how a kicker initiates the start of a game or a half. 'Initiates the play' is a more general but accurate description of this action within the given context.,Play is kicked off by the kicker.,True,The perturbed hypothesis is a passive voice rephrasing of the original active voice statement. Both convey the same information: the kicker initiates the play by kicking off.,It seems that the kicker kicks off.,False,"The original hypothesis states a direct fact, 'kicker kicks off'. The perturbed hypothesis adds 'It seems that', which introduces a degree of uncertainty, observation, or inference, rather than a definitive statement. This changes the modality and commitment to the truth of the statement, thus altering its meaning."
441,Both men are homosexual.,Both men are gay.,True,"'Gay' is a widely accepted and commonly used synonym for 'homosexual,' particularly when referring to men. The meaning is identical.",The sexual orientation of both men is homosexual.,True,"The perturbed hypothesis rephrases 'are homosexual' as 'the sexual orientation... is homosexual', which conveys the identical meaning without any change or loss of information.",Both men could be homosexual.,False,"The original hypothesis makes a definitive assertion ('are'), while the perturbed hypothesis introduces possibility or uncertainty ('could be'). This changes the modality from a statement of fact to a statement of potentiality, thus altering the core meaning."
448,there is kids and adult walking the bathroom inside home,There are children and a grown-up strolling in the restroom within a residence.,True,"The perturbed hypothesis uses synonyms ('children' for 'kids', 'grown-up' for 'adult', 'strolling' for 'walking', 'restroom' for 'bathroom', 'residence' for 'home') and corrects grammatical errors ('There are' instead of 'there is', 'a grown-up' instead of 'adult', 'in the restroom' instead of 'the bathroom', 'within a residence' instead of 'inside home') without altering the core meaning of the original sentence.",A bathroom within a home is being walked in by kids and an adult.,True,"The original phrase 'walking the bathroom' is grammatically awkward but is commonly understood to mean 'walking in the bathroom' or 'walking around the bathroom.' The perturbed hypothesis clarifies this by using 'walked in,' preserving the intended meaning that kids and an adult are performing the action of walking inside the bathroom.",It seems that kids and an adult are walking in the bathroom inside a home.,True,"The perturbed hypothesis corrects grammatical errors ('there is kids' to 'kids and an adult are', 'walking the bathroom' to 'walking in the bathroom', 'inside home' to 'inside a home') and clarifies the number of adults ('adult' to 'an adult'). The core elements (kids and an adult, walking, in a bathroom, inside a home) remain the same. 'It seems that' introduces a nuance of observation but doesn't change the described event itself."
451,"Two people in a rowboat in a rocky lake, one rowing, the other sitting.","Two individuals are aboard a rowboat on a stony lake, one rowing, the other seated.",True,"The perturbed hypothesis uses synonyms and slightly different phrasing ('individuals' for 'people', 'aboard' for 'in', 'stony' for 'rocky', 'seated' for 'sitting') but conveys the exact same scene and actions. No semantic information is lost or changed.","On a rocky lake, a rowboat is occupied by two people; one is rowing, and the other is sitting.",True,"The perturbed hypothesis rephrases the original without changing any of the core information or actions described. Both describe two people in a rowboat on a rocky lake, with one rowing and the other sitting.","It appears that two people are in a rowboat in a rocky lake, with one rowing and the other sitting.",False,"The original hypothesis states a direct observation or fact. The perturbed hypothesis adds 'It appears that,' which introduces a degree of uncertainty or subjective perception, changing the epistemic status of the statement from a direct assertion to an assertion of an appearance."
455,A man sitting at a steering wheel.,A man positioned at a steering wheel.,False,"The original hypothesis specifies the man's posture as 'sitting.' The perturbed hypothesis uses 'positioned,' which is a more general term indicating location or orientation but does not explicitly state the posture. While 'positioned at a steering wheel' often implies sitting, it does not strictly require it, thus allowing for scenarios (e.g., standing at the steering wheel, kneeling at the steering wheel) that are excluded by the original. Therefore, the specific meaning regarding posture is lost.",A man who is sitting at a steering wheel.,True,"The perturbed hypothesis uses a relative clause ('who is sitting') which is a more explicit way of conveying the same information as the participial phrase ('sitting') in the original hypothesis. Both phrases describe the man's action and state in an identical manner, thus preserving the meaning.",There appears to be a man sitting at a steering wheel.,False,"The original states a direct fact. The perturbed version adds 'There appears to be', which introduces an element of perception, inference, or uncertainty, rather than a definitive statement of existence or fact."
464,Some people head down a street next to each other.,A few individuals proceed along a road alongside one another.,True,"All key elements of the original hypothesis ('Some people', 'head down', 'a street', 'next to each other') have been replaced with direct synonyms or very close equivalents ('A few individuals', 'proceed along', 'a road', 'alongside one another') without altering the core meaning.",There are some people heading down a street side by side.,True,"The phrases 'head down a street' and 'heading down a street' convey the same action. 'Next to each other' and 'side by side' are synonymous, describing the spatial relationship between the people. The core meaning is fully preserved.",It seems that some people head down a street next to each other.,False,"The original hypothesis states a fact directly, while the perturbed hypothesis introduces a degree of uncertainty or observation ('It seems that'), which alters the modality and certainty of the statement."
465,A female worker dances on a stripper pole.,A woman laborer performs on a dancing pole.,True,"The perturbed hypothesis uses synonymous or closely related terms for each component: 'female worker' is rephrased as 'woman laborer', 'dances' as 'performs', and 'stripper pole' as 'dancing pole'. While 'dancing pole' is a slightly broader term than 'stripper pole', in the context of a person 'performing' or 'dancing' on it, the meaning is essentially preserved without significant change or contradiction.",It is a stripper pole on which a female worker dances.,True,"The perturbed hypothesis uses a cleft sentence structure to emphasize 'a stripper pole', but it conveys the exact same action and participants as the original hypothesis. No information is added, removed, or changed.",A female worker appears to be dancing on a stripper pole.,False,"The original hypothesis states a definite action ('dances'), while the perturbed hypothesis introduces uncertainty or an observation ('appears to be dancing'). The perturbed version does not confirm the action is actually happening, only that it seems to be, thus changing the certainty of the statement."
466,A man is smashing his guitar.,A man is breaking his guitar.,True,"'Smashing' is a specific, forceful way of 'breaking' something. In the context of a guitar, both terms imply the destruction and rendering non-functional of the instrument. The core meaning of causing damage leading to breakage is preserved.",His guitar is being smashed by a man.,True,"The perturbed hypothesis is simply the passive voice construction of the original active voice sentence. Both sentences describe the same event, involving the same agent (a man) performing the same action (smashing) on the same object (his guitar).",It appears that a man is smashing his guitar.,False,"The original hypothesis states a definitive action. The perturbed hypothesis introduces uncertainty or subjective perception ('It appears that'), thus changing the assertiveness and factual claim of the statement."
469,A man walks near a wall.,A man strolls close to a wall.,False,"The word 'strolls' is a more specific type of 'walks', implying a relaxed and unhurried pace. The original hypothesis 'A man walks near a wall' is broader and could include various types of walking (e.g., briskly, slowly, strolling). If the man is walking quickly, the original statement would be true, but the perturbed statement ('A man strolls close to a wall') would be false. Therefore, the perturbed hypothesis does not fully preserve the meaning as it adds a specific characteristic (relaxed pace) not necessarily present in the original.",It is a man who walks near a wall.,True,"The perturbed hypothesis uses a cleft sentence structure ('It is X who Y') which emphasizes 'a man', but it does not change the core propositional meaning that a man is performing the action of walking near a wall. The truth conditions remain the same.",A man appears to walk near a wall.,False,"The original statement asserts a definitive action, 'A man walks near a wall.' The perturbed statement, 'A man appears to walk near a wall,' introduces an element of perception or uncertainty, implying that while he looks like he's walking, it might not be a definitive fact or could be an illusion. This changes the certainty of the action, thus not preserving the original meaning."
471,Two police were eating donuts at a donut shop.,Two officers were consuming doughnuts at a doughnut shop.,True,"The perturbed hypothesis uses synonymous terms ('officers' for 'police', 'consuming' for 'eating') and alternative spellings ('doughnuts' for 'donuts', 'doughnut shop' for 'donut shop'), but the core meaning of two police officers eating donuts at a donut shop remains unchanged.","At a donut shop, two police were eating donuts.",True,The perturbed hypothesis reorders the phrases but maintains the exact same information and meaning as the original hypothesis. It simply moves the location adverbial to the beginning of the sentence.,It seems that two police were eating donuts at a donut shop.,False,"The perturbed hypothesis introduces an epistemic qualifier ('It seems that') which expresses a degree of uncertainty or inference, rather than a direct statement of fact as in the original hypothesis. This changes the speaker's commitment to the truth of the proposition."
477,A woman in white is sleeping in her bed.,A female in white is slumbering in her bed.,True,"The words 'woman' and 'female' are interchangeable in this context, and 'sleeping' and 'slumbering' are direct synonyms. The rest of the sentence is identical, preserving the original meaning entirely.",Sleeping in her bed is a woman in white.,True,"The perturbed hypothesis is a rephrasing of the original with an inverted sentence structure (predicate-subject inversion), but it conveys the exact same information and meaning. The subject, action, and location remain unchanged.",It appears that a woman in white is sleeping in her bed.,False,"The original hypothesis states a definitive fact. The perturbed hypothesis adds 'It appears that', which introduces a degree of uncertainty or observation, implying that the statement might not be a definitive truth but rather a perception or inference. This changes the certainty of the claim."
478,A woman with facial hair is eating steak.,A female with facial hair is consuming a steak.,True,"The words 'woman' and 'female' are interchangeable in this context, and 'eating' and 'consuming' are synonyms. The addition of 'a' before 'steak' does not alter the core meaning.",Steak is being eaten by a woman with facial hair.,True,"The perturbed hypothesis is a passive voice construction of the original hypothesis. Both sentences describe the same action, subject, and object, thus preserving the core meaning.",It appears that a woman with facial hair is eating steak.,False,"The original hypothesis states a fact directly. The perturbed hypothesis introduces 'It appears that', which implies an observation or inference, suggesting a degree of uncertainty rather than a definitive statement. This changes the commitment and modality of the assertion."
480,the dog is eating dog food.,The dog is consuming dog food.,True,"'Consuming' is a direct synonym for 'eating' in this context, and does not alter the core meaning of the action being performed by the dog.",Dog food is being eaten by the dog.,True,"The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both sentences convey the identical event of 'the dog eating dog food' without any change in the action, participants, or outcome.",The dog appears to be eating dog food.,False,"The original hypothesis states a definitive fact ('the dog is eating'). The perturbed hypothesis introduces an element of observation or uncertainty ('appears to be eating'), suggesting it might not be a definitive fact, but rather an inference or a visual impression. This changes the certainty of the statement."
482,The man is sleeping.,The man is dozing.,False,"While 'dozing' is a form of light sleep, it does not fully preserve the meaning of 'sleeping.' 'Sleeping' is a more general term that can imply deep, prolonged rest, whereas 'dozing' specifically implies sleeping lightly, often intermittently or for a short period. The perturbed version narrows the scope and adds a nuance of lightness that isn't necessarily present in the original.",It is the man who is sleeping.,True,"The perturbed hypothesis uses a cleft sentence ('It is X who Y') to emphasize 'the man,' but it still conveys the exact same core information as the original: that the man is sleeping. The truth conditions remain identical.",The man appears to be sleeping.,False,"The original hypothesis states a definitive fact ('is sleeping'), while the perturbed hypothesis introduces an element of perception or inference ('appears to be sleeping'), implying a possibility that the man might not actually be sleeping, only looking like he is."
487,A woman is wearing a pink shirt sitting on a yellow couch.,"A female is donning a rose-colored top, seated on a golden sofa.",True,"All key elements in the perturbed hypothesis are synonymous with those in the original. 'Female' is synonymous with 'woman', 'donning' with 'wearing', 'rose-colored top' with 'pink shirt' (rose-colored is a shade of pink, and a top is a general term for a shirt), 'seated' with 'sitting', and 'golden sofa' with 'yellow couch' (golden is a shade of yellow, and sofa is a synonym for couch).","On a yellow couch, a woman wearing a pink shirt is seated.",True,"The perturbed hypothesis rephrases the original by changing the word order and using 'is seated' instead of 'sitting', but all key elements (woman, pink shirt, yellow couch, sitting position) and their relationships remain identical. The meaning is fully preserved.","It seems that a woman is wearing a pink shirt, sitting on a yellow couch.",True,"The perturbed hypothesis adds a modal expression ('It seems that') which indicates the speaker's level of certainty or an observation, but it does not alter the core descriptive meaning of the scene itself (a woman, pink shirt, yellow couch, and their relationship). The semantic content about what is being depicted remains identical."
488,a man is in a factory,A person is situated within a manufacturing plant.,True,The perturbed hypothesis uses synonymous terms ('A person' for 'a man' - where 'a man' is a type of 'person'; 'is situated within' for 'is in'; 'a manufacturing plant' for 'a factory') to convey the exact same core meaning of a human individual being present inside an industrial facility.,A factory is where a man is located.,True,Both sentences convey the same core information: a man is situated inside a factory. The perturbed version rephrases the statement but does not alter its fundamental meaning.,It seems a man is in a factory.,False,"The original hypothesis states a fact directly. The perturbed hypothesis adds 'It seems', which introduces an element of uncertainty, perception, or inference, rather than a definitive statement of fact. This weakens the assertion and changes the epistemic modality."
493,the dog sat on the window ledge watching the storm,The dog perched on the windowsill observing the storm.,True,'Sat on the window ledge watching' is semantically equivalent to 'perched on the windowsill observing.' The verbs and nouns are synonyms in this context.,"Watching the storm, the dog was situated on the window ledge.",True,"The perturbed hypothesis rephrases the original by changing the sentence structure and replacing 'sat' with 'was situated,' but the core meaning that the dog was on the window ledge observing the storm remains identical. 'Was situated' is a synonym for 'was seated' or 'was positioned' in this context.","It seems the dog was sitting on the window ledge, watching the storm.",True,"The perturbed hypothesis maintains the core action, subject, and location described in the original. The addition of 'It seems' introduces a nuance of epistemic modality (speaker's certainty/inference) but does not alter the factual content of the dog sitting on the window ledge watching the storm. 'was sitting' (past continuous) instead of 'sat' (simple past) also doesn't change the fundamental meaning of the action in this context."
494,A guy is wearing a red hat.,A man is sporting a red cap.,True,"The perturbed hypothesis uses 'man' instead of 'guy' and 'sporting' instead of 'wearing', which are synonymous in this context. 'Cap' is a specific type of 'hat', so a 'red cap' is a 'red hat'. The meaning is preserved as the perturbed version describes a specific instance that fits the original description.",A red hat is being worn by a guy.,True,The perturbed hypothesis is a passive voice construction of the original hypothesis. Both sentences convey the exact same information: a guy is the one wearing a red hat.,It seems a guy is wearing a red hat.,False,"The original hypothesis states a direct observation or fact. The perturbed hypothesis, by adding 'It seems', introduces an element of uncertainty or subjective perception, implying that the speaker is making an inference rather than a direct assertion. This changes the epistemic modality and therefore the meaning."
498,The group of young adults march in the street.,The group of young people parade in the street.,True,"The terms 'young adults' and 'young people' are largely interchangeable in this context. Similarly, 'march' and 'parade' both describe a group moving in an organized manner in a public street, making them very close in meaning.","In the street, the group of young adults are marching.",True,"The change in verb form from 'march' (simple present) to 'are marching' (present continuous) primarily refines the temporal aspect to explicitly indicate an ongoing action, but does not alter the core meaning of the event, the participants, or the location. The reordering of 'In the street' is a stylistic choice and does not impact meaning.",It appears that the group of young adults march in the street.,False,"The original hypothesis asserts a fact (the group *does* march), while the perturbed hypothesis introduces a degree of uncertainty or an observational perspective ('It appears that...'). This changes the direct factual assertion to an assertion about an appearance or perception, thus not preserving the original meaning's certainty."
515,A woman is feeding ducks at the park.,A female is providing food for waterfowl within the park.,True,"The perturbed hypothesis uses synonymous phrases ('is providing food for' for 'is feeding', 'within' for 'at') and hypernyms ('female' for 'woman', 'waterfowl' for 'ducks'). While slightly more general, the core meaning, action, and location remain the same.",Ducks are being fed by a woman at the park.,True,"The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both sentences describe the exact same event: a woman is performing the action of feeding, and ducks are the recipients of that action, with the location being the park. The agent, action, patient, and location remain unchanged.",It seems a woman is feeding ducks at the park.,False,"The original hypothesis states a direct observation or fact. The perturbed hypothesis adds 'It seems', which introduces an element of uncertainty, inference, or subjective perception, thus altering the certainty and directness of the statement compared to the original."
518,The dogs are running around outside.,The canines are frolicking outdoors.,False,"While 'dogs' and 'canines' are synonyms, and 'outside' and 'outdoors' are synonyms, 'frolicking' is a more specific term than 'running around.' 'Frolicking' implies playful, cheerful movement, whereas 'running around' is a more general term for active movement that does not necessarily include playfulness. Therefore, the perturbed hypothesis adds a connotation of playfulness that the original hypothesis does not necessarily convey, thus changing the specific nature of the activity.",It is outside that the dogs are running around.,True,"The perturbed hypothesis uses a cleft sentence structure ('It is X that Y') to emphasize the location 'outside', but it does not alter the fundamental meaning that the dogs are engaged in running around outdoors. Both sentences convey the same core information.",The dogs appear to be running around outside.,False,"The original hypothesis states a direct observation or fact. The perturbed hypothesis, by adding 'appear to be', introduces an element of perception, inference, or a slight degree of uncertainty, rather than a direct statement of fact. It implies that based on evidence, it seems they are running, but it doesn't assert it as definitively as the original."
520,A flamingo is playing with a frog.,A flamingo is frolicking with a frog.,True,"'Frolicking' is a synonym for playing, specifically implying playful, lively movement. It preserves the core meaning of interaction and enjoyment.",Playing with a frog is a flamingo.,False,"The original sentence states that a flamingo is performing the action of playing with a frog. The perturbed sentence rephrases the subject as 'playing with a frog' and equates this activity with 'a flamingo,' which changes the grammatical roles and the core meaning entirely. It no longer describes a flamingo actively playing.",It seems that a flamingo is playing with a frog.,False,"The original hypothesis states a definitive observation. The perturbed hypothesis introduces uncertainty or subjective perception with 'It seems that', implying it *might* be happening or *appears* to be happening, rather than definitively stating it is happening."
521,The two men are dragons.,The two males are dragons.,True,"'Males' is a broader term than 'men' but in this context, substituting 'men' with 'males' still refers to adult human males, preserving the original meaning of the subjects.",It is dragons that the two men are.,True,"The perturbed hypothesis uses a cleft construction ('It is X that Y Z') to emphasize 'dragons,' but it retains the same core assertion that 'the two men are dragons.' The meaning is preserved, only the emphasis changes.",It appears that the two men are dragons.,False,"The original hypothesis states a definitive fact. The perturbed hypothesis introduces an epistemic qualifier ('It appears that'), which changes the statement from a direct assertion to an observation or a less certain claim, thereby altering the degree of certainty and the nature of the statement."
522,The man is playing the guitar.,The man is strumming the guitar.,True,"Strumming is a common and primary method of playing a guitar, so 'strumming the guitar' is a specific instance of 'playing the guitar.' The perturbed hypothesis provides more detail but does not alter the core action.",The guitar is being played by the man.,True,The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both sentences describe the same event: the man performing the action of playing the guitar. The agent (man) and the object (guitar) remain the same.,The man might be playing the guitar.,False,"The original hypothesis states a definitive action ('is playing'), while the perturbed hypothesis introduces uncertainty or possibility ('might be playing'). This changes the certainty of the statement, thus altering the meaning."
523,A boy is taking a picture at the circus.,A young male is capturing an image at the big top.,True,"The perturbed hypothesis uses synonyms or near-synonyms for all key elements: 'boy' is replaced by 'young male', 'taking a picture' by 'capturing an image', and 'circus' by 'big top' (a common metonym for a circus). The core meaning and information conveyed remain identical.","At the circus, a boy is taking a picture.",True,"The perturbed hypothesis rephrases the original by moving the adverbial phrase 'at the circus' to the beginning of the sentence. This change in word order does not alter the core meaning, the subject (a boy), the action (taking a picture), or the location (at the circus).",It seems a boy is taking a picture at the circus.,False,"The original hypothesis states a direct observation or fact. The perturbed hypothesis adds 'It seems', which introduces an element of uncertainty, appearance, or inference, rather than a direct statement of fact. This changes the modality and commitment to the truth of the statement."
525,A building is on fire.,A structure is ablaze.,False,"While 'on fire' and 'ablaze' are synonymous, 'structure' is a broader term than 'building'. The perturbed hypothesis generalizes the object, losing the specific information that it is a 'building' that is burning. Therefore, the full meaning is not preserved.",There is a fire burning within a building.,True,"The perturbed hypothesis specifies that the fire is burning 'within' the building, which is a common and primary way a building is 'on fire'. The core meaning that the building is experiencing a fire is preserved.",It is possible that a building is on fire.,False,"The original hypothesis states a fact with certainty, while the perturbed hypothesis introduces a degree of uncertainty or possibility. 'A building is on fire' asserts that the event is happening, whereas 'It is possible that a building is on fire' only suggests it might be happening, which is a weaker claim."
527,a man poses on the beach,a male stands on the shore,False,"'Posing' implies a deliberate, often stylized, posture for a picture or observation, whereas 'standing' is a more general action of being upright on one's feet. The specificity of the action is lost.","On the beach, a man poses.",True,"The perturbed hypothesis rephrases the original by moving the prepositional phrase 'on the beach' to the beginning of the sentence, but it does not alter the core meaning or the factual information conveyed.",It appears a man poses on the beach.,False,"The perturbed hypothesis adds a layer of uncertainty or subjective observation ('It appears'), which was not present in the original direct statement. The original states a fact, while the perturbed states that something seems to be a fact."
528,The person is working.,The individual is laboring.,True,"'Individual' is a direct synonym for 'person', and 'laboring' is a strong synonym for 'working', often implying hard work, but fundamentally it still conveys the act of performing work.",The person performs work.,True,'Is working' and 'performs work' both convey that the person is currently engaged in an activity considered labor or a task.,The person seems to be working.,False,"The original hypothesis states a definitive fact ('is working'), while the perturbed hypothesis introduces an element of inference or uncertainty ('seems to be working'), indicating that the activity is an observation or impression rather than a confirmed fact. This weakens the assertion."
533,A mother is throwing a birthday party for her son.,A mother is hosting a birthday celebration for her male child.,True,"The perturbed hypothesis uses synonymous terms for 'throwing a party' (hosting a celebration) and 'son' (male child), preserving the original meaning entirely.",A birthday party for her son is being hosted by a mother.,True,The perturbed hypothesis is a passive voice construction of the original active voice sentence. Both sentences convey the same information: a mother is organizing a birthday party for her son.,It seems that a mother is throwing a birthday party for her son.,False,"The original hypothesis states a fact directly. The perturbed hypothesis adds the phrase 'It seems that,' which introduces a level of uncertainty, inference, or subjective perception. While the core event described is the same, the speaker's commitment to the truth of that event is diminished or qualified, thus changing the overall meaning and truth conditions."
534,The girl is feeding a giraffe.,The young woman is providing food for a giraffe.,True,"'The young woman' is a semantically very close substitute for 'The girl', and 'providing food for' is a direct synonym for 'feeding'.",A giraffe is being fed by the girl.,True,"The perturbed hypothesis is the passive voice construction of the original, maintaining the same semantic roles: the girl is still the one performing the action of feeding, and the giraffe is still the one being fed.",The girl seems to be feeding a giraffe.,False,"The original hypothesis states a definite fact ('is feeding'), while the perturbed hypothesis introduces uncertainty or perception ('seems to be feeding'), which changes the certainty of the statement."
536,a man and woman performing on stage.,a male and female performing on stage.,True,"The terms 'man' and 'male' are synonymous in this context, referring to an adult human of the male sex. Similarly, 'woman' and 'female' are synonymous, referring to an adult human of the female sex. Therefore, the meaning is preserved.","On stage, a man and a woman are performing.",True,"The perturbed hypothesis rephrases the original by moving the location 'On stage' to the beginning and making the verb explicit ('are performing' instead of the implied 'performing'), but the core meaning of a man and woman performing on stage remains identical.",It seems to be a man and woman performing on stage.,False,"The perturbed hypothesis adds an epistemic modality ('It seems to be'), introducing a degree of uncertainty or inference that is not present in the original direct statement. While the core visual content remains similar, the speaker's certainty about that content is diminished."
537,"A bride, groom and friends are walking.","A bride, groom and companions are strolling.",True,"The change from 'friends' to 'companions' is a semantic substitute that maintains the meaning of people accompanying the bride and groom. 'Strolling' is a specific type of 'walking' (leisurely walking), which preserves the core action of moving on foot without altering the overall meaning.","It is a bride, groom, and friends that are walking.",True,"The perturbed hypothesis uses a cleft sentence structure ('It is X that Y') which emphasizes the subject ('a bride, groom, and friends') but does not change the core meaning or propositional content of the original sentence. Both sentences state that a bride, groom, and friends are walking.","A bride, groom and friends appear to be walking.",False,"The original hypothesis states a direct action ('are walking'), while the perturbed hypothesis introduces a perceptual inference ('appear to be walking'). 'Appear to be' implies that based on observation, they seem to be walking, but it does not definitively state that they *are* walking, thus introducing a nuance of uncertainty or a difference between appearance and reality. This changes the certainty and directness of the statement."
