id,premise_raw,premise_original_necessity,premise_original_necessity_control,premise_original_sufficiency,premise_original_sufficiency_control,coverage_original,premise_lexical_necessity,premise_lexical_necessity_control,premise_lexical_sufficiency,premise_lexical_sufficiency_control,coverage_lexical,premise_syntactic_necessity,premise_syntactic_necessity_control,premise_syntactic_sufficiency,premise_syntactic_sufficiency_control,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_necessity_control,premise_pragmatic_sufficiency,premise_pragmatic_sufficiency_control,coverage_pragmatic
456,A young lady with an umbrella is walking by while two women are adoring the adorable puppy one gentleman was walking.,_____ _____ _____ with an umbrella _____ _____ _____ while _____ _____ are adoring the adorable puppy _____ _____ _____ _____,A young lady _____ _____ _____ is walking by _____ two women _____ _____ _____ _____ _____ one gentleman was walking.,A young lady _____ _____ _____ is walking by _____ two women _____ _____ _____ _____ _____ one gentleman was walking.,A young lady with an _____ _____ _____ by _____ two women are _____ the _____ _____ _____ gentleman was _____,0.5714,_____ _____ _____ with an umbrella _____ _____ _____ while _____ _____ are adoring the adorable puppy _____ _____ _____ _____,A young lady _____ _____ _____ is walking by _____ two women _____ _____ _____ _____ _____ one gentleman was walking.,A young lady _____ _____ _____ is walking by _____ two women _____ _____ _____ _____ _____ one gentleman was walking.,_____ young _____ _____ an umbrella is walking by while two _____ _____ _____ the _____ puppy _____ gentleman _____ walking.,0.5714,_____ _____ _____ with an umbrella _____ _____ _____ while _____ _____ _____ _____ the adorable puppy _____ _____ _____ _____,A young lady _____ _____ _____ is walking by _____ two women are adoring _____ _____ _____ one gentleman was walking.,A young lady _____ _____ _____ is walking by _____ two women are adoring _____ _____ _____ one gentleman was walking.,A young _____ with an umbrella _____ _____ by while _____ _____ are adoring the _____ puppy one gentleman _____ walking.,0.6667,_____ _____ _____ with an umbrella _____ _____ _____ while _____ _____ _____ _____ the adorable puppy _____ _____ _____ _____,A young lady _____ _____ _____ is walking by _____ two women are adoring _____ _____ _____ one gentleman was walking.,A young lady _____ _____ _____ is walking by _____ two women are adoring _____ _____ _____ one gentleman was walking.,A _____ lady _____ an umbrella _____ walking by while _____ _____ _____ adoring _____ adorable puppy one gentleman was walking.,0.6667
457,A person is sitting behind two large baskets of bread.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A person is sitting behind two large baskets of bread.,A person is sitting behind two large baskets of bread.,A person is sitting behind two large baskets of bread.,1.0000,A _____ is _____ behind two large baskets of bread.,A person is sitting behind _____ large _____ of bread.,_____ person _____ sitting _____ _____ _____ _____ _____ _____,A _____ _____ _____ _____ _____ _____ baskets _____ _____,0.2000,A person is _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ sitting behind two large baskets of bread.,_____ _____ _____ sitting behind two large baskets of bread.,A person _____ sitting _____ two large baskets _____ bread.,0.7000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A person is sitting behind two large baskets of bread.,A person is sitting behind two large baskets of bread.,A person is sitting behind two large baskets of bread.,1.0000
458,A large brown and a small white dog play indoors on a carpet.,A large _____ and a small _____ dog play indoors on a carpet.,A large brown and a _____ white dog play _____ on a carpet.,_____ _____ brown _____ _____ _____ white _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ indoors _____ a _____,0.1538,A large _____ and a small _____ dog play indoors on a carpet.,A large brown and a small white dog _____ indoors _____ a carpet.,_____ _____ brown _____ _____ _____ white _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ indoors on _____ _____,0.1538,A large _____ and a small _____ dog play indoors on a carpet.,_____ large brown and a small white dog play _____ on a carpet.,_____ _____ brown _____ _____ _____ white _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ a carpet.,0.1538,A large _____ and a small _____ dog play indoors on a carpet.,A _____ brown and a _____ white dog play indoors on a carpet.,_____ _____ brown _____ _____ _____ white _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ dog _____ indoors _____ _____ _____,0.1538
459,A group of people walk down a path in a wooded area.,_____ _____ _____ _____ _____ down _____ _____ _____ _____ _____ _____,A group of people walk _____ a path in a wooded area.,A group of people walk _____ a path in a wooded area.,A group _____ people walk down a path in a wooded area.,0.9167,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A group of people walk down a path in a wooded area.,A group of people walk down a path in a wooded area.,A group of people walk down a path in a wooded area.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A group of people walk down a path in a wooded area.,A group of people walk down a path in a wooded area.,A group of people walk down a path in a wooded area.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A group of people walk down a path in a wooded area.,A group of people walk down a path in a wooded area.,A group of people walk down a path in a wooded area.,1.0000
460,Regal horse and white carriage scene with female driver and two blond little flower girls dressed in white.,Regal _____ and white carriage scene with female driver and two blond little flower girls dressed in white.,Regal horse and white carriage scene with female driver and two blond little _____ girls dressed in white.,_____ horse _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ white _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0556,Regal _____ and white carriage scene with female driver and two blond little flower girls dressed in white.,Regal horse and white carriage _____ with female driver and two blond little flower girls dressed in white.,_____ horse _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ girls _____ _____ _____,0.0556,Regal _____ and white carriage scene with female driver and two blond little flower girls dressed in white.,Regal horse and white carriage scene with female driver and two blond little flower _____ dressed in white.,_____ horse _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ and _____ _____ _____ _____ _____ _____ _____ _____,0.0556,Regal _____ and white carriage scene with female driver and two blond little flower girls dressed in white.,Regal horse and white carriage scene with _____ driver and two blond little flower girls dressed in white.,_____ horse _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ girls _____ _____ _____,0.0556
461,A man in heavy clothing with a cart of tools bending to inspect the floor,A man in heavy clothing with a cart of tools bending to inspect the floor,A man in heavy clothing with a cart of tools bending to inspect the floor,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0000,A man in _____ _____ with a _____ _____ _____ bending to _____ _____ _____,_____ _____ _____ heavy clothing _____ _____ cart of tools _____ _____ inspect the floor,_____ _____ _____ heavy clothing _____ _____ cart of tools _____ _____ inspect the floor,_____ _____ in heavy clothing with a cart _____ tools _____ _____ _____ the _____,0.5333,A man in _____ _____ with a _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ heavy clothing _____ _____ cart of tools bending to inspect the floor,_____ _____ _____ heavy clothing _____ _____ cart of tools bending to inspect the floor,A _____ in heavy _____ with _____ cart of tools bending to _____ the _____,0.6667,A man in heavy clothing with a cart of tools bending to inspect the floor,A man in heavy clothing with a cart of tools bending to inspect the floor,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0000
462,"While others gather in areas, a man in a brown shirt sits with reading material in hand.","While others gather in areas, a man in a _____ _____ _____ with reading material in hand.","While others gather in areas, a man in _____ brown shirt sits with _____ material _____ hand.",_____ _____ _____ _____ _____ _____ _____ _____ _____ brown shirt sits _____ _____ _____ _____ _____,_____ _____ _____ in _____ _____ _____ in _____ _____ _____ sits _____ _____ _____ _____ _____,0.1765,"While others gather in areas, a man in a _____ _____ _____ with reading material in hand.","While others gather _____ areas, a man in _____ brown shirt sits with _____ material in hand.",_____ _____ _____ _____ _____ _____ _____ _____ _____ brown shirt sits _____ _____ _____ _____ _____,"_____ _____ _____ _____ areas, a _____ _____ _____ _____ _____ _____ _____ _____ material _____ _____",0.1765,"While others gather in areas, a man in a brown shirt sits with reading material in hand.","While others gather in areas, a man in a brown shirt sits with reading material in hand.",_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0000,"While others gather in areas, a man in a _____ _____ _____ with reading material in hand.","_____ others gather in areas, a _____ in a brown shirt sits with reading material _____ hand.",_____ _____ _____ _____ _____ _____ _____ _____ _____ brown shirt sits _____ _____ _____ _____ _____,"_____ _____ _____ _____ areas, _____ _____ _____ a _____ _____ sits _____ _____ _____ _____ _____",0.1765
463,Passengers boarding a train.,Passengers _____ a train.,Passengers boarding a _____,_____ boarding _____ _____,Passengers _____ _____ _____,0.2500,Passengers _____ a train.,Passengers boarding _____ train.,_____ boarding _____ _____,_____ _____ _____ train.,0.2500,Passengers boarding a train.,Passengers boarding a train.,_____ _____ _____ _____,_____ _____ _____ _____,0.0000,Passengers boarding a train.,Passengers boarding a train.,_____ _____ _____ _____,_____ _____ _____ _____,0.0000
467,There are people sitting in seats that are in rows.,There are _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ people sitting in seats that are in rows.,_____ _____ people sitting in seats that are in rows.,_____ are people sitting in seats that are _____ rows.,0.8000,There are _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ people sitting in seats that are in rows.,_____ _____ people sitting in seats that are in rows.,_____ are _____ sitting in seats that are in rows.,0.8000,There are people sitting in seats that are in rows.,There are people sitting in seats that are in rows.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0000,There are _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ people sitting in seats that are in rows.,_____ _____ people sitting in seats that are in rows.,_____ are _____ sitting in seats that are in rows.,0.8000
468,A man in a plaid shirt is selling products to customers.,A man in a plaid shirt is _____ _____ to customers.,A man in a plaid shirt is selling products _____ _____,_____ _____ _____ _____ _____ _____ _____ selling products _____ _____,_____ _____ _____ _____ _____ shirt _____ _____ _____ to _____,0.1818,A _____ in a plaid shirt is selling _____ to customers.,A man in a plaid shirt _____ selling products to _____,_____ man _____ _____ _____ _____ _____ _____ products _____ _____,_____ _____ _____ a _____ _____ _____ _____ products _____ _____,0.1818,A man in a plaid shirt is selling _____ to customers.,A man in a plaid shirt _____ selling products to customers.,_____ _____ _____ _____ _____ _____ _____ _____ products _____ _____,_____ _____ in _____ _____ _____ _____ _____ _____ _____ _____,0.0909,A man in a plaid shirt is selling _____ to customers.,A man in a _____ shirt is selling products to customers.,_____ _____ _____ _____ _____ _____ _____ _____ products _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ customers.,0.0909
470,Four women sitting on a black couch drinking beer.,Four women _____ _____ _____ black _____ drinking beer.,_____ _____ sitting on a black couch _____ _____,_____ _____ sitting on a _____ couch _____ _____,Four women _____ _____ a _____ _____ drinking _____,0.4444,Four women sitting on a black couch drinking beer.,Four women sitting on a black couch drinking beer.,_____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____,0.0000,Four women _____ on a black couch _____ _____,_____ women sitting _____ a black _____ drinking beer.,_____ _____ sitting _____ _____ _____ _____ drinking beer.,_____ _____ _____ _____ a black _____ drinking _____,0.3333,Four women _____ _____ _____ _____ _____ drinking beer.,_____ _____ sitting on a black couch _____ _____,_____ _____ sitting on a black couch _____ _____,_____ women sitting on _____ _____ _____ drinking beer.,0.5556
472,A costumes woman applies makeup while looking in a mirror.,A costumes woman applies makeup while looking in a mirror.,A costumes woman applies makeup while looking in a mirror.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0000,A costumes woman applies makeup while looking in a mirror.,A costumes woman applies makeup while looking in a mirror.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0000,A costumes woman applies makeup while looking in a mirror.,A costumes woman applies makeup while looking in a mirror.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0000,A _____ _____ _____ _____ while looking in a mirror.,A costumes woman applies makeup while _____ _____ _____ _____,_____ costumes woman applies makeup _____ _____ _____ _____ _____,_____ costumes woman _____ _____ _____ looking _____ _____ mirror.,0.4000
473,An older woman sews happily whilst sitting.,An older _____ _____ happily whilst _____,_____ _____ woman sews _____ whilst sitting.,_____ _____ woman sews _____ _____ sitting.,An _____ _____ sews _____ whilst _____,0.4286,_____ _____ _____ _____ happily whilst _____,An older woman sews _____ _____ sitting.,An older woman sews _____ _____ sitting.,An older _____ sews _____ whilst sitting.,0.7143,An older woman _____ happily whilst sitting.,An _____ woman sews happily whilst sitting.,_____ _____ _____ sews _____ _____ _____,_____ _____ _____ _____ _____ whilst _____,0.1429,An older _____ _____ happily whilst _____,_____ _____ woman sews happily _____ sitting.,_____ _____ woman sews _____ _____ sitting.,_____ older _____ sews happily _____ _____,0.4286
474,A woman in colonial clothing being plunged into the water.,A woman in colonial clothing _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ being plunged into the water.,_____ _____ _____ _____ _____ being plunged into the water.,_____ woman _____ _____ clothing _____ plunged into the _____,0.5000,A woman in colonial clothing _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ being plunged into the water.,_____ _____ _____ _____ _____ being plunged into the water.,_____ _____ _____ colonial clothing being _____ _____ the water.,0.5000,A woman in colonial clothing being _____ _____ _____ _____,A _____ _____ colonial _____ _____ plunged into the water.,_____ _____ _____ _____ _____ _____ plunged into the water.,A woman _____ _____ clothing being _____ _____ _____ _____,0.4000,A woman in colonial clothing _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ being plunged into the water.,_____ _____ _____ _____ _____ being plunged into the water.,_____ _____ in _____ _____ _____ plunged into the water.,0.5000
475,A surfer does a flip on a wave.,A surfer does a flip _____ _____ _____,_____ surfer does _____ _____ on a wave.,_____ _____ _____ _____ _____ on a wave.,A _____ does _____ flip _____ _____ _____,0.3750,A surfer does a flip _____ _____ _____,_____ _____ _____ a flip on a wave.,_____ _____ _____ _____ _____ on a wave.,A _____ _____ _____ _____ on _____ wave.,0.3750,A _____ does a flip _____ _____ _____,_____ surfer _____ _____ _____ on a wave.,_____ surfer _____ _____ _____ on a wave.,A _____ does _____ _____ on a _____,0.5000,A surfer does a flip _____ _____ _____,_____ _____ _____ a flip on a wave.,_____ _____ _____ _____ _____ on a wave.,_____ _____ _____ a _____ on _____ wave.,0.3750
476,A little boy aims a basketball at the hoop.,A little boy _____ _____ _____ _____ _____ _____,_____ _____ _____ aims a basketball at the hoop.,_____ _____ _____ aims a basketball at the hoop.,_____ _____ _____ aims a basketball at the hoop.,0.6667,_____ _____ _____ _____ _____ _____ _____ _____ _____,A little boy aims a basketball at the hoop.,A little boy aims a basketball at the hoop.,A little boy aims a basketball at the hoop.,1.0000,A little boy _____ _____ _____ _____ _____ _____,_____ _____ _____ aims a basketball at the hoop.,_____ _____ _____ aims a basketball at the hoop.,_____ little _____ aims _____ basketball at the hoop.,0.6667,_____ _____ _____ _____ _____ _____ _____ _____ _____,A little boy aims a basketball at the hoop.,A little boy aims a basketball at the hoop.,A little boy aims a basketball at the hoop.,1.0000
479,The cute baby in a diaper and shirt plays in the dirt.,The cute _____ in a diaper and shirt _____ _____ _____ _____,_____ _____ baby _____ a diaper _____ _____ plays in the dirt.,_____ _____ baby _____ _____ _____ _____ _____ plays in the dirt.,_____ _____ _____ in _____ diaper and _____ plays in _____ _____,0.4167,The cute _____ in a diaper and shirt _____ _____ _____ _____,_____ _____ baby in a _____ _____ _____ plays in the dirt.,_____ _____ baby _____ _____ _____ _____ _____ plays in the dirt.,The _____ baby _____ a _____ _____ _____ _____ in _____ dirt.,0.4167,The cute _____ in a diaper and shirt _____ _____ _____ _____,_____ _____ baby _____ a _____ and _____ plays in the dirt.,_____ _____ baby _____ _____ _____ _____ _____ plays in the dirt.,The cute baby _____ _____ _____ _____ shirt _____ _____ the _____,0.4167,The cute _____ in a diaper and shirt _____ _____ _____ _____,_____ _____ baby in _____ diaper _____ _____ plays in the dirt.,_____ _____ baby _____ _____ _____ _____ _____ plays in the dirt.,_____ cute baby _____ _____ _____ and _____ _____ in the _____,0.4167
481,A blank wall of whiteness.,A _____ _____ of whiteness.,A blank wall _____ _____,_____ blank wall _____ _____,_____ _____ _____ of whiteness.,0.4000,A _____ wall of whiteness.,A blank _____ of whiteness.,_____ blank _____ _____ _____,_____ _____ _____ _____ whiteness.,0.2000,A _____ _____ of whiteness.,_____ blank wall _____ whiteness.,_____ blank wall _____ _____,_____ blank _____ of _____,0.4000,A _____ _____ of whiteness.,A blank wall _____ _____,_____ blank wall _____ _____,_____ _____ _____ of whiteness.,0.4000
483,a man pushes a boy on a zip line.,a man _____ _____ _____ _____ _____ _____ _____,_____ _____ pushes a boy on a zip line.,_____ _____ pushes a boy on a zip line.,_____ man pushes a boy _____ a zip line.,0.7778,a man _____ _____ _____ _____ _____ _____ _____,_____ _____ pushes a boy on a zip line.,_____ _____ pushes a boy on a zip line.,a man pushes _____ boy on a zip _____,0.7778,a man pushes a _____ _____ _____ _____ _____,_____ _____ _____ _____ boy on a zip line.,_____ _____ _____ _____ boy on a zip line.,a _____ _____ _____ boy on a _____ line.,0.5556,a man _____ a _____ _____ _____ _____ _____,_____ _____ pushes _____ boy on a zip line.,_____ _____ pushes _____ boy on a zip line.,a _____ _____ a boy on a zip _____,0.6667
484,A man wearing all black walking down the sidewalk looking at his I-Pod.,A man _____ _____ _____ walking down the sidewalk looking at his I-Pod.,A man wearing all black _____ down the _____ looking at his _____,_____ _____ wearing all black _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ wearing _____ _____ _____ _____ _____ sidewalk _____ _____ his _____,0.2308,A man wearing _____ _____ walking down the sidewalk looking at his I-Pod.,A man wearing all black _____ down the sidewalk looking at _____ I-Pod.,_____ _____ _____ all black _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ black _____ _____ _____ _____ _____ _____ _____ I-Pod.,0.1538,A man _____ _____ _____ walking down the sidewalk looking at his I-Pod.,A man wearing all black _____ down _____ sidewalk _____ at his I-Pod.,_____ _____ wearing all black _____ _____ _____ _____ _____ _____ _____ _____,_____ man _____ _____ _____ _____ _____ the sidewalk _____ _____ _____ _____,0.2308,A man _____ _____ _____ walking down the sidewalk looking at his I-Pod.,A man wearing all black _____ down _____ sidewalk looking at _____ I-Pod.,_____ _____ wearing all black _____ _____ _____ _____ _____ _____ _____ _____,_____ man _____ _____ _____ _____ _____ _____ sidewalk looking _____ _____ _____,0.2308
485,A man in a black shirt is playing bowling where the pins are replaced with spray paint cans and there is a graffiti filled wall in the background.,A man in a black shirt is playing bowling where the pins are replaced with _____ _____ _____ and there is a _____ _____ _____ in the background.,_____ _____ in a black _____ is playing bowling where the pins _____ replaced with spray paint cans and there is _____ graffiti filled wall in _____ background.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ spray paint cans _____ _____ _____ _____ graffiti filled wall _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ playing _____ _____ _____ _____ _____ _____ _____ spray _____ _____ _____ _____ is a _____ filled wall _____ _____ _____,0.2143,A man in a black shirt is _____ _____ where the _____ _____ _____ _____ _____ _____ _____ and there is a _____ _____ _____ in the background.,_____ _____ _____ _____ black shirt is playing bowling _____ _____ pins are replaced with spray paint cans _____ _____ is _____ graffiti filled wall _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ playing bowling _____ _____ pins are replaced with spray paint cans _____ _____ _____ _____ graffiti filled wall _____ _____ _____,A man in _____ _____ _____ _____ _____ _____ where the _____ _____ _____ _____ spray _____ cans and there is a _____ _____ wall _____ _____ _____,0.4286,A man in a black shirt _____ _____ _____ where the pins are replaced with _____ _____ _____ and there is a _____ _____ _____ in the background.,A _____ in a black _____ is playing bowling where _____ pins are _____ _____ spray paint cans _____ there _____ a graffiti filled wall _____ _____ background.,_____ _____ _____ _____ _____ _____ is playing bowling _____ _____ _____ _____ _____ _____ spray paint cans _____ _____ _____ _____ graffiti filled wall _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ where the pins _____ replaced with spray paint _____ and _____ _____ _____ _____ filled _____ _____ _____ _____,0.3214,_____ _____ in a black shirt _____ _____ _____ where the pins are replaced with _____ _____ _____ and there is _____ _____ _____ _____ in the background.,A man _____ _____ black _____ is playing bowling _____ _____ _____ _____ _____ with spray paint cans _____ _____ _____ a graffiti filled wall _____ the background.,A man _____ _____ _____ _____ is playing bowling _____ _____ _____ _____ _____ _____ spray paint cans _____ _____ _____ a graffiti filled wall _____ _____ _____,_____ man _____ _____ _____ shirt _____ _____ bowling where _____ _____ _____ _____ _____ spray _____ _____ and there _____ _____ graffiti filled _____ in the background.,0.4286
486,A shirtless man in blue pants repairs a steel tea pot.,A _____ man in blue pants repairs a steel tea pot.,_____ shirtless man in blue pants repairs a steel tea pot.,_____ shirtless _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ pot.,0.0909,A _____ man in blue pants repairs a steel tea pot.,A shirtless man in blue pants repairs _____ steel tea pot.,_____ shirtless _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ blue _____ _____ _____ _____ _____ _____,0.0909,A _____ man in blue pants repairs a steel tea pot.,A shirtless man in blue pants repairs a _____ tea pot.,_____ shirtless _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ tea _____,0.0909,A _____ man in blue pants repairs a steel tea pot.,A shirtless man in blue pants repairs _____ steel tea pot.,_____ shirtless _____ _____ _____ _____ _____ _____ _____ _____ _____,A _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0909
487,a woman in a blue shirt sitting on a red couch,a woman in a _____ _____ sitting on a _____ _____,a _____ in _____ blue shirt _____ _____ a red couch,_____ _____ _____ _____ blue shirt _____ _____ _____ red couch,_____ woman in _____ blue _____ _____ on _____ _____ _____,0.3636,a woman in a _____ shirt sitting on a _____ couch,a woman in a blue shirt _____ _____ a red couch,_____ _____ _____ _____ blue _____ _____ _____ _____ red _____,_____ woman _____ _____ _____ _____ _____ _____ a _____ _____,0.1818,a _____ in a _____ _____ _____ on a _____ _____,_____ woman _____ _____ blue shirt sitting _____ _____ red couch,_____ woman _____ _____ blue shirt sitting _____ _____ red couch,_____ _____ in _____ blue _____ sitting _____ a red couch,0.5455,a woman in a _____ _____ sitting on a _____ _____,_____ _____ in _____ blue shirt _____ on a red couch,_____ _____ _____ _____ blue shirt _____ _____ _____ red couch,a woman in _____ _____ _____ _____ _____ a _____ _____,0.3636
489,A group of men in a yellow boat with their dogs.,A group of men _____ _____ _____ _____ with their dogs.,_____ _____ of _____ in a yellow boat _____ their dogs.,_____ _____ _____ _____ in a yellow boat _____ _____ _____,_____ _____ of _____ _____ a _____ boat _____ _____ dogs.,0.3636,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A group of men in a yellow boat with their dogs.,A group of men in a yellow boat with their dogs.,A group of men in a yellow boat with their dogs.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A group of men in a yellow boat with their dogs.,A group of men in a yellow boat with their dogs.,A group of men in a yellow boat with their dogs.,1.0000,A group of _____ in a yellow _____ with their _____,_____ group _____ men in _____ yellow boat with their dogs.,_____ _____ _____ men _____ _____ _____ boat _____ _____ dogs.,_____ _____ _____ men in _____ _____ boat _____ _____ _____,0.2727
490,A little girl is hugging a woman.,A little girl is _____ _____ _____,_____ little _____ _____ hugging a woman.,_____ _____ _____ _____ hugging a woman.,A little _____ _____ hugging _____ _____,0.4286,A little girl is _____ _____ _____,_____ _____ _____ is hugging a woman.,_____ _____ _____ _____ hugging a woman.,A little girl _____ _____ _____ _____,0.4286,A little girl is _____ a _____,_____ _____ girl is hugging a woman.,_____ _____ _____ _____ hugging _____ woman.,_____ little _____ _____ hugging _____ _____,0.2857,_____ _____ _____ is _____ _____ _____,A little girl _____ hugging a woman.,A little girl _____ hugging a woman.,A little _____ is hugging a woman.,0.8571
491,A soccer player prepares for a corner kick.,A _____ player _____ _____ _____ _____ _____,_____ soccer _____ prepares for a corner kick.,_____ soccer _____ prepares for a corner kick.,A soccer player _____ for a _____ kick.,0.7500,A soccer player _____ _____ _____ _____ _____,_____ _____ _____ prepares for a corner kick.,_____ _____ _____ prepares for a corner kick.,A soccer _____ _____ for a corner _____,0.6250,A soccer player _____ _____ _____ _____ _____,_____ _____ _____ prepares for a corner kick.,_____ _____ _____ prepares for a corner kick.,_____ _____ player prepares _____ a corner kick.,0.6250,A _____ _____ _____ _____ _____ _____ _____,_____ soccer player prepares for a corner kick.,_____ soccer player prepares for a corner kick.,A soccer _____ prepares for a corner kick.,0.8750
492,A heavyset man running a Pro-Saw concrete saw with a piece of white construction equipment in the background.,A _____ _____ running a Pro-Saw concrete saw with _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ heavyset man _____ _____ _____ _____ _____ _____ a piece of white construction equipment in the background.,_____ heavyset man _____ _____ _____ _____ _____ _____ a piece of white construction equipment in the background.,A _____ _____ _____ a Pro-Saw concrete saw with _____ piece _____ white construction _____ in the _____,0.6111,A _____ man running a Pro-Saw concrete saw with a piece of white _____ _____ _____ _____ _____,_____ heavyset _____ running _____ Pro-Saw _____ saw _____ _____ piece of white construction equipment in the background.,_____ heavyset _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ construction equipment in the background.,_____ _____ _____ running a _____ _____ _____ _____ a piece of _____ construction _____ _____ _____ _____,0.3333,A heavyset _____ running a Pro-Saw concrete saw with _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ man _____ _____ _____ _____ _____ _____ a piece of white construction equipment in the background.,_____ _____ man _____ _____ _____ _____ _____ _____ a piece of white construction equipment in the background.,_____ heavyset _____ _____ a _____ concrete saw with a piece _____ white _____ _____ _____ the background.,0.5556,A _____ _____ running a Pro-Saw concrete saw with _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ heavyset man _____ _____ _____ _____ _____ _____ a piece of white construction equipment in the background.,_____ heavyset man _____ _____ _____ _____ _____ _____ a piece of white construction equipment in the background.,A heavyset man _____ _____ Pro-Saw concrete saw with a piece of _____ _____ _____ in _____ _____,0.6111
493,A dog walking through a small stream with a rag in his mouth.,_____ _____ _____ _____ _____ _____ _____ with a rag in his mouth.,A dog walking through a small stream _____ _____ _____ _____ _____ _____,A dog walking through a small stream _____ _____ _____ _____ _____ _____,A dog walking _____ _____ _____ stream with a _____ in _____ _____,0.5385,A dog _____ _____ _____ _____ _____ with a rag in his mouth.,_____ _____ walking through a small stream _____ _____ _____ in his mouth.,_____ _____ walking through a small stream _____ _____ _____ _____ _____ _____,_____ _____ _____ through a _____ _____ _____ _____ _____ in his mouth.,0.3846,A _____ walking _____ _____ _____ _____ with a rag in his mouth.,A dog _____ through a small stream _____ _____ rag _____ his _____,_____ dog _____ through a small stream _____ _____ _____ _____ _____ _____,A dog _____ _____ _____ _____ _____ _____ _____ rag _____ his mouth.,0.3846,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A dog walking through a small stream with a rag in his mouth.,A dog walking through a small stream with a rag in his mouth.,A dog walking through a small stream with a rag in his mouth.,1.0000
